site_id,role,uid,current_query_hash,a,a_aliases,b,b_aliases,a_complete,b_complete,repeats,completion_count_difference,a_prefix_median,b_prefix_median,current_q_difference_max_rad
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_00,"['original_focal', 'common_input_full_cghik', 'previous_first_dls']",candidate_01,"['original_always_hard', 'common_input_always_hard']",5,5,5,0,30.0,30.0,0.001869270927272737
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_00,"['original_focal', 'common_input_full_cghik', 'previous_first_dls']",candidate_02,['original_trac_ik_5ms'],5,5,5,0,30.0,30.0,4.407718683052675e-05
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_00,"['original_focal', 'common_input_full_cghik', 'previous_first_dls']",candidate_03,['offline_reference'],5,5,5,0,30.0,30.0,5.65963942452119e-05
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_00,"['original_focal', 'common_input_full_cghik', 'previous_first_dls']",candidate_04,"['common_input_trac_0', 'common_input_trac_1', 'common_input_trac_2', 'common_input_trac_3', 'common_input_trac_4']",5,5,5,0,30.0,30.0,6.1018337413010215e-05
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_00,"['original_focal', 'common_input_full_cghik', 'previous_first_dls']",candidate_05,['refined_focal'],5,5,5,0,30.0,30.0,6.059127140423115e-05
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_01,"['original_always_hard', 'common_input_always_hard']",candidate_02,['original_trac_ik_5ms'],5,5,5,0,30.0,30.0,0.0018554951857168989
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_01,"['original_always_hard', 'common_input_always_hard']",candidate_03,['offline_reference'],5,5,5,0,30.0,30.0,0.001925867321517949
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_01,"['original_always_hard', 'common_input_always_hard']",candidate_04,"['common_input_trac_0', 'common_input_trac_1', 'common_input_trac_2', 'common_input_trac_3', 'common_input_trac_4']",5,5,5,0,30.0,30.0,0.0018678451483136044
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_01,"['original_always_hard', 'common_input_always_hard']",candidate_05,['refined_focal'],5,5,5,0,30.0,30.0,0.001864736385314092
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_02,['original_trac_ik_5ms'],candidate_03,['offline_reference'],5,5,5,0,30.0,30.0,7.037213580105006e-05
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_02,['original_trac_ik_5ms'],candidate_04,"['common_input_trac_0', 'common_input_trac_1', 'common_input_trac_2', 'common_input_trac_3', 'common_input_trac_4']",5,5,5,0,30.0,30.0,2.7936488351976152e-05
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_02,['original_trac_ik_5ms'],candidate_05,['refined_focal'],5,5,5,0,30.0,30.0,2.798950099736075e-05
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_03,['offline_reference'],candidate_04,"['common_input_trac_0', 'common_input_trac_1', 'common_input_trac_2', 'common_input_trac_3', 'common_input_trac_4']",5,5,5,0,30.0,30.0,5.802217320434455e-05
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_03,['offline_reference'],candidate_05,['refined_focal'],5,5,5,0,30.0,30.0,6.113093620385701e-05
case_00_first_divergence,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_04,"['common_input_trac_0', 'common_input_trac_1', 'common_input_trac_2', 'common_input_trac_3', 'common_input_trac_4']",candidate_05,['refined_focal'],5,5,5,0,30.0,30.0,9.650032565922118e-06
case_00_pre_failure,cghik_lost,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,8829e3f17af5b2a401d380d7639db5911ffa3875f5e5a89bef37f8562ae7a6c8,candidate_00,"['original_focal', 'common_input_always_hard', 'common_input_full_cghik']",candidate_01,['refined_focal'],0,5,5,-5,0.0,30.0,0.04147327812784102
case_01_first_divergence,trac_failed,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,fd8c36aeb79bb60b545fa229f8a8c0d52f95ddd3aaa3fe83eb518302f85c0cc8,candidate_00,"['original_focal', 'common_input_trac_0', 'common_input_trac_1', 'common_input_trac_2', 'common_input_trac_3', 'common_input_trac_4']",candidate_01,"['original_full_cghik', 'common_input_full_cghik', 'previous_first_dls']",5,5,5,0,30.0,30.0,0.00016555271437512786
case_01_first_divergence,trac_failed,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,fd8c36aeb79bb60b545fa229f8a8c0d52f95ddd3aaa3fe83eb518302f85c0cc8,candidate_00,"['original_focal', 'common_input_trac_0', 'common_input_trac_1', 'common_input_trac_2', 'common_input_trac_3', 'common_input_trac_4']",candidate_02,"['original_always_hard', 'common_input_always_hard']",5,5,5,0,30.0,30.0,0.00021227350221098007
