run_id,site_id,uid,family,candidate_id,repeat,complete,accepted_frames,prefix_frames,first_failure_frame,first_failure_kind,total_latency_ns
state_34_candidate_02_r1,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_02,1,True,30,30,,,17354504
state_34_candidate_03_r1,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_03,1,True,30,30,,,16395348
state_34_candidate_05_r2,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_05,2,True,30,30,,,16604907
state_34_candidate_03_r3,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_03,3,True,30,30,,,16494569
state_34_candidate_02_r4,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_02,4,True,30,30,,,16661588
state_34_candidate_04_r3,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_04,3,True,30,30,,,16547355
state_34_candidate_05_r3,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_05,3,True,30,30,,,18556256
state_34_candidate_05_r4,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_05,4,True,30,30,,,17498532
state_34_candidate_02_r3,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_02,3,True,30,30,,,17688096
state_34_candidate_03_r4,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_03,4,True,30,30,,,17267037
state_34_candidate_02_r0,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_02,0,True,30,30,,,21554588
state_34_candidate_00_r1,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_00,1,True,30,30,,,17637625
state_34_candidate_00_r2,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_00,2,True,30,30,,,16192637
state_34_candidate_03_r2,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_03,2,True,30,30,,,18789820
state_34_candidate_04_r1,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_04,1,True,30,30,,,17689774
state_34_candidate_03_r0,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_03,0,True,30,30,,,16421358
state_34_candidate_05_r1,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_05,1,True,30,30,,,25476113
state_34_candidate_04_r0,state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,candidate_04,0,True,30,30,,,27311196
