group,rule,scheduled_states,available_states,unavailable_states,completed_repeat_windows,all_scheduled_delivered_window_rate,conditional_available_window_rate,stable_5_of_5_states,any_completed_states,all_scheduled_delivered_mean_prefix,available_mean_prefix,available_median_state_mean_prefix,first_failure_kinds,unavailable_reasons,recovered_state_ids,degraded_state_ids,stable_recovered_state_ids,stable_degraded_state_ids,pool_any_success_states,selected_any_success_when_available,pool_stable_success_states,selected_stable_success_when_available,scoring_latency_ms,intervention_pipeline_latency_ms
all_success,original,36,36,0,180,1.0,1.0,36,36,30.0,30.0,30.0,{},{},[],[],[],[],36,36,36,36,"{'n': 36, 'mean': 0.0002575555555555556, 'median': 0.00024, 'p95': 0.00035275, 'minimum': 0.000189, 'maximum': 0.000448}","{'n': 36, 'mean': 0.5675733333333333, 'median': 0.5170915, 'p95': 0.749096, 'minimum': 0.466209, 'maximum': 1.12712}"
all_success,nearest,36,36,0,180,1.0,1.0,36,36,30.0,30.0,30.0,{},{},[],[],[],[],36,36,36,36,"{'n': 36, 'mean': 0.014328194444444445, 'median': 0.0135635, 'p95': 0.0193785, 'minimum': 0.011575, 'maximum': 0.022099}","{'n': 36, 'mean': 23.298286194444444, 'median': 21.6788985, 'p95': 32.6834525, 'minimum': 17.498462, 'maximum': 52.515861}"
all_success,max_scaled_sigma_min,36,36,0,180,1.0,1.0,36,36,30.0,30.0,30.0,{},{},[],[],[],[],36,36,36,36,"{'n': 36, 'mean': 1.0765370555555558, 'median': 1.03124, 'p95': 1.4924697500000002, 'minimum': 0.663008, 'maximum': 1.718664}","{'n': 36, 'mean': 24.360495055555553, 'median': 22.665793999999998, 'p95': 33.74514825, 'minimum': 18.521689, 'maximum': 54.215292}"
all_success,max_scaled_manipulability,36,36,0,180,1.0,1.0,36,36,30.0,30.0,30.0,{},{},[],[],[],[],36,36,36,36,"{'n': 36, 'mean': 1.0392016388888887, 'median': 1.0113015, 'p95': 1.27405275, 'minimum': 0.615831, 'maximum': 2.365861}","{'n': 36, 'mean': 24.323159638888892, 'median': 22.6012065, 'p95': 33.6666425, 'minimum': 18.424327, 'maximum': 53.478926}"
all_success,hindsight,36,36,0,180,1.0,1.0,36,36,30.0,30.0,30.0,{},{},[],[],[],[],36,36,36,36,,
mixed,original,1,1,0,4,0.8,0.8,0,1,29.4,29.4,29.4,{'solver_failure': 1},{},[],[],[],[],1,1,1,0,"{'n': 1, 'mean': 0.000246, 'median': 0.000246, 'p95': 0.000246, 'minimum': 0.000246, 'maximum': 0.000246}","{'n': 1, 'mean': 0.47482, 'median': 0.47482, 'p95': 0.47482, 'minimum': 0.47482, 'maximum': 0.47482}"
mixed,nearest,1,1,0,4,0.8,0.8,0,1,29.4,29.4,29.4,{'solver_failure': 1},{},[],[],[],[],1,1,1,0,"{'n': 1, 'mean': 0.014761, 'median': 0.014761, 'p95': 0.014761, 'minimum': 0.014761, 'maximum': 0.014761}","{'n': 1, 'mean': 44.136671, 'median': 44.136671, 'p95': 44.136671, 'minimum': 44.136671, 'maximum': 44.136671}"
mixed,max_scaled_sigma_min,1,1,0,0,0.0,0.0,0,0,27.0,27.0,27.0,{'solver_failure': 5},{},[],['state_14'],[],[],1,0,1,0,"{'n': 1, 'mean': 1.193528, 'median': 1.193528, 'p95': 1.193528, 'minimum': 1.193528, 'maximum': 1.193528}","{'n': 1, 'mean': 45.315438, 'median': 45.315438, 'p95': 45.315438, 'minimum': 45.315438, 'maximum': 45.315438}"
mixed,max_scaled_manipulability,1,1,0,0,0.0,0.0,0,0,27.0,27.0,27.0,{'solver_failure': 5},{},[],['state_14'],[],[],1,0,1,0,"{'n': 1, 'mean': 1.035937, 'median': 1.035937, 'p95': 1.035937, 'minimum': 1.035937, 'maximum': 1.035937}","{'n': 1, 'mean': 45.157847, 'median': 45.157847, 'p95': 45.157847, 'minimum': 45.157847, 'maximum': 45.157847}"
mixed,hindsight,1,1,0,5,1.0,1.0,1,1,30.0,30.0,30.0,{},{},['state_14'],[],[],[],1,1,1,1,,
all_failure,original,1,1,0,0,0.0,0.0,0,0,16.0,16.0,16.0,{'solver_failure': 5},{},[],[],[],[],0,0,0,0,"{'n': 1, 'mean': 0.000234, 'median': 0.000234, 'p95': 0.000234, 'minimum': 0.000234, 'maximum': 0.000234}","{'n': 1, 'mean': 0.49568, 'median': 0.49568, 'p95': 0.49568, 'minimum': 0.49568, 'maximum': 0.49568}"
all_failure,nearest,1,1,0,0,0.0,0.0,0,0,16.0,16.0,16.0,{'solver_failure': 5},{},[],[],[],[],0,0,0,0,"{'n': 1, 'mean': 0.01993, 'median': 0.01993, 'p95': 0.01993, 'minimum': 0.01993, 'maximum': 0.01993}","{'n': 1, 'mean': 24.819498, 'median': 24.819498, 'p95': 24.819498, 'minimum': 24.819498, 'maximum': 24.819498}"
all_failure,max_scaled_sigma_min,1,1,0,0,0.0,0.0,0,0,16.0,16.0,16.0,{'solver_failure': 5},{},[],[],[],[],0,0,0,0,"{'n': 1, 'mean': 0.978011, 'median': 0.978011, 'p95': 0.978011, 'minimum': 0.978011, 'maximum': 0.978011}","{'n': 1, 'mean': 25.777579, 'median': 25.777579, 'p95': 25.777579, 'minimum': 25.777579, 'maximum': 25.777579}"
all_failure,max_scaled_manipulability,1,1,0,0,0.0,0.0,0,0,16.0,16.0,16.0,{'solver_failure': 5},{},[],[],[],[],0,0,0,0,"{'n': 1, 'mean': 0.918967, 'median': 0.918967, 'p95': 0.918967, 'minimum': 0.918967, 'maximum': 0.918967}","{'n': 1, 'mean': 25.718535, 'median': 25.718535, 'p95': 25.718535, 'minimum': 25.718535, 'maximum': 25.718535}"
all_failure,hindsight,1,1,0,0,0.0,0.0,0,0,16.0,16.0,16.0,{'solver_failure': 5},{},[],[],[],[],0,0,0,0,,
