site_id,uid,phase,rule,candidate_id,repeat,frame,failure_kind
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,original,candidate_00,1,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,nearest,candidate_00,1,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_sigma_min,candidate_04,0,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_sigma_min,candidate_04,1,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_sigma_min,candidate_04,2,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_sigma_min,candidate_04,3,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_sigma_min,candidate_04,4,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_manipulability,candidate_04,0,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_manipulability,candidate_04,1,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_manipulability,candidate_04,2,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_manipulability,candidate_04,3,102,solver_failure
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,suffix,max_scaled_manipulability,candidate_04,4,102,solver_failure
state_15,ef3024002329ba92a4d256b11e75d0bcd0359604237894e0ced88c44a81afb52,history,,,,70,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,original,candidate_00,0,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,original,candidate_00,1,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,original,candidate_00,2,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,original,candidate_00,3,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,original,candidate_00,4,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,nearest,candidate_00,0,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,nearest,candidate_00,1,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,nearest,candidate_00,2,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,nearest,candidate_00,3,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,nearest,candidate_00,4,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_sigma_min,candidate_03,0,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_sigma_min,candidate_03,1,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_sigma_min,candidate_03,2,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_sigma_min,candidate_03,3,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_sigma_min,candidate_03,4,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_manipulability,candidate_03,0,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_manipulability,candidate_03,1,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_manipulability,candidate_03,2,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_manipulability,candidate_03,3,91,solver_failure
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,suffix,max_scaled_manipulability,candidate_03,4,91,solver_failure
state_35,6371834c79ecbd9dedf78130657821b01a42418cbaebc1a5375d427cabc6caae,history,,,,14,solver_failure
