site_id,uid,family,seed,status,candidate_count,first_history_or_center_failure,first_history_or_center_failure_kind,history_latency_ns,center_latency_ns,selected,group,pool_any_success,pool_stable_success,stable_classical_miss,stable_configuration_contrast,generation_latency_ns,projection_latency_ns,projection_residual_calls,scoring_latency_ns,auxiliary_latency_ns
state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,970907000,available,6,,,45370952,507305,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_04', 'max_scaled_manipulability': 'candidate_03', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,20000541,19810457,148,"{'original': 322, 'nearest': 17477, 'max_scaled_sigma_min': 1044290, 'max_scaled_manipulability': 1241492}",3386251
state_01,5cb42b2934c0e392ce3a46109c71f4b13063588a522c5dc85ca3e4a385fef1f3,smooth,970907001,available,6,,,39550264,708376,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_04', 'max_scaled_manipulability': 'candidate_04', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,20810115,20590078,161,"{'original': 448, 'nearest': 14451, 'max_scaled_sigma_min': 1019721, 'max_scaled_manipulability': 952240}",2984584
state_02,b679adfdf204214d50a25fa86712b9aca9d874707a48fc1502277dc5839628ce,smooth,970907002,available,6,,,45110980,467995,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_03', 'max_scaled_manipulability': 'candidate_04', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,18414971,18223976,147,"{'original': 255, 'nearest': 13437, 'max_scaled_sigma_min': 976522, 'max_scaled_manipulability': 1078179}",3320030
state_03,de5fd8bdc41803a9c60ae3403f1bd816fe3517252f66357cb1585710a3dba6b2,smooth,970907003,available,6,,,40922009,483819,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_03', 'max_scaled_manipulability': 'candidate_03', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,18080559,17900463,142,"{'original': 242, 'nearest': 13594, 'max_scaled_sigma_min': 995692, 'max_scaled_manipulability': 1047752}",3217199
state_04,56d619efe2ff1c99577c3b877e99299fc95c9d00e6e7fa6fc3f05d97ad74fedb,smooth,970907004,available,6,,,46623630,727753,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_03', 'max_scaled_manipulability': 'candidate_03', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,19503454,19306668,161,"{'original': 252, 'nearest': 13631, 'max_scaled_sigma_min': 984017, 'max_scaled_manipulability': 1042000}",3174508
state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,970907005,available,6,,,47022773,583450,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_03', 'max_scaled_manipulability': 'candidate_03', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,26623859,26433457,162,"{'original': 296, 'nearest': 13827, 'max_scaled_sigma_min': 1102993, 'max_scaled_manipulability': 1090350}",3383138
state_06,6db40955407e85f5dc6adf07a506eeb36af9baf5558e90c1d5d660b23f50f090,smooth,970907006,available,6,,,42633017,602690,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_03', 'max_scaled_manipulability': 'candidate_04', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,22804151,22579130,168,"{'original': 252, 'nearest': 13362, 'max_scaled_sigma_min': 1033479, 'max_scaled_manipulability': 948507}",3316233
state_07,78ab2e02787df24bab9b47e43eb0542fbbde14be2fabca2cb9720d8257e8e36d,smooth,970907007,available,6,,,42122094,507825,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_03', 'max_scaled_manipulability': 'candidate_04', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,20001808,19814999,147,"{'original': 260, 'nearest': 13952, 'max_scaled_sigma_min': 1201903, 'max_scaled_manipulability': 1130855}",4210438
state_08,06ca0c5d8d0cb31f50338aee261f6c596974205eb08300b4526361bb949a0c56,smooth,970907008,available,6,,,41491801,493589,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_03', 'max_scaled_manipulability': 'candidate_03', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,19352772,19172998,154,"{'original': 189, 'nearest': 13638, 'max_scaled_sigma_min': 1050933, 'max_scaled_manipulability': 1021604}",2971406
state_09,1d0182481624543fd76f2a61695c7581ef7c8668e44b2d97959d5b285627834e,smooth,970907009,available,6,,,41022132,509230,"{'original': 'candidate_00', 'nearest': 'candidate_00', 'max_scaled_sigma_min': 'candidate_03', 'max_scaled_manipulability': 'candidate_03', 'hindsight': 'candidate_00'}",all_success,True,True,False,False,21301325,21119079,162,"{'original': 216, 'nearest': 14300, 'max_scaled_sigma_min': 982821, 'max_scaled_manipulability': 921127}",3025819
