case_id,horizon,initialization,found,best_found_rho,optimizer_status,total_ms,fk_calls,jacobian_calls,run_file
case_01_matched_04,5,hold,True,0.4071843045939874,0,78.095575,360,250,runs/case_01_matched_04_L5_hold.json
case_01_matched_04,5,historical_prefix,True,0.40718430511454085,0,35.964164,165,115,runs/case_01_matched_04_L5_historical_prefix.json
case_01_matched_04,5,dls_prediction,True,0.4071843051177582,0,54.64424,247,151,runs/case_01_matched_04_L5_dls_prediction.json
case_01_matched_05,1,hold,True,0.1276391671430359,0,5.374322,23,13,runs/case_01_matched_05_L1_hold.json
case_01_matched_05,1,historical_prefix,True,0.12763916714818013,0,5.509176,23,14,runs/case_01_matched_05_L1_historical_prefix.json
case_01_matched_05,1,dls_prediction,True,0.12763916714716103,0,6.531623,29,16,runs/case_01_matched_05_L1_dls_prediction.json
case_01_matched_04,10,hold,True,0.41033155179513175,0,254.994223,1200,770,runs/case_01_matched_04_L10_hold.json
case_01_matched_04,10,historical_prefix,True,0.4103315517343039,0,104.022608,430,320,runs/case_01_matched_04_L10_historical_prefix.json
case_01_matched_04,10,dls_prediction,True,0.4103315516113797,0,111.942121,492,331,runs/case_01_matched_04_L10_dls_prediction.json
case_01_candidate_05,1,hold,True,0.1310804946944303,0,5.328968,22,13,runs/case_01_candidate_05_L1_hold.json
case_01_candidate_05,1,historical_prefix,True,0.1310804946944303,0,5.211691,22,13,runs/case_01_candidate_05_L1_historical_prefix.json
case_01_candidate_05,1,dls_prediction,True,0.13108049475042008,0,6.808028,31,17,runs/case_01_candidate_05_L1_dls_prediction.json
state_13_candidate_02,30,hold,False,,9,1558.232054,3180,3030,runs/state_13_candidate_02_L30_hold.json
state_13_candidate_02,30,historical_prefix,True,0.8290150582994282,9,1791.358868,3210,3030,runs/state_13_candidate_02_L30_historical_prefix.json
state_13_candidate_02,30,dls_prediction,True,0.18632363402501118,9,1758.710247,3300,3060,runs/state_13_candidate_02_L30_dls_prediction.json
case_01_matched_00,5,hold,True,0.3485941471084286,0,109.159845,495,355,runs/case_01_matched_00_L5_hold.json
