case_id,uid,role,family,method,first_failure,solver_return_code,reject_reason,verification_reasons,raw_candidate_retained
case_00,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,full_cghik,120,,all_cascade_stages_failed,[],False
case_01,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,smooth,full_cghik,36,,all_cascade_stages_failed,[],False
case_01,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,smooth,always_hard,36,,all_cascade_stages_failed,[],False
case_01,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,smooth,trac_ik_5ms,34,-3,trac_ik_no_solution,[],False
case_02,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,near_singular,trac_ik_5ms,87,-3,trac_ik_no_solution,[],False
case_03,b82acfb0f8aeca32d455788ace0eae3c1ac31cfac5269c5a38c8b080b1192218,trac_failed,near_singular,trac_ik_5ms,87,-3,trac_ik_no_solution,[],False
case_04,c27ce734147fac572ca1ddd088565aeb5f022220251ef6f10a5d3db6670559b0,cghik_lost,near_singular,full_cghik,125,,all_cascade_stages_failed,[],False
case_05,d13cc08f12e083b576378a71eba2a5f5856319a74339c4d99b24a4e6647cfc6e,trac_failed,near_singular,full_cghik,84,,all_cascade_stages_failed,[],False
case_05,d13cc08f12e083b576378a71eba2a5f5856319a74339c4d99b24a4e6647cfc6e,trac_failed,near_singular,always_hard,82,,all_cascade_stages_failed,[],False
case_05,d13cc08f12e083b576378a71eba2a5f5856319a74339c4d99b24a4e6647cfc6e,trac_failed,near_singular,trac_ik_5ms,72,1,public_verifier_rejected,['velocity_limit'],False
case_06,f69a8f1f6eef07cefc66000053424135c5ec7250cc78d7cb2319c6615f8a8060,cghik_lost,near_singular,full_cghik,96,,all_cascade_stages_failed,[],False
