scope,predictor,informative_pairs,comparable_pairs,unknown_pairs,concordant,discordant,ties,score,contributing_sites,note
all_informative,residual,82,82,0,49,8,25,0.75,"['case_00_pre_failure', 'case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
all_informative,nearest,82,82,0,14,68,0,0.17073170731707318,"['case_00_pre_failure', 'case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
all_informative,sigma_min,82,82,0,75,7,0,0.9146341463414634,"['case_00_pre_failure', 'case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
all_informative,next_demand,82,82,0,61,21,0,0.7439024390243902,"['case_00_pre_failure', 'case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
completion_only,residual,29,29,0,17,4,8,0.7241379310344828,"['case_00_pre_failure', 'case_01_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
completion_only,nearest,29,29,0,4,25,0,0.13793103448275862,"['case_00_pre_failure', 'case_01_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
completion_only,sigma_min,29,29,0,25,4,0,0.8620689655172413,"['case_00_pre_failure', 'case_01_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
completion_only,next_demand,29,29,0,21,8,0,0.7241379310344828,"['case_00_pre_failure', 'case_01_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
pose_matched_informative,residual,25,25,0,0,0,25,0.5,"['case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
pose_matched_informative,nearest,25,25,0,6,19,0,0.24,"['case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
pose_matched_informative,sigma_min,25,25,0,24,1,0,0.96,"['case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
pose_matched_informative,next_demand,25,25,0,17,8,0,0.68,"['case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations"
