panel,site_id,condition,completed,repeats,center_id,candidate_id,center_completed,position_match_error,orientation_match_error,scope,predictor,informative_pairs,comparable_pairs,unknown_pairs,concordant,discordant,ties,score,contributing_sites,note,repeat,cumulative_ms
a,case_00_pre_failure,A,0,5,,,,,,,,,,,,,,,,,,
a,case_00_pre_failure,current_only,5,5,,,,,,,,,,,,,,,,,,
a,case_00_pre_failure,B,5,5,,,,,,,,,,,,,,,,,,
a,case_01_pre_failure,A,0,5,,,,,,,,,,,,,,,,,,
a,case_01_pre_failure,current_only,0,5,,,,,,,,,,,,,,,,,,
a,case_01_pre_failure,B,0,5,,,,,,,,,,,,,,,,,,
a,case_02_pre_failure,A,0,5,,,,,,,,,,,,,,,,,,
a,case_02_pre_failure,current_only,0,5,,,,,,,,,,,,,,,,,,
a,case_02_pre_failure,B,0,5,,,,,,,,,,,,,,,,,,
a,case_03_pre_failure,A,0,5,,,,,,,,,,,,,,,,,,
a,case_03_pre_failure,current_only,0,5,,,,,,,,,,,,,,,,,,
a,case_03_pre_failure,B,0,5,,,,,,,,,,,,,,,,,,
a,case_04_pre_failure,A,0,5,,,,,,,,,,,,,,,,,,
a,case_04_pre_failure,current_only,0,5,,,,,,,,,,,,,,,,,,
a,case_04_pre_failure,B,0,5,,,,,,,,,,,,,,,,,,
a,case_05_pre_failure,A,0,5,,,,,,,,,,,,,,,,,,
a,case_05_pre_failure,current_only,0,5,,,,,,,,,,,,,,,,,,
a,case_05_pre_failure,B,0,5,,,,,,,,,,,,,,,,,,
a,case_06_pre_failure,A,0,5,,,,,,,,,,,,,,,,,,
a,case_06_pre_failure,current_only,5,5,,,,,,,,,,,,,,,,,,
a,case_06_pre_failure,B,5,5,,,,,,,,,,,,,,,,,,
a,case_07_pre_failure,A,5,5,,,,,,,,,,,,,,,,,,
a,case_07_pre_failure,current_only,5,5,,,,,,,,,,,,,,,,,,
a,case_07_pre_failure,B,5,5,,,,,,,,,,,,,,,,,,
a,case_08_pre_failure,A,5,5,,,,,,,,,,,,,,,,,,
a,case_08_pre_failure,current_only,5,5,,,,,,,,,,,,,,,,,,
a,case_08_pre_failure,B,5,5,,,,,,,,,,,,,,,,,,
b,case_00_pre_failure,,0,5,candidate_00,matched_00,0,1.1102230246251565e-16,2.1447564161711425e-16,,,,,,,,,,,,,
b,case_00_pre_failure,,0,5,candidate_00,matched_01,0,1.6653345369377348e-16,1.757442441841325e-16,,,,,,,,,,,,,
b,case_00_pre_failure,,0,5,candidate_00,matched_02,0,1.5700924586837752e-16,3.896573546014065e-16,,,,,,,,,,,,,
b,case_01_pre_failure,,0,5,candidate_00,matched_00,0,2.7755575615628914e-17,2.995064557808217e-16,,,,,,,,,,,,,
b,case_01_pre_failure,,5,5,candidate_00,matched_01,0,1.3092278833360675e-16,1.0788238602307459e-16,,,,,,,,,,,,,
b,case_01_pre_failure,,5,5,candidate_00,matched_02,0,1.1857187100668868e-16,2.9584038844998054e-16,,,,,,,,,,,,,
b,case_01_pre_failure,,0,5,candidate_05,matched_03,0,1.7772239894833365e-16,9.70401059119918e-17,,,,,,,,,,,,,
b,case_01_pre_failure,,5,5,candidate_05,matched_04,0,1.1443916996305594e-16,1.3869004563034967e-16,,,,,,,,,,,,,
b,case_01_pre_failure,,5,5,candidate_05,matched_05,0,1.1443916996305594e-16,1.6145665651303776e-16,,,,,,,,,,,,,
b,case_02_pre_failure,,0,5,candidate_00,matched_00,0,1.528132866464668e-16,2.62041611673174e-16,,,,,,,,,,,,,
b,case_02_pre_failure,,0,5,candidate_00,matched_01,0,2.342840229615247e-16,2.718867887198312e-16,,,,,,,,,,,,,
b,case_02_pre_failure,,0,5,candidate_00,matched_02,0,1.3964254612015911e-16,3.224898334255033e-16,,,,,,,,,,,,,
b,case_02_pre_failure,,0,5,candidate_04,matched_03,0,4.220764384040162e-17,3.467891454557505e-16,,,,,,,,,,,,,
b,case_02_pre_failure,,0,5,candidate_04,matched_04,0,1.7067422303575003e-16,2.7126078034672444e-16,,,,,,,,,,,,,
b,case_02_pre_failure,,0,5,candidate_04,matched_05,0,1.4488835837920476e-16,3.465041116767164e-16,,,,,,,,,,,,,
b,case_03_pre_failure,,0,5,candidate_00,matched_00,0,1.3877787807814457e-17,1.2438666253183344e-16,,,,,,,,,,,,,
b,case_03_pre_failure,,0,5,candidate_00,matched_01,0,2.2247786310271853e-16,6.740504688370539e-17,,,,,,,,,,,,,
b,case_03_pre_failure,,0,5,candidate_00,matched_02,0,6.206335383118183e-17,1.569948985942626e-16,,,,,,,,,,,,,
