site_id,role,a,b,a_completed,b_completed,a_prefix,b_prefix,same_pose_group,completion_differs,residual_concordance,nearest_concordance,sigma_min_concordance,next_demand_concordance
case_00_pre_failure,cghik_lost,candidate_00,candidate_01,0,5,0.0,30.0,False,True,1.0,0.0,1.0,1.0
case_00_pre_failure,cghik_lost,candidate_01,matched_00,5,0,30.0,0.0,False,True,1.0,0.0,1.0,1.0
case_00_pre_failure,cghik_lost,candidate_01,matched_01,5,0,30.0,0.0,False,True,1.0,0.0,1.0,1.0
case_00_pre_failure,cghik_lost,candidate_01,matched_02,5,0,30.0,0.0,False,True,1.0,0.0,1.0,1.0
case_01_pre_failure,trac_failed,candidate_00,matched_01,0,5,0.0,30.0,True,True,0.5,0.0,1.0,0.0
case_01_pre_failure,trac_failed,candidate_00,matched_02,0,5,0.0,30.0,True,True,0.5,0.0,1.0,1.0
case_01_pre_failure,trac_failed,candidate_00,matched_04,0,5,0.0,30.0,False,True,1.0,0.0,1.0,0.0
case_01_pre_failure,trac_failed,candidate_00,matched_05,0,5,0.0,30.0,False,True,1.0,0.0,1.0,1.0
case_01_pre_failure,trac_failed,candidate_04,matched_01,0,5,0.0,30.0,False,True,1.0,0.0,0.0,1.0
case_01_pre_failure,trac_failed,candidate_04,matched_02,0,5,0.0,30.0,False,True,1.0,0.0,0.0,1.0
case_01_pre_failure,trac_failed,candidate_04,matched_04,0,5,0.0,30.0,False,True,1.0,0.0,0.0,1.0
case_01_pre_failure,trac_failed,candidate_04,matched_05,0,5,0.0,30.0,False,True,1.0,0.0,0.0,1.0
case_01_pre_failure,trac_failed,candidate_05,matched_01,0,5,0.0,30.0,False,True,0.0,0.0,1.0,0.0
case_01_pre_failure,trac_failed,candidate_05,matched_02,0,5,0.0,30.0,False,True,0.0,0.0,1.0,1.0
case_01_pre_failure,trac_failed,candidate_05,matched_04,0,5,0.0,30.0,True,True,0.5,0.0,1.0,0.0
case_01_pre_failure,trac_failed,candidate_05,matched_05,0,5,0.0,30.0,True,True,0.5,0.0,1.0,1.0
case_01_pre_failure,trac_failed,matched_00,matched_01,0,5,0.0,30.0,True,True,0.5,1.0,1.0,0.0
case_01_pre_failure,trac_failed,matched_00,matched_02,0,5,0.0,30.0,True,True,0.5,0.0,1.0,1.0
case_01_pre_failure,trac_failed,matched_00,matched_04,0,5,0.0,30.0,False,True,1.0,1.0,1.0,0.0
case_01_pre_failure,trac_failed,matched_00,matched_05,0,5,0.0,30.0,False,True,1.0,0.0,1.0,1.0
case_01_pre_failure,trac_failed,matched_01,matched_03,5,0,30.0,0.0,False,True,0.0,1.0,1.0,0.0
case_01_pre_failure,trac_failed,matched_02,matched_03,5,0,30.0,0.0,False,True,0.0,0.0,1.0,1.0
case_01_pre_failure,trac_failed,matched_03,matched_04,0,5,0.0,30.0,True,True,0.5,1.0,1.0,0.0
case_01_pre_failure,trac_failed,matched_03,matched_05,0,5,0.0,30.0,True,True,0.5,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_00,matched_00,0,0,0.0,1.0,True,False,0.5,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_00,matched_01,0,0,0.0,1.0,True,False,0.5,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_00,matched_03,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_00,matched_04,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_03,matched_00,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_03,matched_01,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_03,matched_03,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_03,matched_04,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_04,matched_00,0,0,0.0,1.0,False,False,0.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_04,matched_01,0,0,0.0,1.0,False,False,0.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_04,matched_03,0,0,0.0,1.0,True,False,0.5,0.0,1.0,1.0
case_02_pre_failure,trac_failed,candidate_04,matched_04,0,0,0.0,1.0,True,False,0.5,0.0,1.0,1.0
case_02_pre_failure,trac_failed,matched_00,matched_02,0,0,1.0,0.0,True,False,0.5,0.0,1.0,1.0
case_02_pre_failure,trac_failed,matched_00,matched_05,0,0,1.0,0.0,False,False,0.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,matched_01,matched_02,0,0,1.0,0.0,True,False,0.5,0.0,1.0,1.0
case_02_pre_failure,trac_failed,matched_01,matched_05,0,0,1.0,0.0,False,False,0.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,matched_02,matched_03,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,matched_02,matched_04,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_02_pre_failure,trac_failed,matched_03,matched_05,0,0,1.0,0.0,True,False,0.5,0.0,1.0,1.0
case_02_pre_failure,trac_failed,matched_04,matched_05,0,0,1.0,0.0,True,False,0.5,0.0,1.0,1.0
case_03_pre_failure,trac_failed,candidate_00,candidate_09,0,0,0.0,1.0,False,False,1.0,0.0,1.0,0.0
case_03_pre_failure,trac_failed,candidate_00,matched_02,0,0,0.0,1.0,True,False,0.5,1.0,1.0,0.0
case_03_pre_failure,trac_failed,candidate_00,matched_03,0,0,0.0,1.0,False,False,1.0,0.0,1.0,0.0
case_03_pre_failure,trac_failed,candidate_08,candidate_09,0,0,0.0,1.0,False,False,1.0,0.0,0.0,1.0
case_03_pre_failure,trac_failed,candidate_08,matched_02,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_03_pre_failure,trac_failed,candidate_08,matched_03,0,0,0.0,1.0,False,False,1.0,0.0,1.0,1.0
case_03_pre_failure,trac_failed,candidate_09,matched_00,0,0,1.0,0.0,False,False,1.0,1.0,1.0,0.0
case_03_pre_failure,trac_failed,candidate_09,matched_01,0,0,1.0,0.0,False,False,1.0,0.0,1.0,0.0
case_03_pre_failure,trac_failed,matched_00,matched_02,0,0,0.0,1.0,True,False,0.5,1.0,1.0,0.0
case_03_pre_failure,trac_failed,matched_00,matched_03,0,0,0.0,1.0,False,False,1.0,1.0,1.0,0.0
case_03_pre_failure,trac_failed,matched_01,matched_02,0,0,0.0,1.0,True,False,0.5,0.0,1.0,0.0
case_03_pre_failure,trac_failed,matched_01,matched_03,0,0,0.0,1.0,False,False,1.0,0.0,1.0,0.0
case_05_pre_failure,trac_failed,candidate_00,candidate_03,0,0,1.0,0.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_00,candidate_04,0,0,1.0,2.0,False,False,1.0,1.0,1.0,0.0
case_05_pre_failure,trac_failed,candidate_00,matched_00,0,0,1.0,2.0,True,False,0.5,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_00,matched_01,0,0,1.0,2.0,True,False,0.5,1.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_00,matched_02,0,0,1.0,2.0,True,False,0.5,0.0,0.0,0.0
case_05_pre_failure,trac_failed,candidate_00,matched_03,0,0,1.0,3.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_00,matched_04,0,0,1.0,2.0,False,False,1.0,1.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_00,matched_05,0,0,1.0,2.0,False,False,1.0,0.0,0.0,0.0
case_05_pre_failure,trac_failed,candidate_03,candidate_04,0,0,0.0,2.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_03,matched_00,0,0,0.0,2.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_03,matched_01,0,0,0.0,2.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_03,matched_02,0,0,0.0,2.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_03,matched_03,0,0,0.0,3.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_03,matched_04,0,0,0.0,2.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_03,matched_05,0,0,0.0,2.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,candidate_04,matched_03,0,0,2.0,3.0,True,False,0.5,0.0,1.0,1.0
case_05_pre_failure,trac_failed,matched_00,matched_03,0,0,2.0,3.0,False,False,1.0,1.0,1.0,0.0
case_05_pre_failure,trac_failed,matched_01,matched_03,0,0,2.0,3.0,False,False,1.0,0.0,1.0,1.0
case_05_pre_failure,trac_failed,matched_02,matched_03,0,0,2.0,3.0,False,False,1.0,1.0,1.0,1.0
case_05_pre_failure,trac_failed,matched_03,matched_04,0,0,3.0,2.0,True,False,0.5,0.0,1.0,1.0
case_05_pre_failure,trac_failed,matched_03,matched_05,0,0,3.0,2.0,True,False,0.5,1.0,1.0,1.0
case_06_pre_failure,cghik_lost,candidate_00,candidate_02,0,5,0.0,30.0,False,True,1.0,0.0,1.0,1.0
case_06_pre_failure,cghik_lost,candidate_01,candidate_02,0,5,0.0,30.0,False,True,1.0,0.0,1.0,1.0
case_06_pre_failure,cghik_lost,candidate_02,matched_00,5,0,30.0,0.0,False,True,1.0,0.0,1.0,1.0
case_06_pre_failure,cghik_lost,candidate_02,matched_01,5,0,30.0,0.0,False,True,1.0,0.0,1.0,1.0
case_06_pre_failure,cghik_lost,candidate_02,matched_02,5,0,30.0,0.0,False,True,1.0,0.0,1.0,1.0
