site_id,role,center_source,center_id,matched_count,available
case_00_pre_failure,cghik_lost,original_focal,candidate_00,3,True
case_00_pre_failure,cghik_lost,refined_focal,candidate_01,0,False
case_01_pre_failure,trac_failed,original_focal,candidate_00,3,True
case_01_pre_failure,trac_failed,refined_focal,candidate_05,3,True
case_02_pre_failure,trac_failed,original_focal,candidate_00,3,True
case_02_pre_failure,trac_failed,refined_focal,candidate_04,3,True
case_03_pre_failure,trac_failed,original_focal,candidate_00,3,True
case_03_pre_failure,trac_failed,refined_focal,candidate_09,1,True
case_04_pre_failure,cghik_lost,original_focal,candidate_00,3,True
case_04_pre_failure,cghik_lost,refined_focal,candidate_03,0,False
case_05_pre_failure,trac_failed,original_focal,candidate_00,3,True
case_05_pre_failure,trac_failed,refined_focal,candidate_04,3,True
case_06_pre_failure,cghik_lost,original_focal,candidate_00,3,True
case_06_pre_failure,cghik_lost,refined_focal,candidate_02,0,False
case_07_pre_failure,successful_control,original_focal,candidate_00,3,True
case_07_pre_failure,successful_control,refined_focal,candidate_06,3,True
case_08_pre_failure,successful_control,original_focal,candidate_00,3,True
case_08_pre_failure,successful_control,refined_focal,candidate_04,3,True
