site_id,uid,role,family,frame,horizon,current_query_hash,legal_candidates,focal_trac_5ms,previous_first_dls_trac_5ms,nearest_trac_5ms,refined_focal_trac_5ms,minimum_completed,maximum_completed,completion_spread,focal_trac_100ms,nearest_trac_100ms,focal_trac_5ms_interior,nearest_trac_5ms_interior,refined_focal_trac_100ms,refined_focal_trac_5ms_interior,previous_first_dls_trac_100ms,previous_first_dls_trac_5ms_interior
case_00_first_divergence,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,0,30,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,6,5/5,5/5,5/5,5/5,5,5,0,,,,,,,,
case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,119,30,8829e3f17af5b2a401d380d7639db5911ffa3875f5e5a89bef37f8562ae7a6c8,2,0/5,,0/5,5/5,0,5,5,0/5,0/5,0/5,0/5,5/5,5/5,,
case_01_first_divergence,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,smooth,0,30,fd8c36aeb79bb60b545fa229f8a8c0d52f95ddd3aaa3fe83eb518302f85c0cc8,5,5/5,5/5,5/5,5/5,5,5,0,,,,,,,,
case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,smooth,33,30,77e6efdcd131605c671a134db0400b65f98b404df00debb376a60a91276c8bf1,6,0/5,0/5,0/5,0/5,0,0,0,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
case_02_first_divergence,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,near_singular,0,30,a673acf4bb866bfae6359f79b8e28107fff7a753ba67d29ca112a5b02c504c8e,6,5/5,5/5,5/5,5/5,5,5,0,,,,,,,,
case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,near_singular,86,30,4b867099b853a697c8cfbedddf723fae985c90e1b4ab11e164d0e46edb92af02,5,0/5,0/5,0/5,0/5,0,0,0,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
case_03_first_divergence,b82acfb0f8aeca32d455788ace0eae3c1ac31cfac5269c5a38c8b080b1192218,trac_failed,near_singular,0,30,fb87d31cb6bf5fb8f7ff0dad1d373f19d33a57ce0a66e717bee8e949106be457,6,5/5,5/5,5/5,5/5,5,5,0,,,,,,,,
case_03_pre_failure,b82acfb0f8aeca32d455788ace0eae3c1ac31cfac5269c5a38c8b080b1192218,trac_failed,near_singular,86,30,c65c8fabc9ce4b2502a3fd76b1bd4d142281197ba4734fed6019de61d6e9d137,10,0/5,0/5,0/5,0/5,0,0,0,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
case_04_first_divergence,c27ce734147fac572ca1ddd088565aeb5f022220251ef6f10a5d3db6670559b0,cghik_lost,near_singular,0,30,e9a8a66b66f3cf9f4b559642af7d7a6e4236d472817666322f4ac770b8f6ecdc,5,5/5,5/5,5/5,5/5,5,5,0,,,,,,,,
case_04_pre_failure,c27ce734147fac572ca1ddd088565aeb5f022220251ef6f10a5d3db6670559b0,cghik_lost,near_singular,124,25,df6731b5c9cba3dfd36c632947b7b76985627b231c74a150e8927870e3026c0c,4,0/5,0/5,0/5,0/5,0,0,0,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
case_05_first_divergence,d13cc08f12e083b576378a71eba2a5f5856319a74339c4d99b24a4e6647cfc6e,trac_failed,near_singular,0,30,845488e2e8baefef3f9d6f13095e98c2d0d37f78405f692571c68467a13d2bec,5,5/5,5/5,5/5,5/5,5,5,0,,,,,,,,
case_05_pre_failure,d13cc08f12e083b576378a71eba2a5f5856319a74339c4d99b24a4e6647cfc6e,trac_failed,near_singular,71,30,e1aa83e9279582566d0458f4e96b9a4de7462faf5e2b299d280486d88258aeea,5,0/5,0/5,0/5,0/5,0,0,0,0/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5
case_06_first_divergence,f69a8f1f6eef07cefc66000053424135c5ec7250cc78d7cb2319c6615f8a8060,cghik_lost,near_singular,0,30,4d45caacfd8704fbcf39b672dd9f45e0412329efb170302bd84f4771b96d655b,5,5/5,5/5,5/5,5/5,5,5,0,,,,,,,,
case_06_pre_failure,f69a8f1f6eef07cefc66000053424135c5ec7250cc78d7cb2319c6615f8a8060,cghik_lost,near_singular,95,30,8c58f3846e9880206392e7cd4cc87d5dbcbf11250b23c168fcca04dd391a15fd,3,0/5,0/5,0/5,5/5,0,5,5,0/5,0/5,0/5,0/5,5/5,5/5,0/5,0/5
case_07_first_divergence,4cc5ef5c4c9aa6bf49a51ea1b0c183d22a3ad3076219f3fdaaa33a4c97b7085d,successful_control,near_singular,0,30,b9f51b699b06669d7de234ea2f2851a2f068d23f2de6a41fad549476b678f27b,5,5/5,5/5,5/5,5/5,5,5,0,,,,,,,,
case_07_pre_failure,4cc5ef5c4c9aa6bf49a51ea1b0c183d22a3ad3076219f3fdaaa33a4c97b7085d,successful_control,near_singular,90,30,37058a9de4cb3305c690cd5fb995d00ca37d045f906ee32f2dc85aba3ba67599,7,5/5,5/5,5/5,5/5,5,5,0,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5
case_08_first_divergence,34d461249b6c84388a8a925d2ced5254dc7a9ea2526b13b9a7a34604308cc719,successful_control,smooth,0,30,82c4a9f0c4567b97b1a1bd7450b6fc224b98e6bdcecf27292aba451b65b75388,5,5/5,5/5,5/5,5/5,5,5,0,,,,,,,,
case_08_pre_failure,34d461249b6c84388a8a925d2ced5254dc7a9ea2526b13b9a7a34604308cc719,successful_control,smooth,33,30,bab4bba317138f18612fc5baf35ce1108c89dbf75450e91c98e84f1e6530324d,5,5/5,5/5,5/5,5/5,5,5,0,5/5,5/5,5/5,5/5,5/5,5/5,,
