input_id,site_id,uid,method,repeats,accepted_count,internal_success_count,native_return_codes,position_error_m,orientation_error_rad,velocity_utilization,latency_ms,failure_reasons,known_legal_command_witness
state_14_candidate_00,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,trac_strict_5ms,5,5,5,"[1, 1, 1, 1, 1]","{'n': 5, 'mean': 1.4461412797011342e-06, 'p50': 1.4461412797011342e-06, 'p95': 1.4461412797011342e-06, 'p99': 1.4461412797011342e-06, 'max': 1.4461412797011342e-06}","{'n': 5, 'mean': 3.932322596068193e-06, 'p50': 3.932322596068193e-06, 'p95': 3.932322596068193e-06, 'p99': 3.932322596068193e-06, 'max': 3.932322596068193e-06}","{'n': 5, 'mean': 0.1403547571588084, 'p50': 0.1403547571588084, 'p95': 0.1403547571588084, 'p99': 0.1403547571588084, 'max': 0.1403547571588084}","{'n': 5, 'mean': 0.34839220000000004, 'p50': 0.245454, 'p95': 0.7275039999999999, 'p99': 0.8129864, 'max': 0.834357}","['accepted', 'accepted', 'accepted', 'accepted', 'accepted']",outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_00_L1_dls_prediction.json
state_14_candidate_00,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,trac_task_5ms,5,5,5,"[1, 1, 1, 1, 1]","{'n': 5, 'mean': 1.1457280731963021e-05, 'p50': 1.1457280731963021e-05, 'p95': 1.1457280731963021e-05, 'p99': 1.1457280731963021e-05, 'max': 1.1457280731963021e-05}","{'n': 5, 'mean': 1.959212864126254e-05, 'p50': 1.959212864126254e-05, 'p95': 1.959212864126254e-05, 'p99': 1.959212864126254e-05, 'max': 1.959212864126254e-05}","{'n': 5, 'mean': 0.157911587959238, 'p50': 0.157911587959238, 'p95': 0.157911587959238, 'p99': 0.157911587959238, 'max': 0.157911587959238}","{'n': 5, 'mean': 0.2698674, 'p50': 0.211144, 'p95': 0.4828775999999999, 'p99': 0.53539312, 'max': 0.548522}","['accepted', 'accepted', 'accepted', 'accepted', 'accepted']",outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_00_L1_dls_prediction.json
state_14_candidate_00,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,trac_strict_20ms,5,5,5,"[1, 1, 1, 1, 1]","{'n': 5, 'mean': 1.4461412797011342e-06, 'p50': 1.4461412797011342e-06, 'p95': 1.4461412797011342e-06, 'p99': 1.4461412797011342e-06, 'max': 1.4461412797011342e-06}","{'n': 5, 'mean': 3.932322596068193e-06, 'p50': 3.932322596068193e-06, 'p95': 3.932322596068193e-06, 'p99': 3.932322596068193e-06, 'max': 3.932322596068193e-06}","{'n': 5, 'mean': 0.1403547571588084, 'p50': 0.1403547571588084, 'p95': 0.1403547571588084, 'p99': 0.1403547571588084, 'max': 0.1403547571588084}","{'n': 5, 'mean': 0.22823439999999998, 'p50': 0.224346, 'p95': 0.2736382, 'p99': 0.28069244, 'max': 0.282456}","['accepted', 'accepted', 'accepted', 'accepted', 'accepted']",outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_00_L1_dls_prediction.json
state_14_candidate_00,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,trac_task_20ms,5,5,5,"[1, 1, 1, 1, 1]","{'n': 5, 'mean': 1.1457280731963021e-05, 'p50': 1.1457280731963021e-05, 'p95': 1.1457280731963021e-05, 'p99': 1.1457280731963021e-05, 'max': 1.1457280731963021e-05}","{'n': 5, 'mean': 1.959212864126254e-05, 'p50': 1.959212864126254e-05, 'p95': 1.959212864126254e-05, 'p99': 1.959212864126254e-05, 'max': 1.959212864126254e-05}","{'n': 5, 'mean': 0.157911587959238, 'p50': 0.157911587959238, 'p95': 0.157911587959238, 'p99': 0.157911587959238, 'max': 0.157911587959238}","{'n': 5, 'mean': 0.24177799999999997, 'p50': 0.243417, 'p95': 0.2852304, 'p99': 0.29287008, 'max': 0.29478}","['accepted', 'accepted', 'accepted', 'accepted', 'accepted']",outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_00_L1_dls_prediction.json
state_14_candidate_00,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,dls_strict,1,1,1,[None],"{'n': 1, 'mean': 3.3095948714064748e-06, 'p50': 3.3095948714064748e-06, 'p95': 3.3095948714064748e-06, 'p99': 3.3095948714064748e-06, 'max': 3.3095948714064748e-06}","{'n': 1, 'mean': 6.609663087119784e-06, 'p50': 6.609663087119784e-06, 'p95': 6.609663087119784e-06, 'p99': 6.609663087119784e-06, 'max': 6.609663087119784e-06}","{'n': 1, 'mean': 0.13536585915595511, 'p50': 0.13536585915595511, 'p95': 0.13536585915595511, 'p99': 0.13536585915595511, 'max': 0.13536585915595511}","{'n': 1, 'mean': 2.64948, 'p50': 2.64948, 'p95': 2.64948, 'p99': 2.64948, 'max': 2.64948}",['accepted'],outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_00_L1_dls_prediction.json
state_14_candidate_00,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,dls_task,1,1,1,[None],"{'n': 1, 'mean': 0.0003094857567416839, 'p50': 0.0003094857567416839, 'p95': 0.0003094857567416839, 'p99': 0.0003094857567416839, 'max': 0.0003094857567416839}","{'n': 1, 'mean': 0.0008220008915413252, 'p50': 0.0008220008915413252, 'p95': 0.0008220008915413252, 'p99': 0.0008220008915413252, 'max': 0.0008220008915413252}","{'n': 1, 'mean': 0.1091124283595889, 'p50': 0.1091124283595889, 'p95': 0.1091124283595889, 'p99': 0.1091124283595889, 'max': 0.1091124283595889}","{'n': 1, 'mean': 0.698174, 'p50': 0.698174, 'p95': 0.698174, 'p99': 0.698174, 'max': 0.698174}",['accepted'],outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_00_L1_dls_prediction.json
state_14_candidate_01,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,trac_strict_5ms,5,5,5,"[1, 1, 1, 1, 1]","{'n': 5, 'mean': 1.6377760834463387e-06, 'p50': 1.6377760834463385e-06, 'p95': 1.6377760834463385e-06, 'p99': 1.6377760834463385e-06, 'max': 1.6377760834463385e-06}","{'n': 5, 'mean': 4.585380275984262e-06, 'p50': 4.585380275984262e-06, 'p95': 4.585380275984262e-06, 'p99': 4.585380275984262e-06, 'max': 4.585380275984262e-06}","{'n': 5, 'mean': 0.14175389626070262, 'p50': 0.14175389626070262, 'p95': 0.14175389626070262, 'p99': 0.14175389626070262, 'max': 0.14175389626070262}","{'n': 5, 'mean': 0.22115419999999997, 'p50': 0.196531, 'p95': 0.2766848, 'p99': 0.28209776000000003, 'max': 0.283451}","['accepted', 'accepted', 'accepted', 'accepted', 'accepted']",outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_01_L1_dls_prediction.json
state_14_candidate_01,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,trac_task_5ms,5,5,5,"[1, 1, 1, 1, 1]","{'n': 5, 'mean': 1.0398812293643789e-05, 'p50': 1.0398812293643789e-05, 'p95': 1.0398812293643789e-05, 'p99': 1.0398812293643789e-05, 'max': 1.0398812293643789e-05}","{'n': 5, 'mean': 2.1165531357930452e-05, 'p50': 2.1165531357930452e-05, 'p95': 2.1165531357930452e-05, 'p99': 2.1165531357930452e-05, 'max': 2.1165531357930452e-05}","{'n': 5, 'mean': 0.15950675838438294, 'p50': 0.15950675838438294, 'p95': 0.15950675838438294, 'p99': 0.15950675838438294, 'max': 0.15950675838438294}","{'n': 5, 'mean': 0.22806759999999998, 'p50': 0.210142, 'p95': 0.28691, 'p99': 0.2965348, 'max': 0.298941}","['accepted', 'accepted', 'accepted', 'accepted', 'accepted']",outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_01_L1_dls_prediction.json
state_14_candidate_01,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,trac_strict_20ms,5,5,5,"[1, 1, 1, 1, 1]","{'n': 5, 'mean': 1.6377760834463387e-06, 'p50': 1.6377760834463385e-06, 'p95': 1.6377760834463385e-06, 'p99': 1.6377760834463385e-06, 'max': 1.6377760834463385e-06}","{'n': 5, 'mean': 4.585380275984262e-06, 'p50': 4.585380275984262e-06, 'p95': 4.585380275984262e-06, 'p99': 4.585380275984262e-06, 'max': 4.585380275984262e-06}","{'n': 5, 'mean': 0.14175389626070262, 'p50': 0.14175389626070262, 'p95': 0.14175389626070262, 'p99': 0.14175389626070262, 'max': 0.14175389626070262}","{'n': 5, 'mean': 0.2202864, 'p50': 0.205654, 'p95': 0.29022479999999995, 'p99': 0.30622815999999997, 'max': 0.310229}","['accepted', 'accepted', 'accepted', 'accepted', 'accepted']",outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_01_L1_dls_prediction.json
state_14_candidate_01,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,trac_task_20ms,5,5,5,"[1, 1, 1, 1, 1]","{'n': 5, 'mean': 1.0398812293643789e-05, 'p50': 1.0398812293643789e-05, 'p95': 1.0398812293643789e-05, 'p99': 1.0398812293643789e-05, 'max': 1.0398812293643789e-05}","{'n': 5, 'mean': 2.1165531357930452e-05, 'p50': 2.1165531357930452e-05, 'p95': 2.1165531357930452e-05, 'p99': 2.1165531357930452e-05, 'max': 2.1165531357930452e-05}","{'n': 5, 'mean': 0.15950675838438294, 'p50': 0.15950675838438294, 'p95': 0.15950675838438294, 'p99': 0.15950675838438294, 'max': 0.15950675838438294}","{'n': 5, 'mean': 0.2989922, 'p50': 0.282112, 'p95': 0.46039759999999996, 'p99': 0.49441472, 'max': 0.502919}","['accepted', 'accepted', 'accepted', 'accepted', 'accepted']",outputs/continuation_mechanism_study/nonlinear_continuation_reference/successful_witnesses/state_14_candidate_01_L1_dls_prediction.json
