input_id,site_id,uid,repeat,frame,previous_q,target_position,target_rotation,dt,query_hash,method,internal_ok,internal_status,native_return_code,iterations,solver_function_evaluations,finite,q,accepted,verification_reasons,position_error,orientation_error,total_latency_ns,conversion_ns,solve_ns,verification_ns,budget_ms,returned_within_5ms,returned_within_20ms,lower,upper,seed_q,velocity_utilization,nominal_velocity_utilization,velocity_utilization_per_joint,joint_limit_margin,failure_kind
state_13_candidate_04,state_13,0041eb55dd40437ac17fe39ad8e73df25d7db92ccc7ab532775994d081047948,4,75,"[1.100810687017498, 0.03315249873860455, -2.187111122854869, -0.4606115635084846, 0.22632611933642174, 0.7120092446393098, -1.0747262162740345]","[0.17408042245814132, -0.2155450374352675, 0.9559770094503807]","[[0.9602254138123807, 0.16371790185083468, 0.2261937295382049], [0.20603814204950008, -0.9621728707437359, -0.1782460401398821], [0.18845540238908562, 0.21776091343103546, -0.9576349752865384]]",0.02,0eac26c4468301b533d6e22b6ac1acc609a955f42e9b06b3a0e1a241390590ae,trac_task_20ms,True,native_success,1,,,True,"[1.0692103690516366, 0.06357047694063464, -2.212117576537154, -0.4769760089958575, 0.2773661622001063, 0.7214149374277757, -1.0922646752259813]",True,[],0.0002791202496151514,0.0003047112639361902,506294,63490,223589,218389,20,True,True,"[1.0572106870174982, -0.01044750126139545, -2.230711122854869, -0.5042115635084845, 0.1740261193364218, 0.6597092446393099, -1.1270262162740343]","[1.144410687017498, 0.07675249873860453, -2.1435111228548696, -0.4170115635084846, 0.2786261193364217, 0.7643092446393097, -1.0224262162740347]","[1.100810687017498, 0.03315249873860455, -2.187111122854869, -0.4606115635084846, 0.22632611933642174, 0.7120092446393098, -1.0747262162740345]",0.9759090413706415,0.97777859892116,"[0.7247779349968232, 0.6976600505052774, 0.573542515648737, 0.37533131851772766, 0.9759090413706415, 0.17984116230336378, 0.335343383402423]",0.4071760089958575,accepted
state_08_candidate_00,state_08,06ca0c5d8d0cb31f50338aee261f6c596974205eb08300b4526361bb949a0c56,3,75,"[-1.425286180067754, 0.39303002035763585, -0.2617401363953118, -1.6040816691381363, 0.11302911886768265, 1.4122442018381558, 0.10947919609457729]","[-0.032854940350743364, -0.5915895744097782, 0.3696374711299105]","[[-0.2217013665765356, -0.9712300788740037, 0.08695192895211226], [-0.7985509172962597, 0.2320093041369958, 0.555417064267177], [-0.5596114156657268, 0.05370117954257223, -0.8270134501761973]]",0.02,3a942c03f7f1445285e1fe0af1e3f87504f5ae42c98817edc0de1ee2296d4df4,trac_task_5ms,True,native_success,1,,,True,"[-1.4205668981897304, 0.4004906428338755, -0.25621179070008104, -1.6135628974940077, 0.12201409422717555, 1.4030909972329946, 0.11726555550353025]",True,[],0.00011705581096522234,0.00019831707904523349,252171,28490,93652,129444,5,True,True,"[-1.468886180067754, 0.3494300203576359, -0.3053401363953117, -1.6476816691381362, 0.060729118867682653, 1.359944201838156, 0.0571791960945773]","[-1.3816861800677542, 0.4366300203576358, -0.21814013639531182, -1.5604816691381365, 0.16532911886768262, 1.4645442018381556, 0.16177919609457728]","[-1.425286180067754, 0.39303002035763585, -0.2617401363953118, -1.6040816691381363, 0.11302911886768265, 1.4122442018381558, 0.10947919609457729]",0.21745936596035312,0.21795927254876774,"[0.1082404100464158, 0.17111519440916587, 0.12679691961538422, 0.21745936596035312, 0.1717968519979522, 0.1750134723740196, 0.14887876498954036]",1.3623093571661244,accepted
state_18_candidate_02,state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,3,75,"[-2.4245479275783324, -0.3414542202098927, 1.2997011260345739, -0.41673619809869816, 0.025825677797882546, 1.9602873222212116, 1.4831592350676754]","[0.3175181389147155, -0.07648929601709437, 1.096889822235397]","[[-0.8331180598515749, -0.3302600090843912, 0.4436694994573389], [-0.3921156303851851, -0.21305358540011773, -0.8949041860198127], [0.3900764421966247, -0.9195305846722732, 0.04799867805982491]]",0.02,7a3c79b084f568e28475926aa657872e88d4d471ef927c099ac00a6b7e5f086a,trac_task_5ms,True,native_success,1,,,True,"[-2.455553058582168, -0.33708502677334307, 1.3124646588027167, -0.4079567860869434, 0.03154965761609673, 1.9500148998420956, 1.4854937482058612]",True,[],0.00014000062073108206,0.00013473689762756577,324990,21007,93250,209724,5,True,True,"[-2.468147927578332, -0.3850542202098926, 1.256101126034574, -0.46033619809869813, -0.02647432220211745, 1.9079873222212118, 1.4308592350676756]","[-2.3809479275783327, -0.2978542202098928, 1.3433011260345737, -0.3731361980986982, 0.07812567779788253, 2.012587322221211, 1.5354592350676752]","[-2.4245479275783324, -0.3414542202098927, 1.2997011260345739, -0.41673619809869816, 0.025825677797882546, 1.9602873222212116, 1.4831592350676754]",0.7111268578861406,0.7127616322720858,"[0.7111268578861406, 0.10021085863645925, 0.2927415772509815, 0.20136266082006307, 0.10944512080715459, 0.1964134298110127, 0.04463696248921183]",0.33815678608694344,accepted
state_14_candidate_02,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,0,75,"[2.4559384905780695, 0.23030860544410925, -1.8209475150994716, -0.33264966097147186, -1.2909540106747157, 0.22039283642896695, 0.4329923703735962]","[0.05886604939105978, 0.08186151759839032, 0.9636592689428848]","[[0.44718195319734083, -0.8912148858095574, 0.07592317199688599], [-0.7774093388478982, -0.4292457032780964, -0.45976390255147925], [0.44233812927068034, 0.146574737007268, -0.8847897071420785]]",0.02,a9e85765b2a0c1f352611c29f3e6e61636da7ca53d26266ea4c177df9715c525,dls_strict,True,converged,,7,15,True,"[2.4565701108981353, 0.2256601638852112, -1.8239148735745445, -0.3347476618638935, -1.294144611891444, 0.22585312769029448, 0.42607500754004496]",True,[],3.7601797556784378e-06,6.721340761808547e-06,3106304,23628,2980505,101787,,True,True,"[2.41233849057807, 0.18670860544410928, -1.8645475150994715, -0.3762496609714718, -1.3432540106747155, 0.16809283642896697, 0.38069237037359627]","[2.499538490578069, 0.27390860544410917, -1.7773475150994718, -0.28904966097147194, -1.238654010674716, 0.2726928364289669, 0.4852923703735962]","[2.4559384905780695, 0.23030860544410925, -1.8209475150994716, -0.33264966097147186, -1.2909540106747157, 0.22039283642896695, 0.4329923703735962]",0.13226315169314085,0.13251652937837674,"[0.01448670458866529, 0.10661563208481747, 0.06805868062093809, 0.048119286523431774, 0.06100575940206895, 0.10440327459517248, 0.13226315169314085]",0.2433531276902945,accepted
state_18_candidate_00,state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,2,75,"[-2.426801562809565, -0.3444276289503755, 1.2898073028288033, -0.41686920772147834, 0.038900677797882546, 1.960272364227653, 1.480932000557626]","[0.3175181389147155, -0.07648929601709437, 1.096889822235397]","[[-0.8331180598515749, -0.3302600090843912, 0.4436694994573389], [-0.3921156303851851, -0.21305358540011773, -0.8949041860198127], [0.3900764421966247, -0.9195305846722732, 0.04799867805982491]]",0.02,7fe4af04f1cd5df95f02f8a91097814f7163f2b0bf57bd83c3a725442b42baa0,trac_strict_5ms,True,native_success,1,,,True,"[-2.450971972513487, -0.3402153335534194, 1.298157938363289, -0.41237135062260855, 0.04244073529749405, 1.951972272959216, 1.4836213900455848]",True,[],2.0209812517795736e-06,2.5877087730145675e-06,250674,23180,103322,123844,5,True,True,"[-2.4704015628095646, -0.3880276289503754, 1.2462073028288034, -0.4604692077214783, -0.013399322202117451, 1.9079723642276532, 1.4286320005576263]","[-2.3832015628095653, -0.30082762895037557, 1.3334073028288032, -0.37326920772147837, 0.09120067779788253, 2.0125723642276525, 1.5332320005576259]","[-2.426801562809565, -0.3444276289503755, 1.2898073028288033, -0.41686920772147834, 0.038900677797882546, 1.960272364227653, 1.480932000557626]",0.5543671950440859,0.5556416023890149,"[0.5543671950440859, 0.09661227974669981, 0.19152833794692165, 0.103161860065821, 0.06768752389314539, 0.1587015538898089, 0.05142236114643815]",0.3425713506226086,accepted
failure_input_candidate_01,state_14_frame_102,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,4,102,"[2.533788118695976, 0.0706116591173852, -1.7483807706805574, -0.39016115901167253, -1.5635420628481231, 0.32652567612210776, 0.27574745330979844]","[0.13744098569017726, 0.029594308991476144, 0.9758989695284097]","[[0.5341320980132692, -0.845119211517556, 0.021827051928465513], [-0.7172987827735959, -0.4667090986538268, -0.5173635795697742], [0.4474207841657123, 0.26068397641143404, -0.8554872917459744]]",0.02,518016465fd41d4767a62cd5fc5e7ff772ad0dc2c28c3a2bdaae6aedc755ef6e,trac_task_20ms,True,native_success,1,,,True,"[2.5710037697586063, 0.06463331281331769, -1.7759175011425448, -0.3952385948432256, -1.5744342722394793, 0.32904578384432837, 0.27351212303665784]",True,[],8.130311123919654e-06,1.1386740500285892e-05,230578,20920,92119,117252,20,True,True,"[2.4901881186959764, 0.02701165911738521, -1.7919807706805573, -0.4337611590116725, -1.615842062848123, 0.2742256761221078, 0.22344745330979845]","[2.5773881186959757, 0.11421165911738519, -1.7047807706805576, -0.34656115901167256, -1.5112420628481233, 0.3788256761221077, 0.3280474533097984]","[2.533788118695976, 0.0706116591173852, -1.7483807706805574, -0.39016115901167253, -1.5635420628481231, 0.32652567612210776, 0.27574745330979844]",0.8535699785006938,0.8555322083363277,"[0.8535699785006938, 0.1371180344969614, 0.631576386742829, 0.11645495026497861, 0.2082640418997353, 0.04818561610364456, 0.04274054059542258]",0.32543859484322557,accepted
state_14_candidate_00,state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,0,75,"[2.4668384905780694, 0.22850866254833804, -1.819687172539125, -0.33521522849501284, -1.2982903121457678, 0.2189558108222837, 0.4377617990495719]","[0.05886604939105978, 0.08186151759839032, 0.9636592689428848]","[[0.44718195319734083, -0.8912148858095574, 0.07592317199688599], [-0.7774093388478982, -0.4292457032780964, -0.45976390255147925], [0.44233812927068034, 0.146574737007268, -0.8847897071420785]]",0.02,26382ac06d938939a11e05fb4d68434685e9dd0c0c490809889522859b99699d,dls_strict,True,converged,,7,15,True,"[2.4674840337925295, 0.22386355936698438, -1.8227620943853673, -0.33725394417762933, -1.3015605707178626, 0.22440528812860172, 0.43068216461571546]",True,[],3.3095948714064748e-06,6.609663087119784e-06,2649480,19790,2531393,98006,,True,True,"[2.4232384905780697, 0.18490866254833807, -1.863287172539125, -0.37881522849501276, -1.3505903121457676, 0.16665581082228373, 0.38546179904957195]","[2.510438490578069, 0.272108662548338, -1.7760871725391252, -0.2916152284950129, -1.245990312145768, 0.2712558108222836, 0.49006179904957187]","[2.4668384905780694, 0.22850866254833804, -1.819687172539125, -0.33521522849501284, -1.2982903121457678, 0.2189558108222837, 0.4377617990495719]",0.13536585915595511,0.1356251807252194,"[0.014806037028901079, 0.10653906379251528, 0.07052573041840025, 0.04675953400496531, 0.06252884459072143, 0.10419650681296433, 0.13536585915595511]",0.24190528812860174,accepted
state_13_candidate_05,state_13,0041eb55dd40437ac17fe39ad8e73df25d7db92ccc7ab532775994d081047948,1,75,"[1.076437247162428, 0.031924208625433055, -2.1609511228548692, -0.4581792580806854, 0.2250781477642947, 0.7110200424690613, -1.0739156055017467]","[0.17408042245814132, -0.2155450374352675, 0.9559770094503807]","[[0.9602254138123807, 0.16371790185083468, 0.2261937295382049], [0.20603814204950008, -0.9621728707437359, -0.1782460401398821], [0.18845540238908562, 0.21776091343103546, -0.9576349752865384]]",0.02,31e3aa77351237ae68bb87a0cfb4f197b2b4a9291c8130968e128c3150231fac,trac_strict_5ms,True,native_success,1,,,True,"[1.0641047617101689, 0.04514580919366086, -2.15768250834806, -0.45733332690067097, 0.23876374728874192, 0.7151359444278976, -1.0762026950697638]",True,[],2.952194247329346e-07,1.1218666622803755e-06,241034,20323,111810,108631,5,True,True,"[1.032837247162428, -0.011675791374566943, -2.204551122854869, -0.5017792580806852, 0.1727781477642947, 0.6587200424690614, -1.1262156055017465]","[1.1200372471624278, 0.07552420862543303, -2.1173511228548696, -0.41457925808068546, 0.27737814776429465, 0.7633200424690612, -1.021615605501747]","[1.076437247162428, 0.031924208625433055, -2.1609511228548692, -0.4581792580806854, 0.2250781477642947, 0.7110200424690613, -1.0739156055017467]",0.3032477194547662,0.3039448406489151,"[0.2828551709233731, 0.3032477194547662, 0.07496822263324, 0.01940209128473427, 0.26167494310606554, 0.0786979342033724, 0.04373020206533754]",0.387533326900671,accepted
case_01_candidate_05,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,2,34,"[-1.2914180068763617, -0.037589883577423426, -1.5313245601712437, -2.019454846184302, -1.0775893164925046, 1.869328375377989, -1.8392082479830762]","[-0.5471975663261858, -0.09866402058391988, 0.4683117341253371]","[[0.7172088051968888, -0.6246338896145834, -0.3089401781785716], [-0.1971336117523349, -0.6070862241544716, 0.7697952036479224], [-0.6683934985212907, -0.4912014051148704, -0.5585439201599511]]",0.02,033f3b5a57b8a7b819dc9b94101bf36a45753d1b402eebe0e865c02ba9182d09,trac_task_20ms,True,native_success,1,,,True,"[-1.2777336575790152, -0.008541988663601476, -1.565515010911225, -2.0279171797832976, -1.061421715441202, 1.8813538820435907, -1.8537521491299338]",True,[],0.0005017006305027566,0.0009290261180811859,197098,19923,70151,106634,20,True,True,"[-1.3350180068763615, -0.08118988357742342, -1.5749245601712436, -2.0630548461843015, -1.1298893164925043, 1.8170283753779892, -1.891508247983076]","[-1.2478180068763618, 0.006010116422576573, -1.4877245601712439, -1.975854846184302, -1.0252893164925048, 1.9216283753779888, -1.7869082479830765]","[-1.2914180068763617, -0.037589883577423426, -1.5313245601712437, -2.019454846184302, -1.0775893164925046, 1.869328375377989, -1.8392082479830762]",0.7841846499995707,0.7859873733329031,"[0.31386122241620207, 0.6662361218766503, 0.7841846499995707, 0.19409022016045252, 0.3091319512677352, 0.22993320584324375, 0.27808606399345226]",1.0435478508700662,accepted
state_18_candidate_04,state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,3,75,"[-2.422268745837378, -0.3384827783172014, 1.3095690499627337, -0.4166571378082285, 0.012750677797882547, 1.9602963159371098, 1.485385505805939]","[0.3175181389147155, -0.07648929601709437, 1.096889822235397]","[[-0.8331180598515749, -0.3302600090843912, 0.4436694994573389], [-0.3921156303851851, -0.21305358540011773, -0.8949041860198127], [0.3900764421966247, -0.9195305846722732, 0.04799867805982491]]",0.02,e3b75fc5403ffef332ad4ea5c515c560bc11af70f406b1ed15780230b47fb6a1,trac_strict_20ms,True,native_success,1,,,True,"[-2.4465834207526225, -0.334297308439242, 1.3181621603965947, -0.4121546869609192, 0.01623662322019079, 1.9520096796073698, 1.4880314154826801]",True,[],2.0724202877445473e-06,2.6226309405424485e-06,197814,18066,77011,102496,20,True,True,"[-2.4658687458373776, -0.38208277831720133, 1.2659690499627339, -0.46025713780822847, -0.039549322202117446, 1.90799631593711, 1.4330855058059393]","[-2.3786687458373783, -0.2948827783172015, 1.3531690499627336, -0.3730571378082285, 0.06505067779788253, 2.012596315937109, 1.5376855058059389]","[-2.422268745837378, -0.3384827783172014, 1.3095690499627337, -0.4166571378082285, 0.012750677797882547, 1.9602963159371098, 1.485385505805939]",0.5576760301661589,0.5589580440286098,"[0.5576760301661589, 0.09599701554952808, 0.19708968885002334, 0.10326722126856122, 0.06665287614356108, 0.15844428928757223, 0.05059100720346184]",0.3423546869609192,accepted
