run_id,site_id,uid,family,method,repeat,frames,initial_q,complete,accepted_frames,all_frames_within_20ms,complete_within_20ms,first_failure_frame,first_failure_kind,total_latency_ns
trajectory_36_dls_task_r0,trajectory_36,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,high_curvature,dls_task,0,150,"[0.40000408668931736, -0.48746864683241387, -0.584845899901387, -1.4547797451769853, -1.1073320862801925, 2.415286074104135, 0.5552344850418183]",True,150,True,True,,,97900612
trajectory_35_trac_task_20ms_r2,trajectory_35,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,high_curvature,trac_task_20ms,2,150,"[-1.1784869165560794, -0.41420567401016906, 0.7736549798252395, -1.7484750155884423, -0.8774782440807752, 1.7201431087931345, -1.161308223083616]",True,150,True,True,,,36463401
trajectory_16_trac_task_5ms_r1,trajectory_16,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,trac_task_5ms,1,150,"[-0.8330069728077155, 0.9059204298240433, -1.2848682345049904, -0.942479272733609, 1.2252181668764945, 3.752499, -2.3388414437479788]",True,150,True,True,,,35108954
trajectory_06_trac_task_5ms_r1,trajectory_06,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trac_task_5ms,1,150,"[0.04879635360993188, 0.4722176505702096, -1.4167735850820002, -1.0592469194557286, -1.4030963489481403, 2.431844026251526, -1.5459525993409735]",True,150,True,True,,,32455389
trajectory_11_trac_strict_20ms_r2,trajectory_11,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,near_singular,trac_strict_20ms,2,150,"[0.7392426362897311, -0.4541309806557701, 0.33920593071132676, -0.7226118979205809, 0.42217218197389644, 1.706232479295894, 1.7255318152236154]",True,150,True,True,,,34617022
trajectory_23_trac_task_5ms_r0,trajectory_23,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,joint_limit_return,trac_task_5ms,0,150,"[1.5552069472326666, -0.09386180337858052, 1.172032425903462, -1.5681437929380007, 0.6237919629324234, 1.433829794801732, 2.5953000000000004]",True,150,True,True,,,33076605
trajectory_26_trac_task_5ms_r0,trajectory_26,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,joint_limit_return,trac_task_5ms,0,150,"[-1.2550342189217967, 0.8686761431733064, 0.2653256626716707, -0.6211012746516752, 2.5953000000000004, 2.9384634835047447, 0.6912608648491174]",False,72,True,False,72,internal_nonconvergence+position_tolerance+orientation_tolerance,435452468
trajectory_39_trac_strict_20ms_r0,trajectory_39,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,high_curvature,trac_strict_20ms,0,150,"[-0.307114665759767, -0.09197021608207229, -0.14399381623305213, -1.4276557589841654, -0.748637356572919, 0.9586713226335238, 0.7436312353884212]",True,150,True,True,,,32009558
trajectory_38_trac_task_20ms_r0,trajectory_38,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,trac_task_20ms,0,150,"[-0.536127060911361, -0.08141725730239946, 0.043470427836753756, -0.9476503459108423, 0.4437330072682833, 1.5864989045962217, 0.01054171868407297]",True,150,True,True,,,31114578
trajectory_24_trac_strict_20ms_r2,trajectory_24,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,trac_strict_20ms,2,150,"[2.5953000000000004, 0.13956271326757885, 0.012917759794865924, -1.129547239807192, -0.17947528622231393, 2.5808292285913783, 1.268060620760703]",True,150,True,True,,,35631345
