robot,method,states,trajectories,current_accepted,mean_predicted_gamma,conditional_probe_success,common_input_success,all_directions_radius_mean
panda,cr_ik,12,4,12,2.698521527731241,0.9603174603174603,0.9603174603174603,3.0833333333333335
panda,pink_qp,12,4,12,2.2036747126813583,0.9614512471655329,0.9614512471655329,3.25
panda,ranged_ik_positive_range,12,4,1,3.109718394151476,1.0,0.08333333333333333,0.3333333333333333
panda,ranged_ik_upstream,12,4,8,1.7378149278981496,0.9430272108843538,0.6286848072562359,1.8333333333333333
panda,single_step_reserve,12,4,12,1.7697662758858783,0.9472789115646258,0.9472789115646258,2.3333333333333335
panda,trac_task_20ms,12,4,12,2.1889108169007057,0.959750566893424,0.959750566893424,2.9166666666666665
panda,trac_task_5ms,12,4,12,2.1438081310678436,0.959750566893424,0.959750566893424,3.0
panda,two_step_predictive,12,4,12,2.4640447977432163,0.962018140589569,0.962018140589569,3.0833333333333335
panda,two_step_sigma,12,4,12,1.9928021942450196,0.9608843537414966,0.9608843537414966,3.0833333333333335
ur5e,cr_ik,12,4,12,1.4520068722117383,0.9155328798185939,0.9155328798185939,1.7083333333333333
ur5e,pink_qp,12,4,12,1.1270303274203857,0.9160997732426303,0.9160997732426303,1.5416666666666667
ur5e,ranged_ik_positive_range,12,4,0,,,0.0,0.0
ur5e,ranged_ik_upstream,12,4,8,1.0632135642110647,0.9141156462585034,0.6094104308390023,1.125
ur5e,single_step_reserve,12,4,12,0.8950072058718868,0.9138321995464852,0.9138321995464852,1.4583333333333333
ur5e,trac_task_20ms,12,4,12,1.111807045555841,0.9155328798185939,0.9155328798185939,1.5416666666666667
ur5e,trac_task_5ms,12,4,12,1.1082534490971157,0.9160997732426303,0.9160997732426303,1.5416666666666667
ur5e,two_step_predictive,12,4,12,1.2826233937145142,0.9132653061224488,0.9132653061224488,1.5416666666666667
ur5e,two_step_sigma,12,4,12,1.0994819680843673,0.9149659863945576,0.9149659863945576,1.4583333333333333
