robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations
panda,cr_ik,CR-IK,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,9,10]",0.9666666666666666,1.0,0.9997777777777778,5.643027,6.2722765,6.3868256500000005,8616.991732666667,861.6991732666668,863.7355345,875.5370587166666,0.009333333333333332,0.9906666666666665,0.0009999893343650838,0.0009999978946706946,0.00872655897065069,0.008726623675143574,0.9999999987104168,9.390526701862663,0.18781053403725326,150.0,0
panda,cr_ik,CR-IK,joint_limit_return,10,3,"[9,10,9]",9.333333333333334,0.9333333333333333,"[9,10,8]",0.9,0.9657777777777777,0.9655555555555555,5.6021235,6.3714223,6.586945290000008,8572.523145666666,857.2523145666667,847.7252576666666,900.9518996666666,0.04733333333333333,0.9526666666666667,0.0006065245829538648,0.0009999945578462069,0.005144322393008175,0.008726569953988642,0.98032792682453,2.829060525879236,0.05658121051758472,144.83333333333334,0
panda,cr_ik,CR-IK,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,7,8]",0.7666666666666667,0.9553333333333334,0.9551111111111111,5.465396,6.4232648,6.702203900000014,8327.601880666667,832.7601880666667,827.4645303333333,863.3916846333334,0.13466666666666666,0.8653333333333333,0.00029647209383449534,0.0009867803673967084,0.0015847940113811367,0.00693701472584132,0.9999999999999968,7.887985023541505,0.15775970047083013,143.26666666666668,0
panda,cr_ik,CR-IK,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,5.56581,5.8389847,6.156836660000003,8367.068565666666,836.7068565666666,837.6022756666666,846.2335371,0.0011111111111111111,0.9988888888888888,0.000693136700384157,0.000999990283847066,0.0018488847229735635,0.008726565811201568,0.4272365911770956,0.8851663569183649,0.017703327138367298,150.0,0
panda,pink_qp,Pink QP-IK,high_curvature,10,1,[9],9.0,0.9,[9],0.9,0.97,0.97,0.9909275,1.02495635,1.1083051199999998,1324.142897,132.41428969999998,138.123773,145.8732871,0.0,0.0,0.0003328524460961774,0.0009538083780688717,0.0006874485180725519,0.008304875900969308,0.9999999999999997,7.4306153981199214,0.14861230796239844,145.5,0
panda,pink_qp,Pink QP-IK,joint_limit_return,10,1,[10],10.0,1.0,[10],1.0,1.0,1.0,0.995529,1.02642215,1.0853251099999996,1382.713027,138.2713027,145.4658145,149.74817190000002,0.0,0.0,0.00011439073177068541,0.00021513749647973678,0.00020334923127108987,0.0005076675385390474,0.5735095764782464,1.3886328104816577,0.027772656209633158,150.0,0
panda,pink_qp,Pink QP-IK,near_singular,10,1,[8],8.0,0.8,[7],0.7,0.9626666666666666,0.962,0.9961065,1.0297391999999999,1.08721771,1422.927419,142.2927419,142.1019675,166.20269709999997,0.0,0.0,6.47791144390982e-05,0.0009854507257299875,0.0001369482328481693,0.007358452784580322,0.9999999999999981,7.239683370352793,0.1447936674070559,144.4,0
panda,pink_qp,Pink QP-IK,smooth,10,1,[10],10.0,1.0,[10],1.0,1.0,1.0,0.9915895,1.0317060500000002,1.1971596199999999,1365.617808,136.5617808,137.9739505,149.43315275,0.0,0.0,8.874257521999117e-05,0.0001981718022720297,0.00019031372733852573,0.0003579234867976215,0.4952489805131127,0.7588633948120176,0.015177267896240354,150.0,0
panda,ranged_ik_positive_range,RangedIK (positive-range adapter),high_curvature,10,1,[0],0.0,0.0,[0],0.0,0.006666666666666666,0.006666666666666666,0.247937,0.4098492,0.4851575699999999,411.42836800000003,41.142836800000005,41.1117355,43.5046542,0.0,0.0,1.10620979582676e-06,1.471817370361675e-06,3.3134846232613447e-06,3.644734003470884e-06,5.324255129832267e-05,0.00018431208695752452,3.6862417391504905e-06,0.0,0
panda,ranged_ik_positive_range,RangedIK (positive-range adapter),joint_limit_return,10,1,[0],0.0,0.0,[0],0.0,0.006666666666666666,0.006666666666666666,0.257076,0.41810829999999993,0.4824620499999999,428.612876,42.861287600000004,42.3879175,45.76381745,0.0,0.0,0.0005042393723445615,0.0009155785249429141,0.003246044032012844,0.005897903522791857,0.22132594321448307,0.1275314046729138,0.002550628093458277,0.0,0
panda,ranged_ik_positive_range,RangedIK (positive-range adapter),near_singular,10,1,[0],0.0,0.0,[0],0.0,0.04866666666666667,0.04866666666666667,0.275298,0.4635546999999999,0.5764671,467.71890099999996,46.77189009999999,44.762536499999996,57.745155399999994,0.0,0.0,0.0007824861411522962,0.0009433951839364687,0.004744667690993302,0.007720691734291092,0.07368277213362691,0.19833369453778427,0.003966673890755686,6.8,0
panda,ranged_ik_positive_range,RangedIK (positive-range adapter),smooth,10,1,[0],0.0,0.0,[0],0.0,0.006666666666666666,0.006666666666666666,0.247439,0.40932474999999996,0.5058912699999999,411.032875,41.1032875,40.724806,43.16660965,0.0,0.0,9.982766353258767e-07,9.990347538118869e-07,2.656372817007656e-06,2.7256812790543426e-06,4.931679549121063e-05,0.000170832042279168,3.4166408455833608e-06,0.0,0
panda,ranged_ik_upstream,RangedIK (original cutoff),high_curvature,10,1,[0],0.0,0.0,[0],0.0,0.010666666666666668,0.010666666666666668,0.2937535,0.40508515,0.47397962,454.714713,45.471471300000005,45.185294,48.4271045,0.0,0.0,0.0008273793613722362,0.000999371584552351,0.003383557811318017,0.006078632958178705,0.9999999999999981,1.0896071639739562,0.021792143279479127,0.5,0
panda,ranged_ik_upstream,RangedIK (original cutoff),joint_limit_return,10,1,[0],0.0,0.0,[0],0.0,0.020666666666666667,0.020666666666666667,0.3037335,0.45010904999999996,0.5179853099999999,478.399488,47.8399488,46.151179,57.41823974999999,0.0,0.0,0.0009625085785438987,0.0009801229170779504,0.0033068982503606376,0.003692001856772678,0.5563838781630003,1.6754616966881835,0.03350923393376367,1.7,0
panda,ranged_ik_upstream,RangedIK (original cutoff),near_singular,10,1,[0],0.0,0.0,[0],0.0,0.13866666666666666,0.13866666666666666,0.304267,0.4315035499999999,0.48575927999999996,472.67705,47.267705,47.003730000000004,53.03132389999999,0.0,0.0,0.0009518166208066217,0.0009915056379899809,0.0035900730488295095,0.008104263755790635,0.9935365631530336,2.7160248491801107,0.05432049698360221,8.4,0
panda,ranged_ik_upstream,RangedIK (original cutoff),smooth,10,1,[0],0.0,0.0,[0],0.0,0.010666666666666668,0.010666666666666668,0.3008215,0.42216299999999995,0.48772647999999996,464.54722899999996,46.45472289999999,46.603182000000004,49.9206016,0.0,0.0,0.0009522365801172531,0.0009607273712674015,0.003565833001557643,0.003682328479804076,0.28833139281496145,0.9394248415902495,0.01878849683180499,0.4,0
panda,single_step_reserve,Single-step reserve,high_curvature,10,3,"[9,9,9]",9.0,0.9,"[8,9,9]",0.8666666666666666,0.9022222222222223,0.9019999999999999,4.120284,6.0521251,6.10036041,6464.051333,646.4051333,614.5703885,782.744130633333,0.09800000000000002,0.9019999999999999,0.0009999901390183035,0.0009999983393751677,0.008726560223596778,0.008726626637453739,0.9430461702342313,13.214591719898431,0.2642918343979686,135.23333333333332,0
panda,single_step_reserve,Single-step reserve,joint_limit_return,10,3,"[6,7,7]",6.666666666666667,0.6666666666666667,"[6,7,7]",0.6666666666666667,0.9224444444444444,0.9224444444444444,4.137257,6.069560200000001,9.11902701,6635.136062,663.5136061999999,635.7645904999999,781.3885041333332,0.07844444444444446,0.9215555555555556,0.000999990082628385,0.0009999996114166403,0.008726562510816544,0.008726643850661018,0.952607217590994,6.325973765273446,0.12651947530546892,134.2,0
