robot,method,baseline,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,cr_ik,pink_qp,completion,40,0.008333333333333331,"[-0.04187499999999993,0.05833333333333333]",1.0090090090090091,"[0.95,1.072998511904762]"
panda,cr_ik,pink_qp,deadline_completion,40,0.008333333333333328,"[-0.06666666666666668,0.09166666666666666]",1.009259259259259,"[0.9316239316239315,1.1078431372549018]"
panda,cr_ik,pink_qp,total_latency_ns,40,709719604.3416666,"[703214478.5335417,716402712.8033334]",6.165916626214038,"[5.97785760761318,6.371295821513583]"
panda,cr_ik,pink_qp,frame_success,40,-0.0028888888888888853,"[-0.026166666666666664,0.015000000000000003]",0.9970616488670395,"[0.9737106496985934,1.015228426395939]"
panda,cr_ik,ranged_ik_positive_range,completion,40,0.9333333333333333,"[0.8583333333333332,1.0]",,
panda,cr_ik,ranged_ik_positive_range,deadline_completion,40,0.9083333333333332,"[0.8333333333333333,0.975]",,
panda,cr_ik,ranged_ik_positive_range,total_latency_ns,40,804134807.6166666,"[798552204.3172916,809950302.774375]",19.71394166161244,"[19.215447607189308,20.177998452360843]"
panda,cr_ik,ranged_ik_positive_range,frame_success,40,0.963111111111111,"[0.9395,0.983]",57.10355987055016,"[52.20112612612613,62.95390070921985]"
panda,cr_ik,ranged_ik_upstream,completion,40,0.9333333333333333,"[0.8583333333333332,1.0]",,
panda,cr_ik,ranged_ik_upstream,deadline_completion,40,0.9083333333333332,"[0.8333333333333333,0.975]",,
panda,cr_ik,ranged_ik_upstream,total_latency_ns,40,800346171.1166666,"[795322935.9779167,805405936.6793749]",18.116605997790657,"[17.736774989600555,18.475851461205426]"
panda,cr_ik,ranged_ik_upstream,frame_success,40,0.9351111111111109,"[0.9039416666666668,0.9635041666666667]",21.703567035670357,"[14.280182561070163,39.00500447427293]"
panda,cr_ik,single_step_reserve,completion,40,0.19166666666666668,"[0.09166666666666667,0.3]",1.258426966292135,"[1.1122448979591837,1.4737010796221321]"
