robot,method,uid,family,search_repeats,completion,deadline_completion,total_latency_ns,frame_success,successful_prefix
panda,cr_ik,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,3,1.0,1.0,839575276.3333334,1.0,150.0
panda,cr_ik,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,3,1.0,1.0,840815440.6666666,1.0,150.0
panda,cr_ik,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,3,1.0,1.0,834741370.6666666,1.0,150.0
panda,cr_ik,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,3,1.0,1.0,842512543.6666666,1.0,150.0
panda,cr_ik,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,3,1.0,0.6666666666666666,827897210.6666666,1.0,150.0
panda,cr_ik,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,high_curvature,3,1.0,1.0,858906878.3333334,1.0,150.0
panda,cr_ik,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,3,1.0,1.0,820820837.0,1.0,150.0
panda,cr_ik,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,3,1.0,1.0,840996091.6666666,1.0,150.0
panda,cr_ik,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,near_singular,3,1.0,1.0,840327730.0,1.0,150.0
panda,cr_ik,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,joint_limit_return,3,1.0,0.6666666666666666,882079792.6666666,1.0,150.0
panda,cr_ik,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,3,0.0,0.0,842343482.0,0.7600000000000001,113.66666666666667
panda,cr_ik,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,3,1.0,1.0,826208761.0,1.0,150.0
panda,cr_ik,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,3,1.0,1.0,865775383.0,1.0,150.0
panda,cr_ik,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,joint_limit_return,3,1.0,1.0,813547909.0,1.0,150.0
panda,cr_ik,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,smooth,3,1.0,1.0,837767238.6666666,1.0,150.0
panda,cr_ik,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,joint_limit_return,3,1.0,1.0,852937971.6666666,1.0,150.0
panda,cr_ik,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,joint_limit_return,3,1.0,1.0,885622538.0,1.0,150.0
panda,cr_ik,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,3,1.0,1.0,842501001.0,1.0,150.0
panda,cr_ik,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,3,1.0,0.6666666666666666,863444982.0,1.0,150.0
panda,cr_ik,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,3,1.0,1.0,843520030.3333334,1.0,150.0
panda,cr_ik,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,3,1.0,1.0,828562821.6666666,1.0,150.0
panda,cr_ik,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,near_singular,3,1.0,1.0,827031850.0,1.0,150.0
panda,cr_ik,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,3,1.0,1.0,838326126.3333334,1.0,150.0
