robot,method,decision,available_trajectories,descriptive_frames,next_successes,pooled_next_success,mean_trajectory_next_success
panda,cr_ik_elastic_mu025,full_demand_satisfied,34,9447,9447,1.0,1.0
panda,cr_ik_elastic_mu025,partial_effective_correction,38,4679,4679,1.0,1.0
panda,cr_ik_elastic_mu0,full_demand_satisfied,34,9108,9108,1.0,1.0
panda,cr_ik_elastic_mu0,backup_without_improvement,38,8069,8064,0.9993803445284422,0.9994862853297418
panda,cr_ik_elastic_mu1,full_demand_satisfied,35,9357,9357,1.0,1.0
panda,cr_ik_elastic_mu1,backup_without_improvement,32,3117,3113,0.998716714789862,0.982496194824962
panda,cr_ik_elastic_mu1,partial_effective_correction,36,4661,4661,1.0,1.0
panda,cr_ik_elastic_mu4,full_demand_satisfied,35,9460,9460,1.0,1.0
panda,cr_ik_elastic_mu4,backup_without_improvement,30,3190,3186,0.9987460815047022,0.9808024691358025
panda,cr_ik_elastic_mu4,partial_effective_correction,35,4483,4483,1.0,1.0
panda,cr_ik_elastic_mu025,backup_without_improvement,30,3070,3064,0.9980456026058632,0.9903431964573268
panda,cr_ik_elastic_mu0,geometric_recovery,23,505,504,0.998019801980198,0.9979296066252588
panda,cr_ik_elastic_mu025,geometric_recovery,21,451,451,1.0,1.0
panda,cr_ik_elastic_mu1,geometric_recovery,20,470,467,0.9936170212765958,0.9877777777777779
panda,cr_ik_elastic_mu4,geometric_recovery,21,476,473,0.9936974789915967,0.9880952380952381
panda,cr_ik_elastic_mu025,no_legal_command,2,233,0,0.0,0.0
panda,cr_ik_elastic_mu0,no_legal_command,2,198,0,0.0,0.0
panda,cr_ik_elastic_mu1,no_legal_command,3,275,0,0.0,0.0
panda,cr_ik_elastic_mu4,no_legal_command,3,271,0,0.0,0.0
ur5e,cr_ik_elastic_mu025,partial_effective_correction,39,4938,4938,1.0,1.0
ur5e,cr_ik_elastic_mu025,backup_without_improvement,34,2770,2769,0.9996389891696751,0.9998692810457516
ur5e,cr_ik_elastic_mu025,full_demand_satisfied,38,9929,9929,1.0,1.0
ur5e,cr_ik_elastic_mu025,geometric_recovery,21,202,202,1.0,1.0
ur5e,cr_ik_elastic_mu0,backup_without_improvement,39,7691,7688,0.9996099336887271,0.9993820177643707
ur5e,cr_ik_elastic_mu0,full_demand_satisfied,38,9862,9862,1.0,1.0
ur5e,cr_ik_elastic_mu0,geometric_recovery,25,213,212,0.9953051643192489,0.9866666666666666
ur5e,cr_ik_elastic_mu1,backup_without_improvement,36,2748,2748,1.0,1.0
ur5e,cr_ik_elastic_mu1,full_demand_satisfied,38,9969,9969,1.0,1.0
ur5e,cr_ik_elastic_mu1,geometric_recovery,20,194,193,0.9948453608247423,0.9944444444444445
ur5e,cr_ik_elastic_mu1,partial_effective_correction,37,4928,4928,1.0,1.0
ur5e,cr_ik_elastic_mu4,backup_without_improvement,30,2698,2695,0.9988880652335063,0.9992738273827383
ur5e,cr_ik_elastic_mu4,geometric_recovery,23,195,194,0.9948717948717949,0.9782608695652174
ur5e,cr_ik_elastic_mu4,full_demand_satisfied,38,9906,9906,1.0,1.0
ur5e,cr_ik_elastic_mu4,partial_effective_correction,38,4949,4949,1.0,1.0
ur5e,cr_ik_elastic_mu0,no_legal_command,2,114,1,0.008771929824561403,0.012195121951219513
ur5e,cr_ik_elastic_mu4,no_legal_command,2,132,2,0.015151515151515152,0.012049941927990708
ur5e,cr_ik_elastic_mu025,no_legal_command,1,41,1,0.024390243902439025,0.024390243902439025
ur5e,cr_ik_elastic_mu1,no_legal_command,1,41,1,0.024390243902439025,0.024390243902439025
