robot,method,decision,frames
panda,cr_ik_elastic_mu0,backup_without_improvement,8104
panda,cr_ik_elastic_mu0,full_demand_satisfied,9183
panda,cr_ik_elastic_mu0,geometric_recovery,509
panda,cr_ik_elastic_mu0,no_legal_command,204
panda,cr_ik_elastic_mu025,backup_without_improvement,3085
panda,cr_ik_elastic_mu025,full_demand_satisfied,9523
panda,cr_ik_elastic_mu025,geometric_recovery,454
panda,cr_ik_elastic_mu025,no_legal_command,239
panda,cr_ik_elastic_mu025,partial_effective_correction,4699
panda,cr_ik_elastic_mu1,backup_without_improvement,3131
panda,cr_ik_elastic_mu1,full_demand_satisfied,9433
panda,cr_ik_elastic_mu1,geometric_recovery,474
panda,cr_ik_elastic_mu1,no_legal_command,282
panda,cr_ik_elastic_mu1,partial_effective_correction,4680
panda,cr_ik_elastic_mu4,backup_without_improvement,3204
panda,cr_ik_elastic_mu4,full_demand_satisfied,9536
panda,cr_ik_elastic_mu4,geometric_recovery,480
panda,cr_ik_elastic_mu4,no_legal_command,278
panda,cr_ik_elastic_mu4,partial_effective_correction,4502
ur5e,cr_ik_elastic_mu0,backup_without_improvement,7727
ur5e,cr_ik_elastic_mu0,full_demand_satisfied,9939
ur5e,cr_ik_elastic_mu0,geometric_recovery,217
ur5e,cr_ik_elastic_mu0,no_legal_command,117
ur5e,cr_ik_elastic_mu025,backup_without_improvement,2782
ur5e,cr_ik_elastic_mu025,full_demand_satisfied,10008
ur5e,cr_ik_elastic_mu025,geometric_recovery,206
ur5e,cr_ik_elastic_mu025,no_legal_command,41
ur5e,cr_ik_elastic_mu025,partial_effective_correction,4963
ur5e,cr_ik_elastic_mu1,backup_without_improvement,2759
ur5e,cr_ik_elastic_mu1,full_demand_satisfied,10050
ur5e,cr_ik_elastic_mu1,geometric_recovery,197
ur5e,cr_ik_elastic_mu1,no_legal_command,41
ur5e,cr_ik_elastic_mu1,partial_effective_correction,4953
ur5e,cr_ik_elastic_mu4,backup_without_improvement,2710
ur5e,cr_ik_elastic_mu4,full_demand_satisfied,9985
ur5e,cr_ik_elastic_mu4,geometric_recovery,198
ur5e,cr_ik_elastic_mu4,no_legal_command,134
ur5e,cr_ik_elastic_mu4,partial_effective_correction,4973
