robot,method,reason,frames
panda,cr_ik_elastic_mu0,convex_solve_unsuccessful,5733
panda,cr_ik_elastic_mu0,no_actual_objective_improvement,2518
panda,cr_ik_elastic_mu0,nonlinear_pair_rejected,57
panda,cr_ik_elastic_mu025,convex_solve_unsuccessful,3275
panda,cr_ik_elastic_mu025,no_actual_objective_improvement,11
panda,cr_ik_elastic_mu025,nonlinear_pair_rejected,37
panda,cr_ik_elastic_mu025,outer_soft_limit,1
panda,cr_ik_elastic_mu1,convex_solve_unsuccessful,3364
panda,cr_ik_elastic_mu1,no_actual_objective_improvement,7
panda,cr_ik_elastic_mu1,nonlinear_pair_rejected,40
panda,cr_ik_elastic_mu1,outer_soft_limit,2
panda,cr_ik_elastic_mu4,convex_solve_unsuccessful,3426
panda,cr_ik_elastic_mu4,no_actual_objective_improvement,12
panda,cr_ik_elastic_mu4,nonlinear_pair_rejected,41
panda,cr_ik_elastic_mu4,outer_soft_limit,3
ur5e,cr_ik_elastic_mu0,convex_solve_unsuccessful,5123
ur5e,cr_ik_elastic_mu0,no_actual_objective_improvement,2666
ur5e,cr_ik_elastic_mu0,nonlinear_pair_rejected,51
ur5e,cr_ik_elastic_mu0,outer_soft_limit,4
ur5e,cr_ik_elastic_mu025,convex_solve_unsuccessful,2733
ur5e,cr_ik_elastic_mu025,no_actual_objective_improvement,47
ur5e,cr_ik_elastic_mu025,nonlinear_pair_rejected,42
ur5e,cr_ik_elastic_mu025,outer_soft_limit,1
ur5e,cr_ik_elastic_mu1,convex_solve_unsuccessful,2692
ur5e,cr_ik_elastic_mu1,no_actual_objective_improvement,58
ur5e,cr_ik_elastic_mu1,nonlinear_pair_rejected,50
ur5e,cr_ik_elastic_mu4,convex_solve_unsuccessful,2743
ur5e,cr_ik_elastic_mu4,no_actual_objective_improvement,35
ur5e,cr_ik_elastic_mu4,nonlinear_pair_rejected,64
ur5e,cr_ik_elastic_mu4,outer_soft_limit,2
