robot,uid,site_id,family,method,repeat,frame,previous_q,target_position,target_rotation,q,failure_kind,position_error,orientation_error,velocity_utilization,decision,fallback_reason,native_status,demand,demand_met,initial_pair_legal
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,near_singular,trac_task_20ms,2,94,"[0.8283680096337018,-0.15174754449721978,1.170340312446173,-0.25318628261697546,1.613593577941807,2.836072825435991,1.8875145026126228]","[-0.09776344686291101,0.04367801351901528,1.1697768447260148]","[[-0.6350710644756301,-0.6137078847509111,-0.4690920754610463],[0.7049188425187867,-0.7087714971115054,-0.02706271132553055],[-0.3158704932844533,-0.3478585877578376,0.8827345209038553]]","[0.8283680096337018,-0.15174754449721978,1.170340312446173,-0.25318628261697546,1.613593577941807,2.836072825435991,1.8875145026126228]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.006604003154726621,0.01390478683331599,0.0,,,,,,
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,near_singular,trac_task_5ms,1,92,"[0.750493137546004,-0.1563207257263199,1.103070009366867,-0.2564434625477421,1.745943740249478,2.8235930930728546,1.9074716172227284]","[-0.09101722272497764,0.05440755505776958,1.1700380344080805]","[[-0.6417067829243526,-0.6138108189810252,-0.45983549585772626],[0.6954579377154343,-0.7184753330456665,-0.011465281222617855],[-0.32334294737549624,-0.32715359436625757,0.8879301008952031]]","[0.750493137546004,-0.1563207257263199,1.103070009366867,-0.2564434625477421,1.745943740249478,2.8235930930728546,1.9074716172227284]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.00686642424173281,0.0142802969228348,0.0,,,,,,
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_elastic_mu025,0,113,"[-2.142239119139165,0.048605824502481354,2.417931968316073,-0.5503214436847113,-2.879236818896751,2.074855268596046,-1.743182284561764]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]","[-2.142239119139165,0.048605824502481354,2.417931968316073,-0.5503214436847113,-2.879236818896751,2.074855268596046,-1.743182284561764]",position_tolerance,0.002991421289785233,0.002823471497222288,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.000128892,""primal_residual"":0.19094727429807762,""dual_residual"":1.2329772447382444e-16}]",0.32955855896198216,False,False
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_elastic_mu025,1,114,"[-2.1475275712756994,0.05673565749711309,2.4503657624730786,-0.5633187423927277,-2.8971479028221987,2.0643948398307885,-1.7463075945158872]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.1475275712756994,0.05673565749711309,2.4503657624730786,-0.5633187423927277,-2.8971479028221987,2.0643948398307885,-1.7463075945158872]",position_tolerance,0.0030891678724536053,0.006059569090952586,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.00013239,""primal_residual"":0.26109681962112585,""dual_residual"":2.456822021836153e-16}]",0.32955855896198216,False,False
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_elastic_mu025,2,114,"[-2.1302422013004683,0.0528101832558793,2.426622168676886,-0.5574748341626552,-2.8956499870659833,2.0648043629595207,-1.7427852697043638]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.1302422013004683,0.0528101832558793,2.426622168676886,-0.5574748341626552,-2.8956499870659833,2.0648043629595207,-1.7427852697043638]",position_tolerance,0.003240971803184693,0.004433087902546034,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.000134906,""primal_residual"":0.2073624904684416,""dual_residual"":2.522401853141801e-16}]",0.32955855896198216,False,False
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_elastic_mu0,0,114,"[-2.157504577517831,0.05054505973649321,2.446798103079972,-0.5555827958396725,-2.888287642772268,2.0670377642604514,-1.7507619497997806]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.157504577517831,0.05054505973649321,2.446798103079972,-0.5555827958396725,-2.888287642772268,2.0670377642604514,-1.7507619497997806]",position_tolerance,0.0031636059464512593,0.0054051391138374375,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.000127033,""primal_residual"":0.19572620547836095,""dual_residual"":1.265233991960645e-16}]",0.32955855896198216,False,False
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_elastic_mu0,1,113,"[-2.105142453166111,0.06031061900074423,2.4088295935449833,-0.5619655909677693,-2.8962509396775715,2.074825241989531,-1.753719665952352]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]","[-2.105142453166111,0.06031061900074423,2.4088295935449833,-0.5619655909677693,-2.8962509396775715,2.074825241989531,-1.753719665952352]",position_tolerance+orientation_tolerance,0.0030245237370353337,0.009376554187084649,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.000134159,""primal_residual"":0.21743994142626835,""dual_residual"":2.2665218242150804e-16}]",0.32955855896198216,False,False
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_elastic_mu0,2,113,"[-2.1317182472517806,0.06060805083472237,2.4295018838817977,-0.5664586001196448,-2.894671219986787,2.0668842920107258,-1.7424556022935473]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]","[-2.1317182472517806,0.06060805083472237,2.4295018838817977,-0.5664586001196448,-2.894671219986787,2.0668842920107258,-1.7424556022935473]",position_tolerance,0.00388200159761557,0.006530096419472918,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.000129044,""primal_residual"":0.19847313110008988,""dual_residual"":1.721134574501842e-16}]",0.32955855896198216,False,False
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_elastic_mu1,0,114,"[-2.150365261936944,0.05527099213502781,2.45106046736654,-0.5597996687404155,-2.8917832716284093,2.070800324859507,-1.75197306732691]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.150365261936944,0.05527099213502781,2.45106046736654,-0.5597996687404155,-2.8917832716284093,2.070800324859507,-1.75197306732691]",position_tolerance,0.0028689206737050454,0.008262601073521812,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.000194014,""primal_residual"":0.21140894997985468,""dual_residual"":4.4090070467065713e-16}]",0.32955855896198216,False,False
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_elastic_mu1,1,113,"[-2.0971481633017,0.056521256815785605,2.391819250601615,-0.5590836661605355,-2.891371494962984,2.067610120375647,-1.7460228870171368]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]","[-2.0971481633017,0.056521256815785605,2.391819250601615,-0.5590836661605355,-2.891371494962984,2.067610120375647,-1.7460228870171368]",position_tolerance,0.003813628586959511,0.005682281191344142,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.000137333,""primal_residual"":0.2047903093786922,""dual_residual"":6.687945049690117e-16}]",0.32955855896198216,False,False
