robot,method,status,occurrences
panda,cr_ik,AlmostSolved,1
panda,cr_ik,PrimalInfeasible,380
panda,cr_ik,Solved,105696
panda,cr_ik,outer_soft_limit,5
panda,cr_ik_elastic_mu0,AlmostSolved,65
panda,cr_ik_elastic_mu0,MaxTime,5516
panda,cr_ik_elastic_mu0,PrimalInfeasible,222
panda,cr_ik_elastic_mu0,Solved,5829
panda,cr_ik_elastic_mu025,AlmostSolved,94
panda,cr_ik_elastic_mu025,MaxTime,3001
panda,cr_ik_elastic_mu025,PrimalInfeasible,274
panda,cr_ik_elastic_mu025,Solved,5396
panda,cr_ik_elastic_mu025,outer_soft_limit,1
panda,cr_ik_elastic_mu1,AlmostSolved,62
panda,cr_ik_elastic_mu1,MaxTime,3058
panda,cr_ik_elastic_mu1,PrimalInfeasible,306
panda,cr_ik_elastic_mu1,Solved,5452
panda,cr_ik_elastic_mu1,outer_soft_limit,2
panda,cr_ik_elastic_mu4,AlmostSolved,43
panda,cr_ik_elastic_mu4,MaxTime,3133
panda,cr_ik_elastic_mu4,PrimalInfeasible,293
panda,cr_ik_elastic_mu4,Solved,5385
panda,cr_ik_elastic_mu4,outer_soft_limit,3
panda,cr_ik_minimal,AlmostPrimalInfeasible,62
panda,cr_ik_minimal,AlmostSolved,41
panda,cr_ik_minimal,MaxTime,3268
panda,cr_ik_minimal,PrimalInfeasible,3924
panda,cr_ik_minimal,Solved,2034
panda,cr_ik_minimal,outer_soft_limit,1
panda,pink_qp,maximum iterations reached,1172
panda,pink_qp,solved,1756
panda,pink_qp,solved inaccurate,3072
ur5e,cr_ik,PrimalInfeasible,332
ur5e,cr_ik,Solved,105718
ur5e,cr_ik,outer_soft_limit,4
ur5e,cr_ik,rank_deficient_no_reserve,45
ur5e,cr_ik_elastic_mu0,AlmostSolved,56
ur5e,cr_ik_elastic_mu0,MaxTime,4951
ur5e,cr_ik_elastic_mu0,PrimalInfeasible,175
ur5e,cr_ik_elastic_mu0,Solved,5691
ur5e,cr_ik_elastic_mu0,outer_soft_limit,5
ur5e,cr_ik_elastic_mu025,AlmostSolved,54
ur5e,cr_ik_elastic_mu025,MaxTime,2614
ur5e,cr_ik_elastic_mu025,PrimalInfeasible,119
ur5e,cr_ik_elastic_mu025,Solved,5391
ur5e,cr_ik_elastic_mu025,outer_soft_limit,1
ur5e,cr_ik_elastic_mu1,AlmostSolved,69
ur5e,cr_ik_elastic_mu1,MaxTime,2601
ur5e,cr_ik_elastic_mu1,PrimalInfeasible,91
ur5e,cr_ik_elastic_mu1,Solved,5424
ur5e,cr_ik_elastic_mu4,AlmostSolved,65
ur5e,cr_ik_elastic_mu4,MaxTime,2545
ur5e,cr_ik_elastic_mu4,PrimalInfeasible,198
ur5e,cr_ik_elastic_mu4,Solved,5437
ur5e,cr_ik_elastic_mu4,outer_soft_limit,2
ur5e,cr_ik_minimal,AlmostPrimalInfeasible,21
ur5e,cr_ik_minimal,AlmostSolved,36
ur5e,cr_ik_minimal,MaxTime,2651
ur5e,cr_ik_minimal,PrimalInfeasible,4969
ur5e,cr_ik_minimal,Solved,1137
ur5e,cr_ik_minimal,outer_soft_limit,1
ur5e,cr_ik_minimal,rank_deficient_no_six_dimensional_reserve,33
ur5e,pink_qp,maximum iterations reached,4
ur5e,pink_qp,solved,5996
