robot,method,baseline,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,cr_ik_elastic_mu0,trac_task_5ms,completion,40,0.03333333333333334,"[0.0,0.09166666666666667]",1.0363636363636362,"[1.0,1.1067961165048545]"
panda,cr_ik_elastic_mu0,trac_task_5ms,deadline_completion,40,0.025,"[-0.025,0.08333333333333334]",1.0275229357798166,"[0.9743589743589743,1.1009197479380965]"
panda,cr_ik_elastic_mu0,trac_task_5ms,total_latency_ns,40,126430264.00833333,"[102447070.84687501,149226585.75333333]",3.7625331930372323,"[2.5358108704955993,5.833953857298696]"
panda,cr_ik_elastic_mu0,trac_task_5ms,frame_success,40,0.012944444444444439,"[-0.0003888888888888997,0.0391125]",1.013266526219894,"[0.9996043633075227,1.0412552891396334]"
panda,cr_ik_elastic_mu0,trac_task_5ms,acceleration_rms,40,0.47645186005710327,"[0.05631024525610631,0.9111222052116257]",1.1150657544929998,"[1.011814273941891,1.2593276240745583]"
panda,cr_ik_elastic_mu0,trac_task_20ms,completion,40,0.03333333333333334,"[0.0,0.09166666666666667]",1.0363636363636362,"[1.0,1.1067961165048545]"
panda,cr_ik_elastic_mu0,trac_task_20ms,deadline_completion,40,0.025,"[-0.025,0.08333333333333334]",1.0275229357798163,"[0.9736842105263158,1.1037735849056605]"
panda,cr_ik_elastic_mu0,trac_task_20ms,total_latency_ns,40,72392501.31666665,"[-15921767.629375005,135001003.33770832]",1.7253479704108499,"[0.9167659950817086,5.677936019158588]"
panda,cr_ik_elastic_mu0,trac_task_20ms,frame_success,40,0.012222222222222218,"[-0.000666666666666671,0.03744444444444444]",1.0125170687300866,"[0.9993213437393959,1.0392339054107418]"
panda,cr_ik_elastic_mu0,trac_task_20ms,acceleration_rms,40,0.5692481850251695,"[0.1663442306687456,0.9816447826522933]",1.140628172595685,"[1.0351664500639455,1.2863841702544903]"
panda,cr_ik_elastic_mu0,pink_qp,completion,40,0.025,"[0.0,0.075]",1.027027027027027,"[1.0,1.088235294117647]"
