robot,method,uid,family,search_repeats,completion,deadline_completion,total_latency_ns,frame_success,acceleration_rms,intervention_normalized_mean,optimization_call_rate,partial_correction_rate,effective_command_adjustment_rate,normalized_shortfall_reduction_mean
panda,trac_task_5ms,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,3,1.0,1.0,25499160.333333332,1.0,2.7290592152492272,,,,,
panda,trac_task_5ms,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,3,1.0,1.0,25770247.666666668,1.0,0.6781011520975225,,,,,
panda,trac_task_5ms,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,3,1.0,1.0,26524460.333333332,1.0,1.6457312006678422,,,,,
panda,trac_task_5ms,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,3,1.0,1.0,26446945.0,1.0,1.3052321979290304,,,,,
panda,trac_task_5ms,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,3,1.0,1.0,25488441.0,1.0,1.7876992620047947,,,,,
panda,trac_task_5ms,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,high_curvature,3,1.0,1.0,25818136.666666668,1.0,5.521765691626512,,,,,
panda,trac_task_5ms,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,3,1.0,1.0,26400949.333333332,1.0,2.537043526188914,,,,,
panda,trac_task_5ms,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,3,1.0,1.0,26581662.333333332,1.0,2.0693709594684546,,,,,
panda,trac_task_5ms,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,near_singular,3,1.0,1.0,25389691.333333332,1.0,1.2161933238999474,,,,,
panda,trac_task_5ms,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,joint_limit_return,3,1.0,1.0,26705475.0,1.0,1.3920013338818047,,,,,
panda,trac_task_5ms,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,3,0.0,0.0,214334599.66666666,0.7622222222222224,7.742781843900851,,,,,
