robot,method,category,trials
panda,cr_ik_elastic_mu0,illegal_pair,1256
panda,cr_ik_elastic_mu0,legal_actual_improvement,509
panda,cr_ik_elastic_mu0,legal_but_hard_rule_would_reject,15592
panda,cr_ik_elastic_mu0,legal_no_actual_improvement,15093
panda,cr_ik_elastic_mu025,illegal_pair,1682
panda,cr_ik_elastic_mu025,legal_actual_improvement,5184
panda,cr_ik_elastic_mu025,legal_but_hard_rule_would_reject,5205
panda,cr_ik_elastic_mu025,legal_no_actual_improvement,66
panda,cr_ik_elastic_mu1,illegal_pair,2643
panda,cr_ik_elastic_mu1,legal_actual_improvement,5185
panda,cr_ik_elastic_mu1,legal_but_hard_rule_would_reject,5187
panda,cr_ik_elastic_mu1,legal_no_actual_improvement,40
panda,cr_ik_elastic_mu4,illegal_pair,2867
panda,cr_ik_elastic_mu4,legal_actual_improvement,5084
panda,cr_ik_elastic_mu4,legal_but_hard_rule_would_reject,5021
panda,cr_ik_elastic_mu4,legal_no_actual_improvement,46
ur5e,cr_ik_elastic_mu0,illegal_pair,683
ur5e,cr_ik_elastic_mu0,legal_actual_improvement,217
ur5e,cr_ik_elastic_mu0,legal_but_hard_rule_would_reject,16191
ur5e,cr_ik_elastic_mu0,legal_no_actual_improvement,15984
ur5e,cr_ik_elastic_mu025,illegal_pair,1099
ur5e,cr_ik_elastic_mu025,legal_actual_improvement,5169
ur5e,cr_ik_elastic_mu025,legal_but_hard_rule_would_reject,5437
ur5e,cr_ik_elastic_mu025,legal_no_actual_improvement,280
ur5e,cr_ik_elastic_mu1,illegal_pair,1901
ur5e,cr_ik_elastic_mu1,legal_actual_improvement,5179
ur5e,cr_ik_elastic_mu1,legal_but_hard_rule_would_reject,5439
ur5e,cr_ik_elastic_mu1,legal_no_actual_improvement,295
ur5e,cr_ik_elastic_mu4,illegal_pair,2154
ur5e,cr_ik_elastic_mu4,legal_actual_improvement,5202
ur5e,cr_ik_elastic_mu4,legal_but_hard_rule_would_reject,5367
ur5e,cr_ik_elastic_mu4,legal_no_actual_improvement,198
