robot,method,decision,available_trajectories,descriptive_frames,next_successes,pooled_next_success,mean_trajectory_next_success
panda,cr_ik_elastic_mu025,backup_without_improvement,160,54918,54829,0.9983794020175535,0.9897498989518523
panda,cr_ik_elastic_mu025,demand_unmet,160,80047,63055,0.7877247117318575,0.8558528248291248
panda,cr_ik_elastic_mu025,full_demand_satisfied,155,63175,63175,1.0,1.0
panda,cr_ik_elastic_mu025,demand_met,155,63473,63465,0.9998739621571376,0.9989066939333459
panda,cr_ik_elastic_mu025,geometric_recovery,128,3846,3784,0.983879355174207,0.9554102422421256
panda,cr_ik_elastic_mu025,no_legal_command,46,16912,63,0.0037251655629139072,0.03584550667171472
panda,cr_ik_elastic_mu025,partial_effective_correction,37,4669,4669,1.0,1.0
panda,cr_ik_mu0_analytic,analytic_zero_intervention,160,121228,121225,0.9999752532418253,0.9999475784632036
panda,cr_ik_mu0_analytic,demand_unmet,160,79697,62512,0.7843708044217473,0.8555004620871538
panda,cr_ik_mu0_analytic,demand_met,155,63823,63818,0.9999216583363364,0.9990361736092287
panda,cr_ik_mu0_analytic,geometric_recovery,128,3810,3756,0.9858267716535433,0.956099052466953
panda,cr_ik_mu0_analytic,backup_without_improvement,76,1385,1290,0.9314079422382672,0.8553236275153199
panda,cr_ik_mu0_analytic,no_legal_command,47,17097,59,0.0034508978183307015,0.04625029807567408
ur5e,cr_ik_elastic_mu025,backup_without_improvement,160,48490,48456,0.9992988244998969,0.9984317368140669
ur5e,cr_ik_elastic_mu025,demand_unmet,160,61686,57903,0.9386732808092598,0.9655387485215741
ur5e,cr_ik_elastic_mu025,full_demand_satisfied,153,81677,81677,1.0,1.0
ur5e,cr_ik_elastic_mu025,demand_met,153,81834,81834,1.0,1.0
ur5e,cr_ik_elastic_mu025,geometric_recovery,134,4539,4530,0.9980171844018506,0.9949117195975012
ur5e,cr_ik_elastic_mu025,partial_effective_correction,52,5055,5055,1.0,1.0
ur5e,cr_ik_mu0_analytic,analytic_zero_intervention,160,132595,132595,1.0,1.0
ur5e,cr_ik_mu0_analytic,demand_unmet,160,62025,57918,0.9337847642079806,0.9607041758808853
ur5e,cr_ik_mu0_analytic,demand_met,153,81495,81495,1.0,1.0
ur5e,cr_ik_mu0_analytic,geometric_recovery,134,4565,4561,0.9991237677984666,0.9971137900242378
ur5e,cr_ik_mu0_analytic,backup_without_improvement,109,2276,2240,0.984182776801406,0.9809276824158024
ur5e,cr_ik_elastic_mu025,no_legal_command,18,3759,19,0.005054535780792764,0.11550608748463193
ur5e,cr_ik_mu0_analytic,no_legal_command,18,4084,17,0.00416258570029383,0.00394748050674274
