robot,method,decision,frames
panda,cr_ik_elastic_mu025,backup_without_improvement,55078
panda,cr_ik_elastic_mu025,full_demand_satisfied,63391
panda,cr_ik_elastic_mu025,geometric_recovery,3853
panda,cr_ik_elastic_mu025,no_legal_command,17000
panda,cr_ik_elastic_mu025,partial_effective_correction,4678
panda,cr_ik_mu0_analytic,analytic_zero_intervention,121606
panda,cr_ik_mu0_analytic,backup_without_improvement,1388
panda,cr_ik_mu0_analytic,geometric_recovery,3816
panda,cr_ik_mu0_analytic,no_legal_command,17190
ur5e,cr_ik_elastic_mu025,backup_without_improvement,48626
ur5e,cr_ik_elastic_mu025,full_demand_satisfied,81981
ur5e,cr_ik_elastic_mu025,geometric_recovery,4541
ur5e,cr_ik_elastic_mu025,no_legal_command,3783
ur5e,cr_ik_elastic_mu025,partial_effective_correction,5069
ur5e,cr_ik_mu0_analytic,analytic_zero_intervention,133048
ur5e,cr_ik_mu0_analytic,backup_without_improvement,2279
ur5e,cr_ik_mu0_analytic,geometric_recovery,4566
ur5e,cr_ik_mu0_analytic,no_legal_command,4107
