robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,optimization_call_rate,mean_conic_calls,partial_correction_rate,effective_command_adjustment_rate,geometric_recovery_rate,intervention_normalized_mean,unchanged_given_legal_backup,accepted_near_tolerance_rate,demand_met_rate,direct_extra_p50_ms,normalized_gap_reduction_mean,demand_coverage
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),high_curvature,40,3,"[37,37,36]",36.666666666666664,0.9166666666666666,"[36,34,36]",0.8833333333333334,0.969,0.9688888888888889,0.815601,1.7251310499999961,6.09005223,11813.841934,295.34604835,244.19950516666665,615.4853612666662,0.9350555555555555,0.06494444444444444,0.0005027393786694482,0.000999997418676511,0.0010856074689419978,0.007997534344565604,0.9999999999999999,9.909118000649208,0.1981823600129842,288.1166666666667,0,0.6570833333333332,0.6693888888888888,0.044638888888888895,0.06494444444444444,,0.0041053791450452225,0.9323227145934607,0.002358614884943904,0.34369444444444447,0.350352185840708,0.0023540199523726527,0.8672240802675585
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),joint_limit_return,40,3,"[27,26,28]",27.0,0.675,"[24,26,27]",0.6416666666666667,0.8108333333333333,0.8107222222222222,0.8166445,6.09284175,6.15719588,22014.361546666667,550.3590386666667,277.20588466666663,1669.9634363166665,0.9340555555555556,0.06547222222222222,0.0005044725761694769,0.0009999777047051284,0.0018552894107726082,0.0084811921119959,1.0,4.900058289029474,0.0980011657805895,241.48333333333332,0,0.576861111111111,0.6068333333333334,0.023972222222222225,0.06497222222222222,,0.013628883841878018,0.9193336582947824,0.0021334029447012772,0.42675,0.3504543815789474,0.013370496365675659,0.7081103678929765
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),near_singular,40,3,"[25,26,28]",26.333333333333332,0.6583333333333333,"[22,25,26]",0.6083333333333333,0.887,0.8868055555555555,0.807122,6.087485,6.154954640000001,17377.755646999998,434.443891175,259.2349116666667,1113.5037575499996,0.9362777777777779,0.06200000000000001,0.0005386816427530713,0.0009999986822767835,0.0031732479052028065,0.008701595699869695,1.0,7.712774903875846,0.15425549807751693,236.91666666666666,0,0.5569722222222223,0.5895833333333333,0.027638888888888893,0.06272222222222222,,0.019721841278499075,0.9224574100379004,0.003994534368884108,0.4439166666666666,0.34981364830508477,0.0035941922943268367,0.9907190635451505
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),smooth,40,3,"[29,28,28]",28.333333333333332,0.7083333333333333,"[26,26,28]",0.6666666666666667,0.8609444444444444,0.8608055555555555,0.623053,6.0823331,6.136365010000001,17727.187499666667,443.17968749166664,220.52341533333333,1527.2923044166664,0.9569444444444445,0.04305555555555555,0.00046201573468442113,0.000999997744063533,0.0008327382575508541,0.00787467603031274,0.9999999999999981,3.966879496624507,0.07933758993249015,257.875,0,0.44861111111111107,0.45491666666666664,0.033694444444444444,0.043027777777777776,,0.005592173490935533,0.9371193688310804,0.0026356789652324736,0.5547777777777778,0.35084139473684206,0.01614887792672798,0.6729933110367893
panda,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,high_curvature,40,3,"[36,38,37]",37.0,0.925,"[35,37,35]",0.8916666666666666,0.9663888888888889,0.9662777777777778,0.559537,1.7275789499999992,6.09089431,9681.594687666666,242.03986719166664,181.887906,539.2580956333322,0.9798888888888888,0.02011111111111111,0.00042821291376164824,0.0009719157290277603,0.0005746079128580513,0.007997534344565604,0.9999999999999997,9.82086667664458,0.19641733353289154,287.7916666666667,0,0.05855555555555556,0.07061111111111111,0.0,0.02011111111111111,,0.0021560898187125105,0.9795669123705358,0.0005467181146792797,0.34352777777777777,0.34997124166666665,0.0,0.8672240802675585
panda,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,joint_limit_return,40,3,"[26,25,27]",26.0,0.65,"[25,22,26]",0.6083333333333333,0.7926944444444445,0.7925555555555555,0.5702015,6.100147150000001,6.1742843800000005,21897.763317,547.444082925,250.57837833333332,1669.5292350166667,0.9600277777777778,0.03997222222222222,0.000461915383203049,0.000979217326510446,0.001018356398352693,0.008678602414618812,1.0,4.555319910761044,0.09110639821522089,237.8,0,0.25772222222222224,0.28425,0.0,0.03916666666666667,,0.012133856790635104,0.9504371388362493,0.0032079816425690704,0.42266666666666663,0.3506209583333334,0.0,0.7081103678929765
panda,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,near_singular,40,3,"[28,29,25]",27.333333333333332,0.6833333333333333,"[27,27,23]",0.6416666666666667,0.9024722222222222,0.9023055555555556,0.564898,6.0827637999999995,6.14984401,14893.388694000001,372.33471735,199.96201416666668,1060.752910883333,0.9634444444444443,0.036555555555555556,0.0004981976648422837,0.0009797338311189165,0.002771952462698449,0.008705956868941265,0.9999999999999999,7.780934673385596,0.1556186934677119,241.59166666666667,0,0.15358333333333332,0.18475000000000003,0.0,0.034833333333333334,,0.018463020748782404,0.9543810458503365,0.003545891795950435,0.45875000000000005,0.3509450125000001,0.0,0.9907190635451505
panda,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,smooth,40,3,"[28,29,28]",28.333333333333332,0.7083333333333333,"[27,28,28]",0.6916666666666667,0.8609444444444444,0.8608888888888888,0.565148,6.08213045,6.14169955,16458.876130333334,411.4719032583333,177.77267366666666,1539.4475817999999,0.990638888888889,0.009361111111111108,0.0004003763496833979,0.000965873487241454,0.0006584365242839871,0.008146562556856706,1.0,4.070158193071793,0.08140316386143587,257.30833333333334,0,0.1521111111111111,0.15794444444444444,0.0,0.009333333333333332,,0.0038784976028269215,0.9830030500667263,0.0007322181257424708,0.5539166666666666,0.35113966249999995,0.0,0.6729933110367893
panda,pink_qp,Pink QP-IK,high_curvature,40,3,"[36,36,36]",36.0,0.9,"[36,35,36]",0.8916666666666666,0.9404166666666666,0.9403888888888888,0.9964655,1.0477093,1.1499888400000005,10958.055337,273.951383425,288.67372033333334,300.0172946666666,0.0,0.0,0.00029265481106853226,0.0009916837786013819,0.0006095133983965279,0.0032575053967757134,0.9999999999999993,9.78651215422592,0.1957302430845184,282.0,0,,,,,,,,0.0011881720430107527,,,,
panda,pink_qp,Pink QP-IK,joint_limit_return,40,3,"[26,26,26]",26.0,0.65,"[26,25,26]",0.6416666666666667,0.7870833333333332,0.7870277777777778,0.9959965,1.0503945499999998,1.140209200000002,11047.966061,276.199151525,275.650444,303.28650588333335,0.0,0.0,0.00028866857116529606,0.0009889314613116028,0.0006085612388204518,0.008576240737084802,0.9999999999999999,4.940385872556829,0.09880771745113658,236.025,0,,,,,,,,0.001052000259383173,,,,
panda,pink_qp,Pink QP-IK,near_singular,40,3,"[31,31,31]",31.0,0.775,"[31,31,30]",0.7666666666666667,0.9356666666666666,0.9356388888888889,0.9983165,1.0483147499999999,1.1254102600000027,11035.094084666665,275.87735211666666,281.1359395,300.89019901666666,0.0,0.0,0.00011289038392467462,0.000999589540688017,0.00024355105186625736,0.008635709467541306,0.9999999999999999,8.494658906839321,0.16989317813678645,258.75,0,,,,,,,,0.002681894833459254,,,,
panda,pink_qp,Pink QP-IK,smooth,40,3,"[31,31,31]",31.0,0.775,"[30,30,31]",0.7583333333333333,0.8918333333333334,0.8917777777777778,0.9982845,1.0530611,1.2650455900000013,11273.870574666667,281.84676436666666,286.1229583333334,311.7936431333333,0.0,0.0,0.0003071241883856165,0.0009757412769679056,0.0007041872113624381,0.008626215270824376,1.0,3.989674250173877,0.07979348500347754,260.25,0,,,,,,,,0.0010459331187385136,,,,
panda,trac_task_20ms,TRAC-IK task 20 ms,high_curvature,40,3,"[38,37,38]",37.666666666666664,0.9416666666666667,"[37,35,38]",0.9166666666666666,0.9738611111111111,0.9737777777777777,0.164414,0.26397209999999977,20.26289811,8506.668988666666,212.66672471666666,52.329258833333334,728.8008625166636,0.0,0.0,0.00042717016463295537,0.0009573590202723994,0.0005193975099152474,0.007904937732421157,0.9999999999999999,9.60512525253309,0.1921025050506618,291.35,0,,,,,,,,0.00019444444444444446,,,,
panda,trac_task_20ms,TRAC-IK task 20 ms,joint_limit_return,40,3,"[29,28,29]",28.666666666666668,0.7166666666666667,"[29,28,29]",0.7166666666666667,0.820861111111111,0.820861111111111,0.167313,20.273257649999998,20.32526691,45465.408723,1136.635218075,55.296898999999996,5495.21699135,0.0,0.0,0.0005614164416926378,0.0009976310018842119,0.0013575896150019918,0.008352390658746696,1.0,4.469627064058446,0.08939254128116891,246.25833333333333,0,,,,,,,,0.0012467879976729406,,,,
panda,trac_task_20ms,TRAC-IK task 20 ms,near_singular,40,3,"[26,26,25]",25.666666666666668,0.6416666666666667,"[24,26,24]",0.6166666666666667,0.8765555555555555,0.8764722222222222,0.1664685,20.263736,20.30131398,32347.26475366667,808.6816188416667,54.52718016666667,3224.0875377666657,0.0,0.0,0.0005497254068988362,0.0009934752624993787,0.0030407054692469624,0.008552061498120031,1.0,7.854016298592057,0.15708032597184116,230.91666666666666,0,,,,,,,,0.006758370453108901,,,,
panda,trac_task_20ms,TRAC-IK task 20 ms,smooth,40,3,"[28,28,28]",28.0,0.7,"[28,27,28]",0.6916666666666667,0.8619444444444445,0.8618888888888888,0.1657935,20.265482350000003,20.30720459,35571.81712966667,889.2954282416667,53.14951,4843.945052249999,0.0,0.0,0.0004048298466095492,0.0009714789509151927,0.0006438933203310161,0.008408360660081094,1.0,3.9794689704566535,0.07958937940913309,257.44166666666666,0,,,,,,,,0.0006832039840254454,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,high_curvature,40,3,"[38,36,36]",36.666666666666664,0.9166666666666666,"[38,33,36]",0.8916666666666666,0.9647222222222223,0.9646388888888888,0.1646325,0.29156379999999993,5.240709010000001,4344.502050333333,108.61255125833331,53.06260066666667,399.24454174999926,0.0,0.0,0.0004254635819316589,0.0009942929974860663,0.000514525544077222,0.007904965049226083,0.9999999999999997,9.556525666848879,0.1911305133369776,287.7,0,,,,,,,,0.00019201725997842502,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,joint_limit_return,40,3,"[28,28,27]",27.666666666666668,0.6916666666666667,"[28,28,25]",0.675,0.8065555555555555,0.8065,0.1671705,5.2426498,5.29727129,13941.506948666669,348.53767371666675,54.93977116666666,1423.35011315,0.0,0.0,0.000550419932435331,0.0009628109747280172,0.0011442416061125686,0.008081200636867781,0.9999999999999997,4.272235729457945,0.0854447145891589,241.96666666666667,0,,,,,,,,0.0009765405819795132,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,near_singular,40,3,"[25,26,25]",25.333333333333332,0.6333333333333333,"[25,26,25]",0.6333333333333333,0.8778611111111111,0.8778611111111111,0.165873,5.22932365,5.27245229,9696.413745333333,242.41034363333333,54.22119533333333,807.5201130499997,0.0,0.0,0.0005094858756718917,0.0009946381710156682,0.0025315657589172736,0.008571672036270676,1.0,7.365035977174689,0.14730071954349377,232.45,0,,,,,,,,0.0038375219523580223,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,smooth,40,3,"[28,28,28]",28.0,0.7,"[26,26,28]",0.6666666666666667,0.8614999999999999,0.861388888888889,0.165729,5.23319705,5.288600990000001,10633.114658333334,265.82786645833335,53.180797166666665,1278.81313625,0.0,0.0,0.00040449174953832836,0.0009720149698100475,0.0006417645864151825,0.007644107174235672,1.0,3.9501384969290267,0.07900276993858052,258.03333333333336,0,,,,,,,,0.0010949776551271247,,,,
panda,two_step_predictive,Two-step predictive,high_curvature,40,3,"[38,38,38]",38.0,0.95,"[37,38,38]",0.9416666666666667,0.9756944444444445,0.9756666666666668,3.749382,4.280486849999999,6.26877624,45889.40156166667,1147.2350390416668,1124.6972698333334,1179.5878878999995,0.02613888888888889,0.9714444444444443,0.0001164707052911598,0.0008832679302082802,0.001170881357844691,0.0059320984800577785,0.9999999999999999,9.370068243496656,0.1874013648699331,292.7083333333333,0,0.9999722222222223,2.9509444444444446,,,,0.06922996095929097,0.0023781939370079706,0.0,,,,
panda,two_step_predictive,Two-step predictive,joint_limit_return,40,3,"[26,27,28]",27.0,0.675,"[26,24,28]",0.65,0.7827777777777778,0.7826944444444445,3.7805455,6.28918815,6.41045776,52340.477256666665,1308.5119314166666,1158.1988018333332,1826.7388831666665,0.22674999999999998,0.7708333333333334,0.00020925213702630032,0.0009693847224390717,0.002528231097085323,0.008726560443361562,1.0,3.8186385016420505,0.076372770032841,232.475,0,0.999861111111111,2.5604722222222223,,,,0.14893825396732352,0.01801373124628223,0.0021668524712002975,,,,
panda,two_step_predictive,Two-step predictive,near_singular,40,3,"[29,29,28]",28.666666666666668,0.7166666666666667,"[28,28,28]",0.7,0.9207777777777778,0.9206388888888888,3.761881,6.25942815,6.3647856800000016,48036.64473633333,1200.9161184083332,1141.5394163333335,1441.2533668166664,0.1,0.8989999999999999,0.0003581830461296599,0.000999990014118362,0.0026797407265358717,0.00849911595575215,0.9999999999999998,6.8863066092060174,0.13772613218412033,245.03333333333333,0,0.9999444444444445,2.818027777777778,,,,0.2885453884984258,0.025485533323939005,0.004360076235424473,,,,
