robot,uid,site_id,family,method,repeat,frame,previous_q,target_position,target_rotation,q,failure_kind,position_error,orientation_error,velocity_utilization,decision,fallback_reason,native_status,demand,demand_met,initial_pair_legal
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_elastic_mu025,0,47,"[1.1713333522320604,-0.19132817457916365,-1.3211278376883095,-0.7465761205155232,-1.4324947840478308,1.6694807829678238,-1.126884614225899]","[0.29775320354710694,-0.2645122319950159,1.0369920413265101]","[[0.9656766740520941,0.25965064387747505,0.007078440908725298],[0.049712593226686856,-0.15800318762617918,-0.9861864178615747],[-0.25494552215397626,0.9526891076494888,-0.16548789955660603]]","[1.1713333522320604,-0.19132817457916365,-1.3211278376883095,-0.7465761205155232,-1.4324947840478308,1.6694807829678238,-1.126884614225899]",position_tolerance+orientation_tolerance,0.014431928265725797,0.05527886804385091,0.0,no_legal_command,nonlinear_pair_rejected,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""Solved"",""iterations"":10,""native_seconds"":0.000147884,""primal_residual"":3.675987900892528e-12,""dual_residual"":1.7739298501619548e-16},{""update"":1,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""Solved"",""iterations"":8,""native_seconds"":0.000133988,""primal_residual"":1.7558476239523295e-13,""dual_residual"":9.70946728290876e-14}]",1.0072741393685387,False,False
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_elastic_mu025,1,47,"[1.1833996821497634,-0.18896280484223404,-1.3326738380350287,-0.7401726935495436,-1.4279272368759564,1.6651775137564238,-1.1329133671651144]","[0.29775320354710694,-0.2645122319950159,1.0369920413265101]","[[0.9656766740520941,0.25965064387747505,0.007078440908725298],[0.049712593226686856,-0.15800318762617918,-0.9861864178615747],[-0.25494552215397626,0.9526891076494888,-0.16548789955660603]]","[1.1833996821497634,-0.18896280484223404,-1.3326738380350287,-0.7401726935495436,-1.4279272368759564,1.6651775137564238,-1.1329133671651144]",position_tolerance+orientation_tolerance,0.013939250274432888,0.05610230490734001,0.0,no_legal_command,nonlinear_pair_rejected,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""Solved"",""iterations"":10,""native_seconds"":0.000156288,""primal_residual"":1.0572238530421935e-13,""dual_residual"":9.049480936328918e-16},{""update"":1,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""Solved"",""iterations"":8,""native_seconds"":0.000131152,""primal_residual"":1.0305259875133451e-12,""dual_residual"":2.587727224592443e-16}]",1.0072741393685387,False,False
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_elastic_mu025,2,49,"[1.2277721528237755,-0.14480318243850068,-1.4024346657972198,-0.760970591988666,-1.4608897034842305,1.6884996827980119,-1.1726541037444727]","[0.3185234439966821,-0.24472070899764103,1.0369560601769403]","[[0.9402275277319665,0.3392006920686371,-0.030250398265013023],[0.004388015974524789,-0.10088862999688636,-0.9948880488040645],[-0.34051863592297205,0.935288391266303,-0.09634668521360468]]","[1.2277721528237755,-0.14480318243850068,-1.4024346657972198,-0.760970591988666,-1.4608897034842305,1.6884996827980119,-1.1726541037444727]",position_tolerance+orientation_tolerance,0.014606430953909217,0.05152899528538041,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":8,""native_seconds"":0.000145411,""primal_residual"":0.07748084027292376,""dual_residual"":1.4469265637707477e-16}]",0.9926180677909877,False,False
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_mu0_analytic,0,48,"[1.2168010053871345,-0.17196486748552642,-1.3656169470059076,-0.7490741140376265,-1.4602801168065525,1.6714064279371954,-1.1446152269428225]","[0.3080540267025175,-0.254589622212023,1.0371844685066212]","[[0.9541167905993072,0.2991836615820356,-0.012259141032037128],[0.027678602680646622,-0.12888663330705522,-0.9912729849584423],[-0.2981527206820764,0.9454508831225125,-0.13125388661954748]]","[1.2168010053871345,-0.17196486748552642,-1.3656169470059076,-0.7490741140376265,-1.4602801168065525,1.6714064279371954,-1.1446152269428225]",position_tolerance+orientation_tolerance,0.014122984299678497,0.0579353922243063,0.0,no_legal_command,nonlinear_pair_rejected,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""Solved"",""iterations"":14,""native_seconds"":0.000186673,""primal_residual"":1.56031096904596e-12,""dual_residual"":1.4158121525054935e-13},{""update"":1,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""Solved"",""iterations"":8,""native_seconds"":0.000130362,""primal_residual"":4.3312837447516846e-13,""dual_residual"":4.770513235106495e-13}]",1.0012676660674678,False,False
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_mu0_analytic,1,48,"[1.179724567464804,-0.1571314779243585,-1.3682457385738096,-0.7538380756309938,-1.4217702425341892,1.6875904458286421,-1.1446575771559802]","[0.3080540267025175,-0.254589622212023,1.0371844685066212]","[[0.9541167905993072,0.2991836615820356,-0.012259141032037128],[0.027678602680646622,-0.12888663330705522,-0.9912729849584423],[-0.2981527206820764,0.9454508831225125,-0.13125388661954748]]","[1.179724567464804,-0.1571314779243585,-1.3682457385738096,-0.7538380756309938,-1.4217702425341892,1.6875904458286421,-1.1446575771559802]",position_tolerance+orientation_tolerance,0.014958663816594182,0.05727795245626854,0.0,no_legal_command,convex_solve_unsuccessful,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":10,""native_seconds"":0.000172565,""primal_residual"":0.005313958515836902,""dual_residual"":4.1416812990304907e-16}]",1.0012676660674678,False,False
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_mu0_analytic,2,47,"[1.175101993869903,-0.19545467027440858,-1.3150948598228058,-0.7450810998359279,-1.4375942594686109,1.6685183737163993,-1.1287031276326602]","[0.29775320354710694,-0.2645122319950159,1.0369920413265101]","[[0.9656766740520941,0.25965064387747505,0.007078440908725298],[0.049712593226686856,-0.15800318762617918,-0.9861864178615747],[-0.25494552215397626,0.9526891076494888,-0.16548789955660603]]","[1.175101993869903,-0.19545467027440858,-1.3150948598228058,-0.7450810998359279,-1.4375942594686109,1.6685183737163993,-1.1287031276326602]",position_tolerance+orientation_tolerance,0.014387100652792596,0.057842610154534,0.0,no_legal_command,nonlinear_pair_rejected,"[{""update"":0,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""Solved"",""iterations"":11,""native_seconds"":0.000161232,""primal_residual"":3.0980456951904665e-13,""dual_residual"":5.044630279499402e-16},{""update"":1,""recovery"":true,""solver_called"":true,""stage"":""secondary"",""status"":""Solved"",""iterations"":8,""native_seconds"":0.000132677,""primal_residual"":2.310566711181278e-13,""dual_residual"":2.2350340778363173e-13}]",1.0072741393685387,False,False
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,pink_qp,0,203,"[1.5814730556113057,-0.1736746413318288,-1.5460270872748538,-0.7949801877810263,-1.7990821678633715,1.6337990075554918,-1.2632825657401225]","[0.366255409260397,-0.2010730632844102,1.0311849580303418]","[[0.8502927525643525,0.5181413420967369,-0.0923676596365251],[-0.11294704515929342,0.008230578365278112,-0.9935669190193268],[-0.5140478576225379,0.8552554046540516,0.06552093469810598]]","[1.6250730556113056,-0.16309468441777245,-1.5896270872748537,-0.8114601574186092,-1.8269657260780066,1.6403731870604406,-1.2820800988213459]",position_tolerance,0.0011430560470660764,0.0077586867011898665,0.9999999999999968,,,solved,,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,pink_qp,1,203,"[1.5814730556113057,-0.1736746413318288,-1.5460270872748538,-0.7949801877810263,-1.7990821678633715,1.6337990075554918,-1.2632825657401225]","[0.366255409260397,-0.2010730632844102,1.0311849580303418]","[[0.8502927525643525,0.5181413420967369,-0.0923676596365251],[-0.11294704515929342,0.008230578365278112,-0.9935669190193268],[-0.5140478576225379,0.8552554046540516,0.06552093469810598]]","[1.6250730556113056,-0.16309468441777245,-1.5896270872748537,-0.8114601574186092,-1.8269657260780066,1.6403731870604406,-1.2820800988213459]",position_tolerance,0.0011430560470660764,0.0077586867011898665,0.9999999999999968,,,solved,,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,pink_qp,2,203,"[1.5814730556113057,-0.1736746413318288,-1.5460270872748538,-0.7949801877810263,-1.7990821678633715,1.6337990075554918,-1.2632825657401225]","[0.366255409260397,-0.2010730632844102,1.0311849580303418]","[[0.8502927525643525,0.5181413420967369,-0.0923676596365251],[-0.11294704515929342,0.008230578365278112,-0.9935669190193268],[-0.5140478576225379,0.8552554046540516,0.06552093469810598]]","[1.6250730556113056,-0.16309468441777245,-1.5896270872748537,-0.8114601574186092,-1.8269657260780066,1.6403731870604406,-1.2820800988213459]",position_tolerance,0.0011430560470660764,0.0077586867011898665,0.9999999999999968,,,solved,,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,trac_task_20ms,0,49,"[1.2366728268193445,-0.14385909149039783,-1.412560952163249,-0.7578859046282551,-1.4558191209643838,1.689114912255814,-1.172533488078438]","[0.3185234439966821,-0.24472070899764103,1.0369560601769403]","[[0.9402275277319665,0.3392006920686371,-0.030250398265013023],[0.004388015974524789,-0.10088862999688636,-0.9948880488040645],[-0.34051863592297205,0.935288391266303,-0.09634668521360468]]","[1.2366728268193445,-0.14385909149039783,-1.412560952163249,-0.7578859046282551,-1.4558191209643838,1.689114912255814,-1.172533488078438]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.014479992747835749,0.05533617606377505,0.0,,,,,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,trac_task_20ms,1,49,"[1.2356521659393194,-0.1391502583789348,-1.422611000215529,-0.7570875349216696,-1.4440870292016783,1.6913550275298286,-1.174911596873502]","[0.3185234439966821,-0.24472070899764103,1.0369560601769403]","[[0.9402275277319665,0.3392006920686371,-0.030250398265013023],[0.004388015974524789,-0.10088862999688636,-0.9948880488040645],[-0.34051863592297205,0.935288391266303,-0.09634668521360468]]","[1.2356521659393194,-0.1391502583789348,-1.422611000215529,-0.7570875349216696,-1.4440870292016783,1.6913550275298286,-1.174911596873502]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.01471696637132255,0.054867617663088564,0.0,,,,,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,trac_task_20ms,2,49,"[1.2405888558666252,-0.15306417374324283,-1.3958280709644804,-0.7597911990892229,-1.4781973256796006,1.6817457866812995,-1.1706782279070638]","[0.3185234439966821,-0.24472070899764103,1.0369560601769403]","[[0.9402275277319665,0.3392006920686371,-0.030250398265013023],[0.004388015974524789,-0.10088862999688636,-0.9948880488040645],[-0.34051863592297205,0.935288391266303,-0.09634668521360468]]","[1.2405888558666252,-0.15306417374324283,-1.3958280709644804,-0.7597911990892229,-1.4781973256796006,1.6817457866812995,-1.1706782279070638]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.014461660226222866,0.05472663811998682,0.0,,,,,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,trac_task_5ms,0,48,"[1.2006518943354465,-0.15752131332006677,-1.3872745505637216,-0.7500062940662299,-1.4219330171753877,1.687901469282036,-1.147210878298508]","[0.3080540267025175,-0.254589622212023,1.0371844685066212]","[[0.9541167905993072,0.2991836615820356,-0.012259141032037128],[0.027678602680646622,-0.12888663330705522,-0.9912729849584423],[-0.2981527206820764,0.9454508831225125,-0.13125388661954748]]","[1.2006518943354465,-0.15752131332006677,-1.3872745505637216,-0.7500062940662299,-1.4219330171753877,1.687901469282036,-1.147210878298508]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.0145261818354599,0.0567173954345232,0.0,,,,,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,trac_task_5ms,1,49,"[1.2337113421810781,-0.14847295096968724,-1.3999980318579681,-0.7603569181866309,-1.4676000909021256,1.6864594540523359,-1.1698759695182244]","[0.3185234439966821,-0.24472070899764103,1.0369560601769403]","[[0.9402275277319665,0.3392006920686371,-0.030250398265013023],[0.004388015974524789,-0.10088862999688636,-0.9948880488040645],[-0.34051863592297205,0.935288391266303,-0.09634668521360468]]","[1.2337113421810781,-0.14847295096968724,-1.3999980318579681,-0.7603569181866309,-1.4676000909021256,1.6864594540523359,-1.1698759695182244]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.014479908132497759,0.054814075117522586,0.0,,,,,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,trac_task_5ms,2,48,"[1.1643183156927654,-0.1401872648786301,-1.3893182562638926,-0.7524132685738801,-1.3814532384228835,1.6982556705314018,-1.1535416978617379]","[0.3080540267025175,-0.254589622212023,1.0371844685066212]","[[0.9541167905993072,0.2991836615820356,-0.012259141032037128],[0.027678602680646622,-0.12888663330705522,-0.9912729849584423],[-0.2981527206820764,0.9454508831225125,-0.13125388661954748]]","[1.1643183156927654,-0.1401872648786301,-1.3893182562638926,-0.7524132685738801,-1.3814532384228835,1.6982556705314018,-1.1535416978617379]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.014401464467465213,0.053967656123096855,0.0,,,,,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,two_step_predictive,0,48,"[1.2052048242232125,-0.18170136166438874,-1.3358827453598525,-0.7551857844752926,-1.4772257313697101,1.6685839264434799,-1.1469905709250272]","[0.3080540267025175,-0.254589622212023,1.0371844685066212]","[[0.9541167905993072,0.2991836615820356,-0.012259141032037128],[0.027678602680646622,-0.12888663330705522,-0.9912729849584423],[-0.2981527206820764,0.9454508831225125,-0.13125388661954748]]","[1.2052048242232125,-0.18170136166438874,-1.3358827453598525,-0.7551857844752926,-1.4772257313697101,1.6685839264434799,-1.1469905709250272]",position_tolerance+orientation_tolerance,0.014439272577810422,0.055564846920442175,0.0,,,"[{""update"":0,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":9,""native_seconds"":0.000147629,""primal_residual"":0.014076011284090438,""dual_residual"":3.624906082060374e-16}]",,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,two_step_predictive,1,48,"[1.19997823940283,-0.1798780135138457,-1.3353550601055644,-0.7560273953876658,-1.4725663783441998,1.670525297351819,-1.1467961267754787]","[0.3080540267025175,-0.254589622212023,1.0371844685066212]","[[0.9541167905993072,0.2991836615820356,-0.012259141032037128],[0.027678602680646622,-0.12888663330705522,-0.9912729849584423],[-0.2981527206820764,0.9454508831225125,-0.13125388661954748]]","[1.19997823940283,-0.1798780135138457,-1.3353550601055644,-0.7560273953876658,-1.4725663783441998,1.670525297351819,-1.1467961267754787]",position_tolerance+orientation_tolerance,0.01444529666111359,0.055504147377252684,0.0,,,"[{""update"":0,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":9,""native_seconds"":0.00014782,""primal_residual"":0.026246092388540847,""dual_residual"":1.9394046147167516e-16}]",,,
panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,two_step_predictive,2,48,"[1.2037625108565302,-0.17600728472420135,-1.3470480544421979,-0.7535240516781987,-1.4639743253105786,1.6724776311080964,-1.1480931046637477]","[0.3080540267025175,-0.254589622212023,1.0371844685066212]","[[0.9541167905993072,0.2991836615820356,-0.012259141032037128],[0.027678602680646622,-0.12888663330705522,-0.9912729849584423],[-0.2981527206820764,0.9454508831225125,-0.13125388661954748]]","[1.2037625108565302,-0.17600728472420135,-1.3470480544421979,-0.7535240516781987,-1.4639743253105786,1.6724776311080964,-1.1480931046637477]",position_tolerance+orientation_tolerance,0.01442432142772089,0.055734497738085705,0.0,,,"[{""update"":0,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":11,""native_seconds"":0.000182158,""primal_residual"":0.003234887998526422,""dual_residual"":3.4625225630580717e-16}]",,,
panda,8283ba8c46ec8b783143ddc6efff1d4c411614504244238421258c8275827ae8,trajectory_007,smooth,pink_qp,0,11,"[0.7364555954099169,0.14773964484629362,-1.6827619136754022,-1.3371790409738953,0.6169464013247852,0.755469317134098,0.5861614145669471]","[0.35657981440225234,-0.2867432463741849,0.7014412531605431]","[[0.28671423835088006,-0.9561019624312637,-0.06053084306335812],[-0.7280488183854351,-0.2585222410318389,0.6349103629170397],[-0.6226876131532137,-0.13796843235668785,-0.7702109114382838]]","[0.7800555954099168,0.11421513467826196,-1.726361913675402,-1.3404524518426506,0.6187622644816883,0.773854480629103,0.6032872254012148]",position_tolerance,0.0010381319582482445,0.0033640076249349025,0.9999999999999968,,,solved,,,
