robot,method,baseline,uid,family,completion_fraction,baseline_completion_fraction,change,stable_all_vs_none
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,01ca7a090550753e75668b98421b47b50bc8fafb46c8161ebbff7bc759500ccc,smooth,1.0,1.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,020cecde743907024f6fe1664ce378bc1922a869d74c2236737c0c776c80db3f,joint_limit_return,0.0,0.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,059722acd40185cc619cfcd9c098553c60874e0faf5853d4887b4041f6ac69c0,joint_limit_return,1.0,1.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,065bd3f9c569fc61ffcee42b364885a7a33f00cbe0bffd83788d9d78d1ddc985,high_curvature,1.0,1.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,090ebcbbfdc2cf2943e003099e72ddb1c565e09c3fc51ba8e7356f5fe5088aa0,smooth,1.0,1.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,09934560516da0f3bbe8545deca9f7ed7c73d8de25438bf1e75ca255cd60f90d,joint_limit_return,0.0,0.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,09e2beccf623d83b818dd36dc03beef6e02042da0c0e4049e1fd47905f128b17,smooth,1.0,1.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,0df9c044a0bae360c1d803593b642faa1b351b24eabbf03d27ca89d9f363671a,high_curvature,1.0,1.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,0f9140f6ab6493321f519096ce8d28c966f12304e9c6480e3dd295d8b37c2730,smooth,0.0,0.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,12365ded82d5776896c0aaa6860530471800b8d3550960e5211183f96bac0058,near_singular,0.0,0.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,1347163f63135c7e7c6ff8c4726da35daf22856d79af6ff0a8453ba578f81aec,joint_limit_return,1.0,1.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,13fbac2c77001acafad2ab940a4739fd1f0306c5475e9626e8d444ca21b24410,joint_limit_return,0.3333333333333333,0.0,gained,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,15d9874ccdad195f03ffc88a38d389dea5e47b056c64a791a2587bc55cb42b11,joint_limit_return,1.0,1.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,17d4c95c8e2682b79ce2a3276de6fa262a1226633d09866de42f7131075fe6b0,joint_limit_return,0.0,0.0,same,False
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,1963d66d56ea9cf7549e39c49cc94b70c0b74ae497b493707e0343ccda8d121c,joint_limit_return,1.0,1.0,same,False
