robot,method,baseline,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,completion,160,-0.002083333333333332,"[-0.020833333333333332,0.014583333333333334]",0.9971910112359552,"[0.9722991689750693,1.0205897536005555]"
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,deadline_completion,160,-0.008333333333333335,"[-0.0375,0.01875]",0.9882352941176472,"[0.9486365925112149,1.026956345667328]"
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,total_latency_ns,160,37509523.73958333,"[22647672.734531242,50876217.98875]",1.0953657879543466,"[1.0541579750272283,1.1396613344051933]"
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,frame_success,160,0.0013194444444444412,"[-0.006722395833333338,0.010738368055555562]",1.0014983045501142,"[0.9924315133031945,1.0123919032424376]"
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,acceleration_rms,160,0.0653878090790064,"[-0.08510137331211781,0.23007160829853746]",1.0099724882550676,"[0.987220785394706,1.0350649372169114]"
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,intervention_normalized_mean,160,0.0016042031988502264,"[0.0007392694860766652,0.0024264354062431314]",1.1751721587504123,"[1.071755465299117,1.2894986428148105]"
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,optimization_call_rate,160,0.40438888888888885,"[0.37698489583333333,0.4302918402777777]",3.600687776338707,"[3.0227387450570173,4.465898201479412]"
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,partial_correction_rate,160,0.03248611111111111,"[0.02279826388888889,0.04319444444444444]",,
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,effective_command_adjustment_rate,160,0.03305555555555555,"[0.023478993055555553,0.04368159722222223]",2.278195488721804,"[1.8725628040226256,2.835894922141433]"
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,normalized_shortfall_reduction_mean,160,0.008866896634775783,"[0.005294750337648201,0.012992863420717746]",,
