frames,completion,deadline_completion,frame_success,frame_deadline_success,accepted_frames,deadline_frames,total_latency_ns,p50_ms,p95_ms,p99_ms,first_failure_frame,successful_prefix,first_failure_reason,failure_reasons,backup_rate,optimized_command_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,normalized_tolerance_p95,max_accepted_step_utilization,acceleration_rms,velocity_change_rms,accepted_contract_violations,optimization_call_rate,mean_conic_calls,intervention_normalized_mean,intervention_normalized_p95,unchanged_given_legal_backup,accepted_near_tolerance_rate,direct_return_rate,direct_extra_p50_ms,demand_coverage,demand_met_rate,partial_correction_rate,effective_command_adjustment_rate,actual_shortfall_reduction_mean,normalized_shortfall_reduction_mean,decision_counts,fallback_counts,robot,uid,site_id,family,method,repeat,run_id,raw_file
300,False,False,0.16666666666666666,0.16666666666666666,50,50,1575176807,6.064194,6.21029725,6.385512609999999,47,47,position_tolerance+orientation_tolerance,"{""position_tolerance+orientation_tolerance"":250}",0.99,0.15666666666666668,0.01,0.0005243163432868803,0.0008537313092463015,0.0028620262673776124,0.005785137866129611,0.5243163432868803,0.8788775668757299,9.195063907548406,0.18390127815096813,0,0.95,0.97,0.02211687256296272,0.10644606891002896,0.94,0.0,0.05,0.354581,0.6354515050167224,0.05,0.0,0.01,0.0,0.0,"{""backup_without_improvement"":32,""full_demand_satisfied"":15,""geometric_recovery"":3,""no_legal_command"":250}","{""convex_solve_unsuccessful"":278,""nonlinear_pair_rejected"":4}",panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_elastic_mu025,0,panda_trajectory_000_cr_ik_elastic_mu025_r0,runs/panda_trajectory_000_cr_ik_elastic_mu025_r0.jsonl.gz
300,False,False,0.17,0.17,51,51,1568413037,6.061094,6.1404445999999995,6.575282339999999,47,47,position_tolerance+orientation_tolerance,"{""position_tolerance+orientation_tolerance"":249}",0.99,0.16,0.01,0.0005776397749149942,0.0006743249417122735,0.001254119357264124,0.004678544866860266,0.5776397749149942,0.9950604682480242,8.251179027844945,0.16502358055689892,0,0.95,0.9733333333333334,0.013350669919502246,0.04784816775461534,0.9411764705882353,0.0,0.05,0.356097,0.6354515050167224,0.05,0.0,0.01,0.0,0.0,"{""backup_without_improvement"":33,""full_demand_satisfied"":15,""geometric_recovery"":3,""no_legal_command"":249}","{""convex_solve_unsuccessful"":277,""nonlinear_pair_rejected"":5}",panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_elastic_mu025,1,panda_trajectory_000_cr_ik_elastic_mu025_r1,runs/panda_trajectory_000_cr_ik_elastic_mu025_r1.jsonl.gz
300,False,False,0.17,0.17,51,51,1600458797,6.070637,6.16732395,6.46745947,49,49,position_tolerance+orientation_tolerance,"{""position_tolerance+orientation_tolerance"":249}",0.91,0.14333333333333334,0.09,0.0008661794841369948,0.0009590454266021034,0.0054153383144172175,0.006783137133624151,0.8661794841369947,0.9999999999999968,10.402581104460943,0.20805162208921885,0,0.95,0.98,0.014983049920048003,0.0535569992685008,0.47058823529411764,0.0392156862745098,0.05,0.353394,0.6354515050167224,0.05,0.09,0.09,0.060460511372199016,0.025649962883795355,"{""backup_without_improvement"":9,""partial_effective_correction"":27,""full_demand_satisfied"":15,""no_legal_command"":249}","{""no_actual_objective_improvement"":1,""nonlinear_pair_rejected"":8,""convex_solve_unsuccessful"":249}",panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_elastic_mu025,2,panda_trajectory_000_cr_ik_elastic_mu025_r2,runs/panda_trajectory_000_cr_ik_elastic_mu025_r2.jsonl.gz
300,False,False,0.17,0.17,51,51,1568274837,6.0680165,6.13641975,6.5487412299999965,48,48,position_tolerance+orientation_tolerance,"{""position_tolerance+orientation_tolerance"":249}",0.99,0.15666666666666668,0.01,0.000613454146632742,0.0007905506919857183,0.002249013806966581,0.00639200118560632,0.6732735264941134,0.8848363880055583,9.144573916999907,0.18289147833999814,0,0.8533333333333334,0.8733333333333333,0.017331438604618183,0.09676915355457229,0.9411764705882353,0.0,0.14666666666666667,0.3580065,0.6354515050167224,0.05,0.0,0.01,0.0,0.0,"{""analytic_zero_intervention"":44,""geometric_recovery"":3,""backup_without_improvement"":4,""no_legal_command"":249}","{""nonlinear_pair_rejected"":5,""convex_solve_unsuccessful"":248}",panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_mu0_analytic,0,panda_trajectory_000_cr_ik_mu0_analytic_r0,runs/panda_trajectory_000_cr_ik_mu0_analytic_r0.jsonl.gz
300,False,False,0.17,0.17,51,51,1563675545,6.0667065,6.1527005,6.29674653,48,48,position_tolerance+orientation_tolerance,"{""position_tolerance+orientation_tolerance"":249}",0.9933333333333333,0.15333333333333332,0.006666666666666667,0.0007327666578408401,0.0008167891911591632,0.0024594123532464887,0.007262599927618007,0.73276665784084,0.9635893272880374,9.776451040807105,0.1955290208161421,0,0.8533333333333334,0.8733333333333333,0.011474336019414442,0.0,0.9607843137254902,0.0,0.14666666666666667,0.3506205,0.6354515050167224,0.05,0.0,0.006666666666666667,0.0,0.0,"{""analytic_zero_intervention"":44,""geometric_recovery"":2,""backup_without_improvement"":5,""no_legal_command"":249}","{""nonlinear_pair_rejected"":5,""convex_solve_unsuccessful"":249}",panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_mu0_analytic,1,panda_trajectory_000_cr_ik_mu0_analytic_r1,runs/panda_trajectory_000_cr_ik_mu0_analytic_r1.jsonl.gz
300,False,False,0.16666666666666666,0.16666666666666666,50,50,1563158233,6.059184,6.1439195,6.28917129,47,47,position_tolerance+orientation_tolerance,"{""position_tolerance+orientation_tolerance"":250}",0.99,0.16,0.01,0.0003272858807267772,0.0007780584932766808,0.002343842518271976,0.0073465287071869,0.5585570480583224,0.7278117545571581,7.432421186508901,0.14864842373017803,0,0.85,0.87,0.014351868083784348,0.07282124695949406,0.94,0.0,0.15,0.340038,0.6354515050167224,0.05,0.0,0.01,0.0,0.0,"{""analytic_zero_intervention"":45,""geometric_recovery"":3,""backup_without_improvement"":2,""no_legal_command"":250}","{""nonlinear_pair_rejected"":4,""convex_solve_unsuccessful"":248}",panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,cr_ik_mu0_analytic,2,panda_trajectory_000_cr_ik_mu0_analytic_r2,runs/panda_trajectory_000_cr_ik_mu0_analytic_r2.jsonl.gz
300,False,False,0.6766666666666666,0.6766666666666666,203,203,279009554,0.997801,1.0296363,1.0987268099999998,203,203,position_tolerance,"{""position_tolerance"":1,""position_tolerance+orientation_tolerance"":96}",0.0,0.0,0.0,0.0006055265212089377,0.000886995276212198,0.000566816478978431,0.00548885294175129,0.6055265212089377,0.9999999999999968,4.864276600193178,0.09728553200386358,0,,,,,,0.0,0.0,,,,,,,,,,panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,pink_qp,0,panda_trajectory_000_pink_qp_r0,runs/panda_trajectory_000_pink_qp_r0.jsonl.gz
300,False,False,0.6766666666666666,0.6766666666666666,203,203,276907185,0.986744,1.01944395,1.2794101100000002,203,203,position_tolerance,"{""position_tolerance"":1,""position_tolerance+orientation_tolerance"":96}",0.0,0.0,0.0,0.0006055265212089377,0.000886995276212198,0.000566816478978431,0.00548885294175129,0.6055265212089377,0.9999999999999968,4.864276600193178,0.09728553200386358,0,,,,,,0.0,0.0,,,,,,,,,,panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,pink_qp,1,panda_trajectory_000_pink_qp_r1,runs/panda_trajectory_000_pink_qp_r1.jsonl.gz
300,False,False,0.6766666666666666,0.6766666666666666,203,203,273801054,0.984637,1.01079725,1.0557896299999998,203,203,position_tolerance,"{""position_tolerance"":1,""position_tolerance+orientation_tolerance"":96}",0.0,0.0,0.0,0.0006055265212089377,0.000886995276212198,0.000566816478978431,0.00548885294175129,0.6055265212089377,0.9999999999999968,4.864276600193178,0.09728553200386358,0,,,,,,0.0,0.0,,,,,,,,,,panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,pink_qp,2,panda_trajectory_000_pink_qp_r2,runs/panda_trajectory_000_pink_qp_r2.jsonl.gz
300,False,False,0.17333333333333334,0.17333333333333334,52,52,5043206695,20.2561085,20.2995603,20.36294663,49,49,internal_nonconvergence+position_tolerance+orientation_tolerance,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":248}",0.0,0.0,0.0,0.0006598519571125014,0.000849810494029352,0.0022156429538806215,0.005368188841558888,0.6598519571125013,0.9570909274593875,9.406915267595224,0.1881383053519045,0,,,,,,0.0,0.0,,,,,,,,,,panda,d4eac3eeb55ccb0dbd9c113488386430706d5d57de866ae435ce705a92c53f22,trajectory_000,smooth,trac_task_20ms,0,panda_trajectory_000_trac_task_20ms_r0,runs/panda_trajectory_000_trac_task_20ms_r0.jsonl.gz
