robot,method,phase,frames,mean_ms,p50_ms,p95_ms,p99_ms
panda,cr_ik_elastic_mu025,backup_ns,144000,0.8389843410833333,0.221556,5.25861425,5.2867351
panda,cr_ik_elastic_mu025,cone_construction_ns,144000,0.16188999058333334,0.1991675,0.435436,0.8828953700000003
panda,cr_ik_elastic_mu025,cone_solve_ns,144000,0.03311168684027778,0.016006,0.159906,0.2844961000000001
panda,cr_ik_elastic_mu025,demand_estimation_ns,144000,0.03978369746527778,0.038522,0.05342104999999999,0.058389060000000055
panda,cr_ik_elastic_mu025,initial_pair_ns,144000,0.29462399518750004,0.301658,0.33280119999999996,0.4516918500000008
panda,cr_ik_elastic_mu025,nonlinear_validation_ns,144000,0.04686911540277778,0.00012,0.43179015,1.1860823000000003
panda,cr_ik_elastic_mu025,optimization_ns,144000,0.24187079282638888,0.216297,0.8161296999999996,2.3351801500000002
panda,cr_ik_elastic_mu025,total_latency_ns,144000,1.436107221402778,0.809556,6.08079525,6.13920944
panda,cr_ik_mu0_analytic,backup_ns,144000,0.8382351551597222,0.210202,5.259516,5.28850421
panda,cr_ik_mu0_analytic,cone_construction_ns,144000,0.07685916422222223,0.0,0.4353345499999999,0.8828306000000006
panda,cr_ik_mu0_analytic,cone_solve_ns,144000,0.020545071131944447,0.0,0.11887669999999984,0.2826222800000003
panda,cr_ik_mu0_analytic,demand_estimation_ns,144000,0.039295234875,0.03783,0.053396,0.058407040000000035
panda,cr_ik_mu0_analytic,initial_pair_ns,144000,0.2906539562013889,0.296478,0.32943539999999993,0.44406531000000027
panda,cr_ik_mu0_analytic,nonlinear_validation_ns,144000,0.030257511673611112,0.000123,0.000163,1.1737876100000006
panda,cr_ik_mu0_analytic,optimization_ns,144000,0.12766174702777777,0.000124,0.5523871499999999,2.3228434600000005
panda,cr_ik_mu0_analytic,total_latency_ns,144000,1.3110754756041667,0.564476,6.08242,6.14320216
panda,pink_qp,total_latency_ns,144000,0.9232288761944445,0.997366,1.04998505,1.1539223800000002
panda,trac_task_20ms,total_latency_ns,144000,2.5393991582291666,0.165787,20.26225405,20.30106704
panda,trac_task_5ms,total_latency_ns,144000,0.8044903625555555,0.165745,5.229742099999999,5.27420245
panda,two_step_predictive,backup_ns,144000,0.8665673256944445,0.225914,5.24896105,5.28168417
panda,two_step_predictive,optimization_ns,144000,2.987965014375,3.273982,3.5944355,4.26673304
panda,two_step_predictive,total_latency_ns,144000,4.09742440475,3.7612795,6.26628005,6.34929408
ur5e,cr_ik_elastic_mu025,backup_ns,144000,0.3587403340138889,0.206857,0.2928473499999999,5.24611505
ur5e,cr_ik_elastic_mu025,cone_construction_ns,144000,0.1153881627013889,0.0,0.4091723999999999,0.8499960400000001
ur5e,cr_ik_elastic_mu025,cone_solve_ns,144000,0.0216827698125,0.0,0.13387619999999995,0.2582450600000001
ur5e,cr_ik_elastic_mu025,demand_estimation_ns,144000,0.03806348554166667,0.037793,0.043662,0.054282
ur5e,cr_ik_elastic_mu025,initial_pair_ns,144000,0.2859836464861111,0.290177,0.314468,0.3520164400000013
ur5e,cr_ik_elastic_mu025,nonlinear_validation_ns,144000,0.05450358967361111,0.000123,0.42878459999999985,1.1181513100000002
ur5e,cr_ik_elastic_mu025,optimization_ns,144000,0.1915745221875,0.000147,0.8182814999999999,2.2322101900000013
ur5e,cr_ik_elastic_mu025,total_latency_ns,144000,0.8939585940763889,0.5742805,2.5680628499999982,6.02798423
ur5e,cr_ik_mu0_analytic,backup_ns,144000,0.36479448038194445,0.197487,0.289771,5.24550201
ur5e,cr_ik_mu0_analytic,cone_construction_ns,144000,0.04465138083333334,0.0,0.40796859999999985,0.8475761500000002
ur5e,cr_ik_mu0_analytic,cone_solve_ns,144000,0.012345105125,0.0,0.10785949999999989,0.2588531800000002
ur5e,cr_ik_mu0_analytic,demand_estimation_ns,144000,0.03745738397222222,0.037076,0.043203,0.05412201000000001
ur5e,cr_ik_mu0_analytic,initial_pair_ns,144000,0.281736313,0.285233,0.30993864999999987,0.3548169400000018
ur5e,cr_ik_mu0_analytic,nonlinear_validation_ns,144000,0.03844409972916667,0.000128,0.000184,1.1168114900000004
ur5e,cr_ik_mu0_analytic,optimization_ns,144000,0.0954405856875,0.000128,0.5153382499999999,2.2275046300000008
ur5e,cr_ik_mu0_analytic,total_latency_ns,144000,0.7938010801527777,0.53662,2.5995189499999967,6.02749204
ur5e,pink_qp,total_latency_ns,144000,0.6493944422986112,0.627147,0.75498905,0.8676777100000007
ur5e,trac_task_20ms,total_latency_ns,144000,0.6582743645,0.15215,0.24455034999999992,20.2436
ur5e,trac_task_5ms,total_latency_ns,144000,0.3542543652569444,0.152006,0.2958371499999997,5.22358708
ur5e,two_step_predictive,backup_ns,144000,0.6538745988472222,0.2179085,5.22617215,5.26106008
ur5e,two_step_predictive,optimization_ns,144000,2.8808258703194443,3.086532,3.32986215,3.505108220000001
ur5e,two_step_predictive,total_latency_ns,144000,3.7632918984375,3.543346,6.17345705,6.24120104
