robot,method,baseline,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,cr_ik,pink_qp,completion,80,-0.004166666666666671,"[-0.09166666666666667,0.07916666666666666]",0.9950980392156862,"[0.8963963963963966,1.098971937189055]"
panda,cr_ik,pink_qp,deadline_completion,80,-0.025000000000000005,"[-0.1125,0.062499999999999986]",0.9705882352941176,"[0.8738738738738739,1.0769230769230769]"
panda,cr_ik,pink_qp,total_latency_ns,80,1452893667.6583333,"[1440755625.2604165,1465806153.5420833]",6.144470891296043,"[6.039443374185817,6.259940181049247]"
panda,cr_ik,pink_qp,frame_success,80,0.004749999999999999,"[-0.038417708333333335,0.04763888888888888]",1.005091786144982,"[0.9595755602669829,1.0526987572059168]"
panda,cr_ik,ranged_ik_positive_range,completion,80,0.8458333333333332,"[0.7666666666666668,0.9166666666666666]",,
panda,cr_ik,ranged_ik_positive_range,deadline_completion,80,0.825,"[0.7458333333333333,0.8917708333333338]",,
panda,cr_ik,ranged_ik_positive_range,total_latency_ns,80,1646522453.9583333,"[1635230621.1808333,1658525895.450625]",19.544071051238273,"[18.90058140303655,20.161235529552865]"
panda,cr_ik,ranged_ik_positive_range,frame_success,80,0.924625,"[0.8877736111111113,0.9566333333333336]",72.12499999999999,"[67.14745394122596,77.53907127931274]"
panda,cr_ik,ranged_ik_upstream,completion,80,0.8458333333333332,"[0.7666666666666668,0.9166666666666666]",,
panda,cr_ik,ranged_ik_upstream,deadline_completion,80,0.825,"[0.7458333333333333,0.8917708333333338]",,
panda,cr_ik,ranged_ik_upstream,total_latency_ns,80,1640963237.2208333,"[1629756007.1366665,1652658702.0638542]",18.392497362217146,"[18.003176335322074,18.762464533408796]"
panda,cr_ik,ranged_ik_upstream,frame_success,80,0.9183333333333333,"[0.8820961805555555,0.9497791666666666]",48.60259179265659,"[37.089535852904945,67.60823522853958]"
panda,cr_ik,single_step_reserve,completion,80,0.35000000000000003,"[0.25,0.4625]",1.705882352941176,"[1.4316546762589932,2.1616573902288185]"
panda,cr_ik,single_step_reserve,deadline_completion,80,0.3375,"[0.23333333333333334,0.45]",1.6923076923076923,"[1.4148148148148152,2.1530808477237047]"
panda,cr_ik,single_step_reserve,total_latency_ns,80,278444401.4625,"[240472064.25739583,313296533.2255208]",1.1911253794422014,"[1.1606039484343538,1.2208243281061346]"
panda,cr_ik,single_step_reserve,frame_success,80,0.19794444444444442,"[0.136953125,0.2634680555555556]",1.2676080139699943,"[1.172025841019281,1.3900062222092564]"
panda,cr_ik,trac_task_20ms,completion,80,0.02083333333333333,"[-0.04583333333333334,0.0875]",1.025252525252525,"[0.9458061015461153,1.111675801922454]"
panda,cr_ik,trac_task_20ms,deadline_completion,80,0.03333333333333333,"[-0.0375,0.1]",1.0421052631578946,"[0.9547681589767015,1.136663879598662]"
panda,cr_ik,trac_task_20ms,total_latency_ns,80,1125399778.6041665,"[839277325.8881251,1380548966.94]",2.8451827331279294,"[1.9272135976158349,4.943186780473025]"
panda,cr_ik,trac_task_20ms,frame_success,80,0.029597222222222226,"[-0.0022645833333333316,0.06319722222222222]",1.0325950625592706,"[0.9975609404416567,1.0727105242018333]"
panda,cr_ik,trac_task_5ms,completion,80,0.041666666666666664,"[-0.025,0.10833333333333332]",1.0518134715025906,"[0.9710109750949768,1.1444646182495346]"
panda,cr_ik,trac_task_5ms,deadline_completion,80,0.03749999999999999,"[-0.03333333333333334,0.10416666666666666]",1.0476190476190477,"[0.9600000000000002,1.141304347826087]"
panda,cr_ik,trac_task_5ms,total_latency_ns,80,1534566758.7,"[1463829949.2560415,1594987551.3097916]",8.644343612157405,"[6.293603865972334,13.05026296314366]"
panda,cr_ik,trac_task_5ms,frame_success,80,0.034277777777777775,"[0.0014579861111111063,0.0698340277777778]",1.0379452960440336,"[1.0015985657130975,1.08132539849634]"
panda,cr_ik,two_step_predictive,completion,80,0.054166666666666675,"[-0.008333333333333331,0.11666666666666665]",1.068421052631579,"[0.99009900990099,1.1578947368421053]"
panda,cr_ik,two_step_predictive,deadline_completion,80,0.06666666666666668,"[-3.469446951952431e-20,0.13333333333333333]",1.0879120879120878,"[1.0,1.1852067183462534]"
panda,cr_ik,two_step_predictive,total_latency_ns,80,520346503.575,"[488526268.6404167,549305194.9951041]",1.4282808362518769,"[1.3905675097899868,1.464377481422878]"
panda,cr_ik,two_step_predictive,frame_success,80,0.03776388888888889,"[0.00790173611111111,0.07389166666666666]",1.0419663528322272,"[1.0084722246988875,1.0862297720467682]"
panda,cr_ik,two_step_sigma,completion,80,0.06666666666666668,"[-0.020833333333333336,0.15]",1.085561497326203,"[0.9734006997383092,1.2102272727272727]"
panda,cr_ik,two_step_sigma,deadline_completion,80,0.08333333333333334,"[-0.008333333333333326,0.17083333333333334]",1.1123595505617978,"[0.9898464208018235,1.248324285042534]"
panda,cr_ik,two_step_sigma,total_latency_ns,80,-100248726.75833331,"[-112926264.91749997,-87359581.49875]",0.9453852345824955,"[0.9387181876617064,0.9522576242818218]"
panda,cr_ik,two_step_sigma,frame_success,80,0.044750000000000005,"[-0.003737152777777774,0.09454166666666666]",1.0501189976200473,"[0.9959033817431617,1.110920668016783]"
ur5e,cr_ik,pink_qp,completion,80,0.14999999999999997,"[0.0625,0.24166666666666664]",1.1967213114754098,"[1.0769230769230769,1.3511904761904763]"
ur5e,cr_ik,pink_qp,deadline_completion,80,0.1208333333333333,"[0.03333333333333332,0.2125]",1.1584699453551912,"[1.0404040404040404,1.3095342522974105]"
ur5e,cr_ik,pink_qp,total_latency_ns,80,1374645466.0958333,"[1368486872.9834373,1382736757.8685417]",8.012383757757998,"[7.9415295257315215,8.082926883520013]"
ur5e,cr_ik,pink_qp,frame_success,80,0.07013888888888889,"[0.023704513888888886,0.1184076388888889]",1.0775158101553386,"[1.0252956598987684,1.1376821975648017]"
ur5e,cr_ik,ranged_ik_positive_range,completion,80,0.9125,"[0.8583333333333334,0.9583333333333334]",,
ur5e,cr_ik,ranged_ik_positive_range,deadline_completion,80,0.8833333333333332,"[0.8291666666666666,0.9333333333333333]",,
ur5e,cr_ik,ranged_ik_positive_range,total_latency_ns,80,1490319505.1333332,"[1483131139.6740625,1498640256.5918748]",19.546211774969596,"[18.864486720200677,20.145963707235197]"
ur5e,cr_ik,ranged_ik_positive_range,frame_success,80,0.961138888888889,"[0.9380131944444446,0.97775]",70.47991967871485,"[64.48061247723135,76.97967568164216]"
ur5e,cr_ik,ranged_ik_upstream,completion,80,0.9125,"[0.8583333333333334,0.9583333333333334]",,
ur5e,cr_ik,ranged_ik_upstream,deadline_completion,80,0.8833333333333332,"[0.8291666666666666,0.9333333333333333]",,
ur5e,cr_ik,ranged_ik_upstream,total_latency_ns,80,1482474566.4583333,"[1475921620.1686459,1490397503.8995833]",17.807716133536506,"[17.37890633141639,18.20818845623399]"
ur5e,cr_ik,ranged_ik_upstream,frame_success,80,0.9432222222222222,"[0.9183131944444446,0.9624447916666666]",30.70778652668416,"[22.925719508550713,41.97529358367666]"
ur5e,cr_ik,single_step_reserve,completion,80,0.5583333333333333,"[0.4666666666666666,0.65]",2.576470588235294,"[2.0587815126050417,3.4532722848360655]"
ur5e,cr_ik,single_step_reserve,deadline_completion,80,0.55,"[0.4541666666666667,0.6416666666666667]",2.65,"[2.1,3.5932203389830515]"
ur5e,cr_ik,single_step_reserve,total_latency_ns,80,160140346.35833335,"[115341701.99041668,201468735.6496875]",1.1135315360606768,"[1.0791279087593042,1.147394710675244]"
ur5e,cr_ik,single_step_reserve,frame_success,80,0.3206944444444445,"[0.25411979166666665,0.3927100694444444]",1.4901502929438737,"[1.3518700285205962,1.673189871552437]"
ur5e,cr_ik,trac_task_20ms,completion,80,-0.008333333333333333,"[-0.04166666666666667,0.029166666666666664]",0.990950226244344,"[0.9545402656704026,1.0313936694542074]"
ur5e,cr_ik,trac_task_20ms,deadline_completion,80,-0.020833333333333336,"[-0.06666666666666667,0.025]",0.976958525345622,"[0.930230019295217,1.02803738317757]"
ur5e,cr_ik,trac_task_20ms,total_latency_ns,80,1358619905.108333,"[1203853069.3591669,1471245135.306771]",7.406871392487336,"[4.239981318230493,16.333170871098385]"
ur5e,cr_ik,trac_task_20ms,frame_success,80,0.0017500000000000016,"[-0.01373645833333333,0.01862604166666668]",1.0017981504737983,"[0.9860392505512383,1.0194627977651407]"
ur5e,cr_ik,trac_task_5ms,completion,80,0.041666666666666664,"[-0.004166666666666666,0.09166666666666667]",1.0478468899521534,"[0.9957076920230872,1.1139896373056994]"
ur5e,cr_ik,trac_task_5ms,deadline_completion,80,0.04583333333333333,"[-0.004166666666666671,0.10416666666666667]",1.0547263681592038,"[0.9949475524475525,1.1322845804988664]"
ur5e,cr_ik,trac_task_5ms,total_latency_ns,80,1449400302.875,"[1401161919.6830208,1486241845.8037498]",12.951225937589474,"[9.09587903113482,19.050241120934864]"
ur5e,cr_ik,trac_task_5ms,frame_success,80,0.021500000000000002,"[0.0005131944444444472,0.049055902777777785]",1.0225491624180627,"[1.0005287934579152,1.0529390708057949]"
ur5e,cr_ik,two_step_predictive,completion,80,0.058333333333333334,"[0.004166666666666666,0.11666666666666665]",1.0682926829268293,"[1.0046511627906975,1.143663496041465]"
ur5e,cr_ik,two_step_predictive,deadline_completion,80,0.058333333333333334,"[-0.0041666666666666675,0.12083333333333335]",1.0707070707070705,"[0.9952380952380953,1.156756756756757]"
ur5e,cr_ik,two_step_predictive,total_latency_ns,80,468911870.3041666,"[442226382.6246875,491578124.7312499]",1.4256007313675043,"[1.3913764335254064,1.4561607442097038]"
ur5e,cr_ik,two_step_predictive,frame_success,80,0.033625,"[0.006538888888888887,0.06606979166666667]",1.0357200820337282,"[1.0068370448785582,1.072470429873024]"
ur5e,cr_ik,two_step_sigma,completion,80,0.1625,"[0.08333333333333333,0.24583333333333335]",1.2166666666666666,"[1.0995018363678988,1.3734177215189876]"
ur5e,cr_ik,two_step_sigma,deadline_completion,80,0.16666666666666666,"[0.08333333333333334,0.25]",1.2325581395348837,"[1.1063689069008218,1.395973154362416]"
ur5e,cr_ik,two_step_sigma,total_latency_ns,80,-79237014.89166667,"[-95771718.30927083,-65035133.67302084]",0.9519750521005729,"[0.9426034930863749,0.96027178616484]"
ur5e,cr_ik,two_step_sigma,frame_success,80,0.092,"[0.05084652777777778,0.13961562500000002]",1.1041935382389025,"[1.0550147484243804,1.1665687791635488]"
