robot,method,uid,family,search_repeats,completion,deadline_completion,total_latency_ns,frame_success,successful_prefix
panda,cr_ik,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,3,0.0,0.0,1756651021.0,0.7322222222222222,109.66666666666667
panda,cr_ik,0947026b3677880f22d0f6f4f7dd7fb9b0dee71bde71d85a87c811f8ee530ce6,near_singular,3,1.0,1.0,1688775252.3333333,1.0,300.0
panda,cr_ik,0a5779597ea40a6c0c2d6bfa5e18333d9546d8140f0a9f2fb0e863954e5c8006,smooth,3,1.0,1.0,1725467839.3333333,1.0,300.0
panda,cr_ik,0acf6b3b34916e17c91dc15c1b3ae3376c97fba839f05ad672662e234c5213e9,near_singular,3,1.0,1.0,1682850792.0,1.0,300.0
panda,cr_ik,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,high_curvature,3,1.0,1.0,1714388785.0,1.0,300.0
panda,cr_ik,140dabfd29d6d5c2fbd3588d5fff9808e34e13c505070d185fa8d5eea0cd8289,high_curvature,3,1.0,1.0,1676770121.6666667,1.0,300.0
panda,cr_ik,1dbf7fd1392f9c76bac68d43d8f91b06649a92d6e9150a42f2a07fbdbdba9fba,high_curvature,3,1.0,1.0,1723562147.3333333,1.0,300.0
panda,cr_ik,21352bbb304315d0ccdccfcd7255175605e8f0250aee148834e1a55b01ce3135,smooth,3,1.0,1.0,1710907034.6666667,1.0,300.0
panda,cr_ik,21feb300555127533b2bf2a8a5e73cbd52c673cc58f9af3f6d0e19bdfe2f91d3,smooth,3,1.0,1.0,1814755931.6666667,1.0,300.0
panda,cr_ik,24c355c532cc7b4fe8ef2ed4e6ab75fcb40c9f4a5b26576f1f6c8fb1f47927b2,smooth,3,1.0,1.0,1799335299.3333333,1.0,300.0
panda,cr_ik,24fecc1811b319e44e0d5617288d7c075d3dbdac3e0e105398bce4e31b6e798f,smooth,3,1.0,1.0,1725223762.0,1.0,300.0
