robot,method,abruptness_level,trajectories,mean_completed,tsr,dtsr20,mean_cumulative_ms
panda,trac_task_5ms,0,5,4.0,0.8,0.8,254.80254233333335
panda,trac_task_5ms,1,5,5.0,1.0,1.0,51.85493373333333
panda,trac_task_5ms,2,5,5.0,1.0,1.0,51.72138593333334
panda,trac_task_5ms,3,5,4.0,0.8,0.7333333333333333,158.1337783333333
panda,trac_task_20ms,0,5,4.0,0.8,0.8,858.3410232000001
panda,trac_task_20ms,1,5,5.0,1.0,0.9333333333333333,55.66055113333333
panda,trac_task_20ms,2,5,5.0,1.0,1.0,52.2477032
panda,trac_task_20ms,3,5,4.333333333333334,0.8666666666666667,0.8666666666666667,430.72358193333326
panda,pink_qp,0,5,4.0,0.8,0.8,276.60314420000003
panda,pink_qp,1,5,4.0,0.8,0.8,273.6697292
panda,pink_qp,2,5,5.0,1.0,1.0,272.7414544
panda,pink_qp,3,5,4.0,0.8,0.8,287.47034
panda,ranged_ik_upstream,0,5,0.0,0.0,0.0,102.2800524
panda,ranged_ik_upstream,1,5,0.0,0.0,0.0,100.2965382
panda,ranged_ik_upstream,2,5,0.0,0.0,0.0,104.46884679999998
panda,ranged_ik_upstream,3,5,0.0,0.0,0.0,107.49631040000001
panda,ranged_ik_positive_range,0,5,0.0,0.0,0.0,87.7346086
panda,ranged_ik_positive_range,1,5,0.0,0.0,0.0,98.8063636
panda,ranged_ik_positive_range,2,5,0.0,0.0,0.0,90.981587
panda,ranged_ik_positive_range,3,5,0.0,0.0,0.0,90.4753848
panda,two_step_predictive,0,5,4.0,0.8,0.8,1232.5040925333333
panda,two_step_predictive,1,5,5.0,1.0,0.8666666666666667,1131.2744319999997
panda,two_step_predictive,2,5,4.0,0.8,0.8,1182.7896411333336
panda,two_step_predictive,3,5,5.0,1.0,1.0,1124.4398291333332
panda,cr_ik,0,5,4.0,0.8,0.8,1745.0091980666668
panda,cr_ik,1,5,5.0,1.0,0.9333333333333333,1714.632731666667
panda,cr_ik,2,5,5.0,1.0,1.0,1699.8017360666665
panda,cr_ik,3,5,5.0,1.0,1.0,1698.8008838
panda,single_step_reserve,0,5,4.0,0.8,0.8,1276.3814344666666
panda,single_step_reserve,1,5,3.0,0.6,0.6,1380.0873874
panda,single_step_reserve,2,5,1.3333333333333333,0.26666666666666666,0.26666666666666666,1434.1492941333333
panda,single_step_reserve,3,5,3.0,0.6,0.6,1275.2924139999998
panda,two_step_sigma,0,5,5.0,1.0,1.0,1789.2372153333338
panda,two_step_sigma,1,5,5.0,1.0,1.0,1800.1540577333333
panda,two_step_sigma,2,5,5.0,1.0,0.9333333333333333,1804.7942627999998
panda,two_step_sigma,3,5,5.0,1.0,1.0,1793.578815866667
ur5e,trac_task_5ms,0,5,5.0,1.0,0.9333333333333333,51.06401853333333
ur5e,trac_task_5ms,1,5,3.0,0.6,0.6,275.5424442000001
ur5e,trac_task_5ms,2,5,4.0,0.8,0.8,65.50066033333333
ur5e,trac_task_5ms,3,5,5.0,1.0,1.0,48.21235306666666
ur5e,trac_task_20ms,0,5,5.0,1.0,0.9333333333333333,51.569676799999996
ur5e,trac_task_20ms,1,5,3.0,0.6,0.6,902.2986288
ur5e,trac_task_20ms,2,5,4.0,0.8,0.7333333333333333,123.56966133333336
ur5e,trac_task_20ms,3,5,5.0,1.0,1.0,47.8912152
ur5e,pink_qp,0,5,2.0,0.4,0.4,208.433872
ur5e,pink_qp,1,5,3.0,0.6,0.6,197.86120060000002
ur5e,pink_qp,2,5,3.0,0.6,0.6,198.48799319999998
ur5e,pink_qp,3,5,3.0,0.6,0.6,197.34575179999996
