robot,uid,family,method,repeat,first_failure_frame,successful_prefix,internal_ok,native_status,native_return_code,reasons,position_error_m,orientation_error_rad,velocity_utilization,previous_q,returned_q,target_position,target_rotation,total_latency_ns,interpretation
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,cr_ik,0,109,109,False,"[{""update"":0,""stage"":""primary"",""status"":""PrimalInfeasible"",""iterations"":10,""native_seconds"":0.00019493,""primal_residual"":0.04121925532374478,""dual_residual"":5.277762044921487e-13}]",-3,"[""position_tolerance"",""orientation_tolerance""]",0.010529790681926993,0.016616007283964472,0.0,"[-1.3508819441263211,-1.7530117212884682,-2.198183197546725,-0.2997019932298849,0.0818465713330603,2.349906513354419,0.5902181775508228]","[-1.3508819441263211,-1.7530117212884682,-2.198183197546725,-0.2997019932298849,0.0818465713330603,2.349906513354419,0.5902181775508228]","[-0.3139719286773705,0.7478636782901875,0.07503899555153383]","[[0.46971611444445005,0.36045188340186096,-0.8058791544538546],[0.7842015832242433,-0.5896092198814248,0.19336195256411598],[-0.40545609959624257,-0.7227969338499362,-0.5596158894432259]]",6466668,not found in this method-specific state; not proof of infeasibility
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,ranged_ik_positive_range,0,6,6,True,PANOC_converged,0,"[""position_tolerance""]",0.001369216995780836,0.005294127522851551,0.002889617137022226,"[-2.0829380494288308,-0.8217338363268585,-1.538539151879937,-0.15878492851027853,0.7241903670210713,1.845110013441353,1.3966649055989926]","[-2.0830077158742575,-0.8217570422326391,-1.5386651391871111,-0.15879598753156618,0.7240694273521753,1.8451326531427588,1.3966497204939083]","[0.152511621595417,0.5520389963053268,0.9264128486814028]","[[-0.29706130993110813,-0.5123578490692733,-0.8057567949692523],[0.8121641094200323,-0.5793390544504852,0.06896172386464453],[-0.5021394602219386,-0.6339208897690038,0.5882178746030204]]",261096,not found in this method-specific state; not proof of infeasibility
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,ranged_ik_upstream,0,0,0,True,PANOC_converged,0,"[""position_tolerance""]",0.0011556838242549983,0.0021848378485721867,0.34191971636596735,"[-2.0845941056509845,-0.818403202165622,-1.537543146050671,-0.15693572981442988,0.7248510709224558,1.8449573156121561,1.396875515495603]","[-2.0948909070055435,-0.817786477128301,-1.5340533351874082,-0.17184342944798606,0.728151745069824,1.849675569612168,1.3934924854255362]","[0.15388857098432218,0.548416632028907,0.9290003594352809]","[[-0.30095321834519567,-0.5112260487481225,-0.805031109615679],[0.812816548859269,-0.5790119309732183,0.0638313535119888],[-0.4987548679142654,-0.6351323569714011,0.5897884967170656]]",458989,not found in this method-specific state; not proof of infeasibility
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,single_step_reserve,0,107,107,False,"[{""update"":0,""stage"":""primary"",""status"":""PrimalInfeasible"",""iterations"":14,""native_seconds"":0.000141122,""primal_residual"":0.0008272219738778225,""dual_residual"":4.592671092733501e-16}]",-3,"[""position_tolerance"",""orientation_tolerance""]",0.011058699577667613,0.016772140179878235,0.0,"[-1.391229809055803,-1.754673936831726,-2.0165117546269906,-0.31896971350243747,-0.10446384947230777,2.345398828552359,0.6391391484934824]","[-1.391229809055803,-1.754673936831726,-2.0165117546269906,-0.31896971350243747,-0.10446384947230777,2.345398828552359,0.6391391484934824]","[-0.3075182807753565,0.7566215776037934,0.09308957098111964]","[[0.4739743151774609,0.3259587849228209,-0.8179848526003985],[0.7720568372879887,-0.600534292396913,0.2080548092503687],[-0.42341066182717385,-0.7301434339819657,-0.5362965385531566]]",6097388,not found in this method-specific state; not proof of infeasibility
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,trac_task_20ms,0,110,110,False,,-3,"[""position_tolerance"",""orientation_tolerance""]",0.010216566843315102,0.013310717728998608,0.0,"[-1.3288580725878711,-1.7627999999999997,-2.255755301538184,-0.27846912199787316,0.13165611965027815,2.3442112466738396,0.5770023648549225]","[-1.3288580725878711,-1.7627999999999997,-2.255755301538184,-0.27846912199787316,0.13165611965027815,2.3442112466738396,0.5770023648549225]","[-0.3169811264092365,0.7434517318939163,0.06630997980783468]","[[0.46705924847058655,0.377199127397106,-0.7997352541366126],[0.790232764745487,-0.5838555847656399,0.18613122698965917],[-0.3967213580597777,-0.7189113119355086,-0.5707702599385949]]",20252786,not found in this method-specific state; not proof of infeasibility
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,trac_task_5ms,0,110,110,False,,-3,"[""position_tolerance"",""orientation_tolerance""]",0.010286616931470816,0.016275650637167016,0.0,"[-1.332852566725477,-1.7626262036642018,-2.245750714582566,-0.2833723613714407,0.12174544266341744,2.3452944353403145,0.57991880019725]","[-1.332852566725477,-1.7626262036642018,-2.245750714582566,-0.2833723613714407,0.12174544266341744,2.3452944353403145,0.57991880019725]","[-0.3169811264092365,0.7434517318939163,0.06630997980783468]","[[0.46705924847058655,0.377199127397106,-0.7997352541366126],[0.790232764745487,-0.5838555847656399,0.18613122698965917],[-0.3967213580597777,-0.7189113119355086,-0.5707702599385949]]",5244926,not found in this method-specific state; not proof of infeasibility
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,two_step_predictive,0,109,109,False,"[{""update"":0,""stage"":""secondary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.000127257,""primal_residual"":0.17425994340518966,""dual_residual"":1.5419773715347592e-16}]",-3,"[""position_tolerance"",""orientation_tolerance""]",0.011036191444128042,0.018510837819290724,0.0,"[-1.3352527209285239,-1.7627999999999997,-2.1989848352010486,-0.26717818001643884,0.08482623051831249,2.3407138271242705,0.5924259784734669]","[-1.3352527209285239,-1.7627999999999997,-2.1989848352010486,-0.26717818001643884,0.08482623051831249,2.3407138271242705,0.5924259784734669]","[-0.3139719286773705,0.7478636782901875,0.07503899555153383]","[[0.46971611444445005,0.36045188340186096,-0.8058791544538546],[0.7842015832242433,-0.5896092198814248,0.19336195256411598],[-0.40545609959624257,-0.7227969338499362,-0.5596158894432259]]",6298586,not found in this method-specific state; not proof of infeasibility
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,two_step_sigma,0,108,108,False,"[{""update"":0,""stage"":""primary"",""status"":""PrimalInfeasible"",""iterations"":7,""native_seconds"":0.000155723,""primal_residual"":0.2944646782801118,""dual_residual"":2.560113380717746e-12}]",-3,"[""position_tolerance"",""orientation_tolerance""]",0.010650272971782601,0.018845108222672702,0.0,"[-1.3588786694124608,-1.7627084918706841,-2.094293718884052,-0.28150150843628985,-0.021341769887637804,2.336888052567744,0.616313822433512]","[-1.3588786694124608,-1.7627084918706841,-2.094293718884052,-0.28150150843628985,-0.021341769887637804,2.336888052567744,0.616313822433512]","[-0.310818299413694,0.7522566814894198,0.08396665150079738]","[[0.4720275932463657,0.3433660051981694,-0.8119665865590125],[0.7781379476002496,-0.5951734576503024,0.2006735902231661],[-0.41435647179513807,-0.7265454850061588,-0.5481244133393902]]",6703921,not found in this method-specific state; not proof of infeasibility
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,cr_ik,1,110,110,False,"[{""update"":0,""stage"":""primary"",""status"":""PrimalInfeasible"",""iterations"":10,""native_seconds"":0.000201673,""primal_residual"":0.043489918142432575,""dual_residual"":8.925273500005916e-14}]",-3,"[""position_tolerance"",""orientation_tolerance""]",0.010421506322665287,0.015024880170320942,0.0,"[-1.3420834094004936,-1.7627999999999997,-2.2130414061359502,-0.2963991930270554,0.082930438000513,2.3509947715252983,0.5841372272308187]","[-1.3420834094004936,-1.7627999999999997,-2.2130414061359502,-0.2963991930270554,0.082930438000513,2.3509947715252983,0.5841372272308187]","[-0.3169811264092365,0.7434517318939163,0.06630997980783468]","[[0.46705924847058655,0.377199127397106,-0.7997352541366126],[0.790232764745487,-0.5838555847656399,0.18613122698965917],[-0.3967213580597777,-0.7189113119355086,-0.5707702599385949]]",6542171,not found in this method-specific state; not proof of infeasibility
panda,06aebb8df22d3ad4e9c1848a0460c93838cc094c6b0ae854e4e08d4342c4956b,near_singular,single_step_reserve,1,107,107,False,"[{""update"":0,""stage"":""primary"",""status"":""PrimalInfeasible"",""iterations"":14,""native_seconds"":0.000140069,""primal_residual"":0.0002736112796044593,""dual_residual"":1.1114062600001342e-15}]",-3,"[""position_tolerance"",""orientation_tolerance""]",0.010942013465415361,0.01748299964653711,0.0,"[-1.3909051921828488,-1.7536602045582574,-2.0225919573069335,-0.3194041474120003,-0.09622998966885905,2.345723569082584,0.6371353757140193]","[-1.3909051921828488,-1.7536602045582574,-2.0225919573069335,-0.3194041474120003,-0.09622998966885905,2.345723569082584,0.6371353757140193]","[-0.3075182807753565,0.7566215776037934,0.09308957098111964]","[[0.4739743151774609,0.3259587849228209,-0.8179848526003985],[0.7720568372879887,-0.600534292396913,0.2080548092503687],[-0.42341066182717385,-0.7301434339819657,-0.5362965385531566]]",6079483,not found in this method-specific state; not proof of infeasibility
