robot,method,current_scope,demand_status,available_trajectories,descriptive_frames,next_successes,pooled_next_success,mean_trajectory_next_success,mean_trajectory_next_timely
panda,cr_ik_minimal,accepted_current,met,36,9776,9776,1.0,1.0,1.0
panda,cr_ik_minimal,accepted_current,unmet,39,7757,7749,0.9989686734562331,0.9988787146179618,0.9988787146179618
panda,cr_ik_minimal,all_current,met,36,9776,9776,1.0,1.0,1.0
panda,cr_ik_minimal,all_current,unmet,39,8104,7749,0.9561944718657454,0.9735297540303793,0.9735297540303793
panda,cr_ik_minimal_fixed,accepted_current,met,11,1192,1192,1.0,1.0,0.9997966239576977
panda,cr_ik_minimal_fixed,accepted_current,unmet,40,16325,16316,0.9994486983154671,0.9992618728934293,0.9991500160701632
panda,cr_ik_minimal_fixed,all_current,met,11,1192,1192,1.0,1.0,0.9997966239576977
panda,cr_ik_minimal_fixed,all_current,unmet,40,16688,16317,0.977768456375839,0.9792505592841163,0.97913870246085
panda,cr_ik_minimal_no_shortcut,accepted_current,met,36,9738,9738,1.0,1.0,0.9998497544976325
panda,cr_ik_minimal_no_shortcut,accepted_current,unmet,38,7945,7938,0.9991189427312775,0.9993226925387508,0.9993226925387508
panda,cr_ik_minimal_no_shortcut,all_current,met,36,9738,9738,1.0,1.0,0.9998497544976325
panda,cr_ik_minimal_no_shortcut,all_current,unmet,38,8142,7939,0.9750675509702775,0.9857439647193115,0.9857439647193115
ur5e,cr_ik_minimal,accepted_current,met,38,9922,9922,1.0,1.0,0.999878552854302
ur5e,cr_ik_minimal,accepted_current,unmet,39,7532,7526,0.9992033988316517,0.9983477096380323,0.9980419887032641
ur5e,cr_ik_minimal,all_current,met,38,9922,9922,1.0,1.0,0.999878552854302
ur5e,cr_ik_minimal,all_current,unmet,39,7958,7526,0.9457150037697915,0.9679897123757047,0.9676839914409368
ur5e,cr_ik_minimal_fixed,accepted_current,met,15,2294,2294,1.0,1.0,1.0
ur5e,cr_ik_minimal_fixed,accepted_current,unmet,40,15277,15271,0.9996072527328664,0.9992060592850915,0.9992060592850915
ur5e,cr_ik_minimal_fixed,all_current,met,15,2294,2294,1.0,1.0,1.0
ur5e,cr_ik_minimal_fixed,all_current,unmet,40,15586,15272,0.9798537148723213,0.9824384787472035,0.9824384787472035
ur5e,cr_ik_minimal_no_shortcut,accepted_current,met,38,9935,9935,1.0,1.0,1.0
ur5e,cr_ik_minimal_no_shortcut,accepted_current,unmet,39,7778,7774,0.999485728979172,0.999031860783013,0.9985951176484722
ur5e,cr_ik_minimal_no_shortcut,all_current,met,38,9935,9935,1.0,1.0,1.0
ur5e,cr_ik_minimal_no_shortcut,all_current,unmet,39,7945,7775,0.9786028949024543,0.9855055495677183,0.9851778591738093
