robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations
panda,cr_ik,CR-IK,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[9,10,10]",0.9666666666666666,1.0,0.9997777777777778,5.884764,7.879232850000001,8.681106920000003,9201.875192,920.1875192,925.0401888333333,931.8177904333334,0.00911111111111111,0.9908888888888889,0.0009999893329709333,0.000999997894645795,0.008726558970167178,0.008726623675143574,0.9999999987104168,9.403285588505048,0.18806571177010098,150.0,0
panda,cr_ik,CR-IK,joint_limit_return,10,3,"[9,10,10]",9.666666666666666,0.9666666666666666,"[8,9,10]",0.9,0.9995555555555555,0.9991111111111111,5.754036,7.8158731,8.485621430000002,9064.616875333333,906.4616875333334,909.8282103333333,942.9142379833334,0.014444444444444446,0.9855555555555555,0.0006027070088311515,0.0009999945578419488,0.005162893372871294,0.008726569953950977,0.9591366685229507,3.0920652300917566,0.06184130460183512,147.36666666666667,0
panda,cr_ik,CR-IK,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,8,8]",0.8,0.9435555555555555,0.9435555555555555,5.6428565,7.65293,9.115427380000002,8870.162226,887.0162226,891.1721276666667,909.98821645,0.14800000000000002,0.8519999999999999,0.00027829200906155557,0.0009511620443498874,0.001492181953444127,0.0066297822092655735,0.9999999999999968,7.917544118611016,0.1583508823722203,141.5,0
panda,cr_ik,CR-IK,smooth,10,3,"[10,10,10]",10.0,1.0,"[9,9,10]",0.9333333333333333,1.0,0.9995555555555555,5.7190095,7.76764935,8.257665930000002,8983.817012000001,898.3817012000002,898.1095495,922.1243583666667,0.0013333333333333333,0.9986666666666666,0.0006969711616828846,0.000999990134751802,0.0018478414122253903,0.008726565811201568,0.42720600637398043,0.9121792900355594,0.018243585800711185,150.0,0
panda,cr_ik_minimal,Minimal CR-IK,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.8867905,1.7128702500000135,3.0798769000000004,1456.3998836666667,145.63998836666667,138.93122366666665,173.9271473,0.9806666666666667,0.01933333333333333,0.0005057969777627012,0.0008897399283163499,0.0006726772020719397,0.007286794677242609,0.9014055398288966,7.191510287053082,0.14383020574106162,150.0,0
panda,cr_ik_minimal,Minimal CR-IK,joint_limit_return,10,3,"[9,9,10]",9.333333333333334,0.9333333333333333,"[9,9,10]",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.596039,3.1207607000000004,6.212067920000006,1507.5340203333335,150.75340203333334,116.52962083333333,308.96209174999973,0.9495555555555557,0.04466666666666667,0.00020166807341480628,0.0009035187440155944,0.0023340841013997243,0.008138243721487174,0.9452340335181044,2.4229818978516624,0.04845963795703326,145.0,0
panda,cr_ik_minimal,Minimal CR-IK,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,8,8]",0.8,0.9544444444444444,0.9544444444444444,0.8339305,4.3202246000000075,6.154805,1817.3830706666665,181.73830706666666,132.36069750000001,336.57816785,0.9688888888888889,0.030444444444444444,0.000644183831579004,0.0009999887141826742,0.004416105205882707,0.008726558962652096,0.9999999999999993,8.123858396517948,0.16247716793035896,143.16666666666666,0
panda,cr_ik_minimal,Minimal CR-IK,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.5780425,1.2112257000000013,3.1499193400000025,1088.0685153333334,108.80685153333334,108.212831,135.26253463333333,0.9813333333333334,0.018666666666666668,0.00014062345407219026,0.0009998652324615216,0.0001833139398385031,0.006885436215165276,0.7346128612508229,2.0962442351145563,0.04192488470229113,150.0,0
panda,cr_ik_minimal_fixed,Minimal CR-IK: fixed demand,high_curvature,10,3,"[10,10,9]",9.666666666666666,0.9666666666666666,"[9,10,9]",0.9333333333333333,0.98,0.9797777777777777,0.839244,1.4784669500000003,6.09085634,1585.0455756666665,158.50455756666665,139.6795745,250.37217193333316,0.9946666666666667,0.005333333333333333,0.0005004403460559842,0.0009548665273124572,0.0006195843458089658,0.00872655204907827,0.938798515562965,7.139333713904869,0.1427866742780974,147.0,0
panda,cr_ik_minimal_fixed,Minimal CR-IK: fixed demand,joint_limit_return,10,3,"[9,10,10]",9.666666666666666,0.9666666666666666,"[9,10,10]",0.9666666666666666,0.9833333333333333,0.9833333333333333,0.82715,1.2969144000000001,6.106517650000001,1493.427911,149.3427911,134.127299,237.01825333333318,0.9966666666666666,0.0033333333333333335,0.00019853938275080234,0.0009291155380271717,0.002699667870721506,0.008135919976234937,0.9999999999999968,2.8836354115296357,0.05767270823059269,147.5,0
panda,cr_ik_minimal_fixed,Minimal CR-IK: fixed demand,near_singular,10,3,"[8,8,7]",7.666666666666667,0.7666666666666667,"[8,8,7]",0.7666666666666667,0.9542222222222222,0.9542222222222222,0.8634695,4.259264150000006,6.12662098,1744.4889973333336,174.44889973333335,138.23563366666667,313.1900403166667,0.9993333333333333,0.0006666666666666666,0.0006296172755455214,0.0009834408626832067,0.004416105205882707,0.007829350603335885,0.9999999999999968,8.249524552317515,0.16499049104635033,141.8,0
panda,cr_ik_minimal_fixed,Minimal CR-IK: fixed demand,smooth,10,3,"[10,10,10]",10.0,1.0,"[9,10,9]",0.9333333333333333,1.0,0.9995555555555555,0.82607,1.4010649000000002,3.12767427,1454.222204,145.4222204,135.40570350000002,196.28483875,0.9493333333333334,0.050666666666666665,0.00014210867194471995,0.0009999899984550343,0.0012867636222931272,0.007046322557995693,0.4231507885988449,2.1622735210904294,0.043245470421808596,150.0,0
panda,cr_ik_minimal_no_shortcut,Minimal CR-IK: no shortcut,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.836183,1.292085,2.9164924400000007,1413.3293936666664,141.33293936666664,135.61648266666668,165.9579068333333,0.9891111111111112,0.010888888888888889,0.0005057933160125724,0.0009972406076694494,0.0006488231199266118,0.008390843214330725,0.9014055398288966,7.162963391746882,0.14325926783493767,150.0,0
panda,cr_ik_minimal_no_shortcut,Minimal CR-IK: no shortcut,joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[9,10,9]",0.9333333333333333,1.0,0.9995555555555555,0.8821015,2.534940550000001,3.470184830000004,1751.6302713333332,175.16302713333332,167.6124825,247.22296008333325,0.9526666666666668,0.04644444444444445,0.0002035135929787882,0.0009494425944976847,0.002523324421355094,0.007811669199367416,0.9999999999999968,2.978974921741902,0.05957949843483803,150.0,0
panda,cr_ik_minimal_no_shortcut,Minimal CR-IK: no shortcut,near_singular,10,3,"[8,7,8]",7.666666666666667,0.7666666666666667,"[8,7,8]",0.7666666666666667,0.9548888888888889,0.9548888888888889,0.8395365,4.1606025500000055,6.207998870000003,1907.9070236666666,190.79070236666666,149.80773549999998,331.94895535,0.9924444444444444,0.007555555555555555,0.0006559566648542963,0.0009999887180652703,0.0048556427238143456,0.008726558934460853,0.9999999999999968,8.540552400601232,0.17081104801202462,141.26666666666668,0
panda,cr_ik_minimal_no_shortcut,Minimal CR-IK: no shortcut,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.843541,1.4621727000000007,3.0673097000000005,1542.7696366666667,154.27696366666666,156.7439665,181.21421149999998,0.9755555555555555,0.024444444444444446,0.0001435016175775089,0.0009412661896082066,0.0001904727672467844,0.0065631586319567095,0.6008339084571285,2.3765353186578477,0.04753070637315695,150.0,0
panda,pink_qp,Pink QP-IK,high_curvature,10,1,[9],9.0,0.9,[9],0.9,0.97,0.97,1.014798,1.0581405,1.43583635,1378.773724,137.87737239999998,143.1735185,149.64364335,0.0,0.0,0.0003328524460961774,0.0009538083780688717,0.0006874485180725519,0.008304875900969308,0.9999999999999997,7.4306153981199214,0.14861230796239844,145.5,0
panda,pink_qp,Pink QP-IK,joint_limit_return,10,1,[10],10.0,1.0,[10],1.0,1.0,1.0,1.017131,1.0843379499999999,1.4241905400000001,1433.4437060000002,143.34437060000002,151.508204,154.4863707,0.0,0.0,0.00011439073177068541,0.00021513749647973678,0.00020334923127108987,0.0005076675385390474,0.5735095764782464,1.3886328104816577,0.027772656209633158,150.0,0
panda,pink_qp,Pink QP-IK,near_singular,10,1,[8],8.0,0.8,[8],0.8,0.9626666666666667,0.9626666666666667,1.018455,1.0895313500000001,1.50159026,1429.520698,142.9520698,143.217289,159.02424374999998,0.0,0.0,6.47791144390982e-05,0.0009854507257299875,0.0001369482328481693,0.007358452784580322,0.9999999999999981,7.239683370352795,0.1447936674070559,144.4,0
panda,pink_qp,Pink QP-IK,smooth,10,1,[10],10.0,1.0,[10],1.0,1.0,1.0,1.019639,1.0799835999999998,1.30021681,1419.006493,141.9006493,141.2246935,157.0723377,0.0,0.0,8.874257521999117e-05,0.0001981718022720297,0.00019031372733852573,0.0003579234867976215,0.4952489805131127,0.7588633948120177,0.01517726789624035,150.0,0
