robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,optimization_call_rate,mean_conic_calls,intervention_normalized_mean,intervention_normalized_p95,unchanged_given_legal_backup,accepted_near_tolerance_rate,direct_return_rate,direct_extra_p50_ms,direct_extra_p95_ms,demand_coverage,demand_met_rate,demand_p50,demand_p95,demand_max,true_next_error_p95
panda,cr_ik,CR-IK,all,40,3,"[37,38,38]",37.666666666666664,0.9416666666666667,"[34,36,38]",0.9,0.9857777777777778,0.9855,5.737915,7.77475545,8.55971535,36120.47130533333,903.0117826333333,902.150888,934.6697624666667,0.04322222222222223,0.9567777777777777,0.0009680285800147614,0.000999997894645795,0.007344874271199292,0.008726623675143574,0.9999999999999968,5.331268556810844,0.1066253711362169,147.21666666666667,0,1.0,5.924722222222222,0.1261717149436132,0.4912738426985718,0.029421711193777476,0.07472948602344455,0.0,,,,,,,,
panda,cr_ik_minimal,Minimal CR-IK,all,40,3,"[37,37,38]",37.333333333333336,0.9333333333333333,"[37,37,38]",0.9333333333333333,0.9802777777777778,0.9802777777777778,0.7953465,2.857107,6.11327646,5869.38549,146.73463725,125.96433483333334,326.9860110166666,0.970111111111111,0.02827777777777778,0.0004750473414123254,0.0009999887141826742,0.0019560824043957053,0.008726558962652096,0.9999999999999993,4.958648704134313,0.09917297408268624,147.04166666666666,0,0.4817222222222222,0.5253888888888889,0.0006532788051307996,0.0,0.9701145514347284,0.0015301785208274299,0.5182777777777777,0.353445,0.5168294000000001,0.8644295302013423,0.5475555555555556,0.4364016247976702,7.564417094317073,9.658438032755269,4.489630855799611
panda,cr_ik_minimal_fixed,Minimal CR-IK: fixed demand,all,40,3,"[37,38,36]",37.0,0.925,"[35,38,35]",0.9,0.979388888888889,0.9792222222222222,0.8369555,1.4028230499999992,6.10302755,6277.184688,156.9296172,136.03440816666668,308.6996093833333,0.985,0.015000000000000001,0.00047136825939109796,0.0009999899984550343,0.002306654195786714,0.00872655204907827,0.9999999999999968,5.108691799710613,0.10217383599421223,146.575,0,0.9473333333333334,0.9612222222222222,0.0005722287989151125,0.0,0.9856907614559083,0.001361393158999376,0.05255555555555556,0.344754,0.48063325,0.95,0.06655555555555556,4.489481000005857,4.489481000005857,4.489481000005857,4.489630855799611
panda,cr_ik_minimal_no_shortcut,Minimal CR-IK: no shortcut,all,40,3,"[38,37,38]",37.666666666666664,0.9416666666666667,"[37,37,37]",0.925,0.9887222222222222,0.988611111111111,0.8433635,1.9390841499999971,6.085545769999997,6615.636325333333,165.3909081333333,152.71200266666665,289.96014751666655,0.9774444444444444,0.022333333333333337,0.0004967048183413631,0.0009999887180652703,0.0023874835870308754,0.008726558934460853,0.9999999999999968,5.264756508186966,0.10529513016373931,147.81666666666666,0,0.9998888888888889,1.0314444444444444,0.0006572449091591498,0.0,0.9776815830897234,0.0019666235882452097,0.0,,,0.8644295302013423,0.5455,0.4364016247976702,7.564417094317073,9.658438032755269,4.489630855799611
panda,pink_qp,Pink QP-IK,all,40,1,[37],37.0,0.925,[37],0.925,0.9831666666666667,0.9831666666666667,1.017639,1.07844255,1.4697788500000002,5660.744621,141.518615525,143.821919,156.5754307,0.0,0.0,0.00019641446507472527,0.0009854507257299875,0.00039387074320355566,0.008304875900969308,0.9999999999999997,4.204448743441598,0.08408897486883196,147.475,0,,,,,,0.0005085607730123749,0.0,,,,,,,,
panda,trac_task_20ms,TRAC-IK task 20 ms,all,40,3,"[37,38,37]",37.333333333333336,0.9333333333333333,"[37,37,34]",0.9,0.9848888888888889,0.9846666666666667,0.171682,0.3030851999999999,20.26350112,3113.7059770000005,77.84264942500002,28.650103,604.9706457333332,0.0,0.0,0.00039885877572404916,0.0009906982963141394,0.000700007306890705,0.007711016230339493,0.9999999999999968,4.432510298615218,0.08865020597230436,147.11666666666667,0,,,,,,0.0008461191335740072,0.0,,,,,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,all,40,3,"[37,37,38]",37.333333333333336,0.9333333333333333,"[37,36,37]",0.9166666666666666,0.9798333333333334,0.9797222222222222,0.1707795,0.3032292,5.227703269999999,1810.2115733333335,45.25528933333334,28.408172166666667,190.60785243333325,0.0,0.0,0.0003963997315741668,0.0009949311302975968,0.0006786893447650637,0.008080818341407692,0.9999999999999968,4.270751061933875,0.08541502123867749,146.95833333333334,0,,,,,,0.0009638827464988377,0.0,,,,,,,,
panda,two_step_predictive,Two-step predictive,all,40,3,"[37,39,38]",38.0,0.95,"[37,39,36]",0.9333333333333333,0.9864444444444445,0.9863333333333333,3.8431425,5.41216515,6.6891069399999745,24339.61890733333,608.4904726833332,602.5937295,651.1734458666665,0.017500000000000005,0.9825,0.00019446905865489028,0.000974778491735841,0.001665494528061842,0.007601093430913027,0.9657655961562459,3.4729131935835853,0.06945826387167171,146.85,0,0.9998888888888889,2.9656666666666665,0.11405964842273966,0.5381744625581276,0.004005867749943579,5.6318990763685515e-05,0.0,,,,,,,,
ur5e,cr_ik,CR-IK,all,40,3,"[38,39,39]",38.666666666666664,0.9666666666666666,"[36,37,39]",0.9333333333333333,0.9780555555555555,0.9778333333333333,5.2278745,6.360521899999999,7.461900399999993,32033.099431000002,800.827485775,796.1229733333332,820.1283805333334,0.08261111111111112,0.9173888888888889,0.0002288099323112031,0.0009999900018641877,0.0035656401792743884,0.00872655899374243,0.9999999999999993,8.570938094435997,0.17141876188871993,146.43333333333334,0,0.998,5.864388888888889,0.1473139001388756,0.6555650727637815,0.06203488041811055,0.016188582788980402,0.0,,,,,,,,
ur5e,cr_ik_minimal,Minimal CR-IK,all,40,3,"[38,38,38]",38.0,0.95,"[36,36,38]",0.9166666666666666,0.9759999999999999,0.9757777777777777,0.685518,2.197903649999999,6.02846422,5371.9879593333335,134.29969898333334,106.04981166666667,198.10330179999988,0.9777222222222223,0.018611111111111113,0.0005015371772003085,0.0009999899535572663,0.0019444030721994818,0.00872655898505801,1.0,11.149276333231775,0.22298552666463553,146.4,0,0.4632777777777778,0.4885555555555556,0.0007580198414065635,0.0,0.9771744080145719,0.0025045537340619307,0.5332777777777777,0.330755,0.4470478000000001,0.8694630872483221,0.5555555555555556,0.40142436001826015,5.879875189121928,7.53218668162431,3.998522931953837
