robot,method,baseline,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,cr_ik_minimal,trac_task_5ms,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,cr_ik_minimal,trac_task_5ms,deadline_completion,40,0.01666666666666667,"[0.0,0.04166666666666667]",1.0181818181818183,"[1.0,1.0476190476190474]"
panda,cr_ik_minimal,trac_task_5ms,total_latency_ns,40,101479347.91666667,"[92765939.283125,112131425.48125002]",3.2423754087441172,"[2.6087439301221744,4.267070490327201]"
panda,cr_ik_minimal,trac_task_5ms,frame_success,40,0.0004444444444444445,"[0.0,0.0012777777777777776]",1.0004535918807052,"[1.0,1.001335113484646]"
panda,cr_ik_minimal,trac_task_5ms,acceleration_rms,40,0.6878976422004373,"[0.36457449557229604,1.0044855316831136]",1.1610718190371283,"[1.0854130513391014,1.2465407269340716]"
panda,cr_ik_minimal,trac_task_5ms,accepted_near_tolerance_rate,40,0.000796313700918964,"[-0.00022222222222222226,0.0020000013053466997]",1.8431556833259621,"[0.8333333333333334,6.00330180921052]"
panda,cr_ik_minimal,trac_task_20ms,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,cr_ik_minimal,trac_task_20ms,deadline_completion,40,0.03333333333333334,"[0.008333333333333335,0.06666666666666668]",1.0370370370370372,"[1.008849557522124,1.0754716981132078]"
panda,cr_ik_minimal,trac_task_20ms,total_latency_ns,40,68891987.825,"[34782001.073750004,97954581.22145833]",1.885015969187639,"[1.2703790227211857,4.087056330468571]"
panda,cr_ik_minimal,trac_task_20ms,frame_success,40,-0.0046111111111111075,"[-0.013055555555555553,0.0]",0.9953181407942236,"[0.9866211215485339,1.0]"
panda,cr_ik_minimal,trac_task_20ms,acceleration_rms,40,0.526138405519094,"[0.2945330137011954,0.7553857074436612]",1.11869987209809,"[1.0626816510178463,1.1850701119186804]"
