robot,method,phase,frames,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
panda,cr_ik,backup_ns,18000,0.33920860888888893,0.230042,0.3909942999999998,5.242741570000001,5.369327
panda,cr_ik,optimization_ns,18000,5.427144994944445,5.248931,7.0973146,7.723124149999997,50.342959
panda,cr_ik,prediction_ns,18000,0.14053172649999998,0.1311265,0.19587115,0.21721468999999974,0.746811
panda,cr_ik,total_latency_ns,18000,6.020078550888888,5.737915,7.77475545,8.55971535,50.806842
panda,cr_ik_minimal,backup_ns,18000,0.35663579744444446,0.227529,0.37210289999999996,5.26622621,6.387486
panda,cr_ik_minimal,cone_construction_ns,18000,0.1175213655,0.0,0.40451705,0.4600461199999962,1.264066
panda,cr_ik_minimal,cone_solve_ns,18000,0.04203903105555556,0.0,0.17165804999999998,0.2734466399999994,0.461145
panda,cr_ik_minimal,demand_estimation_ns,18000,0.04063706483333333,0.039329,0.0552871,0.06359111999999999,0.237766
panda,cr_ik_minimal,initial_pair_ns,18000,0.31757300972222224,0.3068825,0.44642079999999995,0.49027162999999957,1.235139
panda,cr_ik_minimal,nonlinear_validation_ns,18000,0.08283104922222223,0.00013,0.44285245,1.8244538499999996,2.972304
panda,cr_ik_minimal,optimization_ns,18000,0.2423914457777778,0.000193,0.7879831499999996,2.4863291399999987,3.990914
panda,cr_ik_minimal,total_latency_ns,18000,0.978230915,0.7953465,2.857107,6.11327646,8.211111
panda,cr_ik_minimal_fixed,backup_ns,18000,0.38037429172222226,0.2317865,0.3774613,5.2636525,48.926892
panda,cr_ik_minimal_fixed,cone_construction_ns,18000,0.2093824025,0.2018,0.3060265499999999,0.43851837999999976,1.388307
panda,cr_ik_minimal_fixed,cone_solve_ns,18000,0.04567857361111111,0.0157655,0.12984454999999995,0.24627881999999987,0.41492
panda,cr_ik_minimal_fixed,demand_estimation_ns,18000,0.03420067777777778,0.032516,0.0460571,0.05159321999999997,0.179298
panda,cr_ik_minimal_fixed,initial_pair_ns,18000,0.3213136298888889,0.3102235,0.4465114,0.48684894999999984,1.499755
panda,cr_ik_minimal_fixed,nonlinear_validation_ns,18000,0.02981159833333333,0.000118,0.000192,1.5118123999999953,3.244175
panda,cr_ik_minimal_fixed,optimization_ns,18000,0.2848725744444444,0.221878,0.5004855499999997,2.204581389999987,4.131935
panda,cr_ik_minimal_fixed,total_latency_ns,18000,1.046197448,0.8369555,1.4028230499999992,6.10302755,49.355483
panda,cr_ik_minimal_no_shortcut,backup_ns,18000,0.32546254194444446,0.2312195,0.35357235,5.24906853,55.706822
panda,cr_ik_minimal_no_shortcut,cone_construction_ns,18000,0.2198810076111111,0.201657,0.31698079999999995,0.4479086299999996,1.290004
panda,cr_ik_minimal_no_shortcut,cone_solve_ns,18000,0.050914144,0.0156985,0.1562670499999999,0.2689114199999999,0.474435
panda,cr_ik_minimal_no_shortcut,demand_estimation_ns,18000,0.04076018427777778,0.039846,0.0547681,0.061713419999999936,0.237382
panda,cr_ik_minimal_no_shortcut,initial_pair_ns,18000,0.32219362377777777,0.3116645,0.4445161499999999,0.48712081999999934,1.390059
panda,cr_ik_minimal_no_shortcut,nonlinear_validation_ns,18000,0.1164796415,0.000128,0.4444561999999999,1.8122243399999989,3.752424
panda,cr_ik_minimal_no_shortcut,optimization_ns,18000,0.38727479311111107,0.2215145,0.795765899999999,2.4750988899999986,4.550704
panda,cr_ik_minimal_no_shortcut,total_latency_ns,18000,1.1026060542222222,0.8433635,1.9390841499999971,6.085545769999997,56.203259
panda,pink_qp,total_latency_ns,6000,0.9434574368333334,1.017639,1.07844255,1.4697788500000002,2.437627
panda,trac_task_20ms,total_latency_ns,18000,0.5189509961666667,0.171682,0.3030851999999999,20.26350112,48.404766
panda,trac_task_5ms,total_latency_ns,18000,0.3017019288888889,0.1707795,0.3032292,5.227703269999999,49.021691
panda,two_step_predictive,backup_ns,18000,0.3718324372222222,0.2327355,0.40733994999999995,5.253742149999999,60.435265
panda,two_step_predictive,optimization_ns,18000,3.429723871833333,3.3632285,4.574719499999999,4.985330709999999,6.792916
panda,two_step_predictive,prediction_ns,18000,0.14043658344444443,0.1318955,0.1935299,0.21476926999999996,0.836921
panda,two_step_predictive,total_latency_ns,18000,4.056603151222222,3.8431425,5.41216515,6.6891069399999745,61.099218
ur5e,cr_ik,backup_ns,18000,0.3482732377777778,0.2144705,0.3611954499999999,5.235803529999999,5.810287
ur5e,cr_ik,optimization_ns,18000,4.759156542111111,4.775382,5.37930435,6.813301099999995,53.468747
ur5e,cr_ik,prediction_ns,18000,0.13051125677777778,0.124908,0.16720739999999998,0.20651758999999958,0.739779
ur5e,cr_ik,total_latency_ns,18000,5.338849905166667,5.2278745,6.360521899999999,7.461900399999993,53.936857
ur5e,cr_ik_minimal,backup_ns,18000,0.36190612561111113,0.213543,0.33780544999999995,5.246617349999999,47.235971
ur5e,cr_ik_minimal,cone_construction_ns,18000,0.10413823172222222,0.0,0.3377139499999999,0.40802903999999995,1.139181
ur5e,cr_ik_minimal,cone_solve_ns,18000,0.03707877911111111,0.0,0.1146946,0.22587144999999992,0.38916
ur5e,cr_ik_minimal,demand_estimation_ns,18000,0.038533958666666666,0.037844,0.052232349999999976,0.05923613999999998,0.208563
ur5e,cr_ik_minimal,initial_pair_ns,18000,0.2908443635,0.2859645,0.38394815,0.44983433999999933,1.140799
ur5e,cr_ik_minimal,nonlinear_validation_ns,18000,0.04362429633333333,0.000124,0.00022604999999999926,1.618464499999999,3.210888
ur5e,cr_ik_minimal,optimization_ns,18000,0.18484130716666666,0.000156,0.5116992499999999,2.2270827699999995,4.113348
ur5e,cr_ik_minimal,total_latency_ns,18000,0.8953313265555556,0.685518,2.197903649999999,6.02846422,47.656235
ur5e,cr_ik_minimal_fixed,backup_ns,18000,0.32477639261111113,0.2178335,0.3192423999999999,5.24443311,5.401683
ur5e,cr_ik_minimal_fixed,cone_construction_ns,18000,0.18070747533333334,0.1924135,0.28102559999999993,0.4054788599999999,0.916342
ur5e,cr_ik_minimal_fixed,cone_solve_ns,18000,0.039382315777777774,0.014293,0.10397705,0.2148866099999999,0.346337
ur5e,cr_ik_minimal_fixed,demand_estimation_ns,18000,0.03237151233333333,0.031473,0.042682,0.04888233999999995,0.144046
ur5e,cr_ik_minimal_fixed,initial_pair_ns,18000,0.2930491803333333,0.289886,0.3566830499999999,0.4452694199999999,1.132477
ur5e,cr_ik_minimal_fixed,nonlinear_validation_ns,18000,0.023002380166666666,0.000116,0.000172,1.2319087799999966,2.68692
ur5e,cr_ik_minimal_fixed,optimization_ns,18000,0.2430921712777778,0.2101325,0.3270479999999998,1.8536995199999824,3.610145
ur5e,cr_ik_minimal_fixed,total_latency_ns,18000,0.9164399415555555,0.7891705,1.1966815999999998,6.0177871099999996,7.693307
ur5e,cr_ik_minimal_no_shortcut,backup_ns,18000,0.2930936439444444,0.2182925,0.3126526,3.010344859999954,46.834376
ur5e,cr_ik_minimal_no_shortcut,cone_construction_ns,18000,0.2028338587222222,0.193171,0.26793455,0.4011497699999999,1.018926
ur5e,cr_ik_minimal_no_shortcut,cone_solve_ns,18000,0.04376605066666667,0.014421,0.10712239999999996,0.2022858699999992,0.385827
ur5e,cr_ik_minimal_no_shortcut,demand_estimation_ns,18000,0.03906299916666667,0.038694,0.05161089999999999,0.059147019999999995,0.248617
ur5e,cr_ik_minimal_no_shortcut,initial_pair_ns,18000,0.29815200994444446,0.292729,0.36952079999999987,0.45153002999999997,1.500879
ur5e,cr_ik_minimal_no_shortcut,nonlinear_validation_ns,18000,0.07454204322222222,0.000122,0.31029809999999997,0.9167600299999419,2.62611
ur5e,cr_ik_minimal_no_shortcut,optimization_ns,18000,0.3211419526111111,0.2121845,0.6085872,1.574400419999997,3.536731
ur5e,cr_ik_minimal_no_shortcut,total_latency_ns,18000,0.9766045789444444,0.806478,1.261277,4.133520729999939,47.267744
ur5e,pink_qp,total_latency_ns,6000,0.6551390785,0.6421175,0.735664,0.9574631300000002,1.947351
ur5e,trac_task_20ms,total_latency_ns,18000,0.31071665649999997,0.157496,0.2506721499999999,0.5951486999999989,50.998078
ur5e,trac_task_5ms,total_latency_ns,18000,0.1998175813888889,0.1566585,0.24832954999999998,0.44273539999999095,48.499079
ur5e,two_step_predictive,backup_ns,18000,0.26834290955555556,0.219838,0.3463479999999999,0.8592521099999919,47.206601
ur5e,two_step_predictive,optimization_ns,18000,3.1356809613333336,3.1008015,3.5771338,4.494266049999997,47.143437
ur5e,two_step_predictive,prediction_ns,18000,0.13125667522222223,0.12724,0.16716929999999997,0.20187896999999969,0.602399
ur5e,two_step_predictive,total_latency_ns,18000,3.6346674753333335,3.5480475,4.341458049999999,5.43087363,47.826584
