robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,complete_frame_calls,over_20ms_frames,trf_calls,optimizer_calls,trac_rejections,same_frame_recoveries,within20_recoveries,mean_trf_nfev,frame_failure_kinds,trf_native_statuses,trf_stop_reasons
panda,current_trf,Current-frame bounded TRF,high_curvature,10,3,"[7,7,7]",7.0,0.7,"[7,7,7]",0.7,0.9513333333333333,0.951111111111111,2.814576,16.8207261,20.60975584,7241.786879666667,724.1786879666668,598.6187478333334,1263.309101933333,0.0009205184902564416,0.0009992924890131752,0.008587894110029033,0.008725140859895399,0.9999676566865566,31.618536583239223,0.6323707316647843,122.6,0,4500,122,4500,4500,0,0,0,11.208444444444444,"{""position_tolerance+orientation_tolerance"":202,""position_tolerance"":5,""orientation_tolerance"":12}","{""-2"":4400,""2"":26,""0"":72,""4"":2}","{""task_admissible"":4281,""deadline"":119,""native_termination"":100}"
panda,current_trf,Current-frame bounded TRF,joint_limit_return,10,3,"[6,8,7]",7.0,0.7,"[6,7,7]",0.6666666666666667,0.9977777777777777,0.9975555555555554,1.8830865,7.584772300000001,13.294943860000002,3911.576224666667,391.1576224666667,404.31909900000005,534.8654313833333,0.0009272647386913861,0.0009987919114714796,0.008485688357767541,0.008723823685440201,0.999981540880157,31.56209270908583,0.6312418541817165,137.96666666666667,0,4500,8,4500,4497,0,0,0,6.135777777777778,"{""orientation_tolerance"":10}","{""-2"":4494,""0"":3,""None"":3}","{""task_admissible"":4487,""native_termination"":3,""initial_command_admissible"":3,""deadline"":7}"
panda,current_trf,Current-frame bounded TRF,near_singular,10,3,"[6,6,6]",6.0,0.6,"[6,6,6]",0.6,0.9413333333333334,0.9408888888888889,1.509111,18.73331750000004,20.68902503,4093.3311356666663,409.3331135666666,258.6300091666667,1044.4695918999996,0.0009649722226029226,0.0009995240862222803,0.008060793221848965,0.00871504165594991,0.9996896613252793,25.35040049753321,0.5070080099506641,127.5,0,4500,207,4500,4050,0,0,0,5.901555555555555,"{""position_tolerance"":36,""position_tolerance+orientation_tolerance"":223,""orientation_tolerance"":5}","{""None"":450,""-2"":3984,""0"":20,""2"":46}","{""initial_command_admissible"":450,""task_admissible"":3786,""native_termination"":66,""deadline"":198}"
panda,current_trf,Current-frame bounded TRF,smooth,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9993333333333332,0.9993333333333332,1.665311,4.091506600000003,10.26915207000006,3089.835633,308.9835633,300.21098466666666,456.57901036666664,0.0008977042266250678,0.000996550003841027,0.008254250295384107,0.008721627177702487,0.9987566181423775,24.676343960880388,0.4935268792176078,136.3,0,4500,2,4500,4500,0,0,0,4.973777777777777,"{""orientation_tolerance"":3}","{""-2"":4499,""0"":1}","{""task_admissible"":4497,""deadline"":2,""native_termination"":1}"
panda,pink_qp,Pink QP-IK,high_curvature,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9700000000000001,0.9700000000000001,1.2579685,2.1658347500000006,2.479900960000001,2088.087934333333,208.8087934333333,214.777052,252.54605835,0.0003336244523090731,0.0009538083780688717,0.0006876220242341873,0.008304875900969308,0.9999999999999997,7.430615398119923,0.14861230796239847,145.5,0,4500,0,0,0,0,0,0,,"{""position_tolerance+orientation_tolerance"":135}",{},{}
panda,pink_qp,Pink QP-IK,joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,1.1585405,2.11876725,2.4614435600000033,2047.0943293333335,204.70943293333335,200.39300766666668,273.319911,0.00011439073177068548,0.00021513749647973678,0.00020334923127109052,0.0005076675385390474,0.5735095764782464,1.3886328104816574,0.02777265620963315,150.0,0,4500,0,0,0,0,0,0,,{},{},{}
panda,pink_qp,Pink QP-IK,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,8,8]",0.8,0.9626666666666667,0.9626666666666667,1.1614025,2.1212412,2.4670747500000036,2010.4774526666665,201.04774526666665,199.74326416666665,244.22077591666664,6.481523533665283e-05,0.0009854507257299875,0.0001369977385307731,0.007358452784580322,0.9999999999999981,7.239683370352793,0.1447936674070559,144.4,0,4500,0,0,0,0,0,0,,"{""position_tolerance"":12,""position_tolerance+orientation_tolerance"":156}",{},{}
panda,pink_qp,Pink QP-IK,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,1.1938495,2.1428749,2.4656874900000005,2068.1950866666666,206.81950866666665,214.6880991666667,249.81649345,8.874257521999128e-05,0.0001981718022720297,0.00019031372733852576,0.0003579234867976215,0.4952489805131127,0.7588633948120178,0.015177267896240354,150.0,0,4500,0,0,0,0,0,0,,{},{},{}
panda,trac_task_5ms,TRAC-IK task 5 ms,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.291188,0.5670302,3.206188690000018,569.2470940000001,56.924709400000005,56.71399483333333,69.13226431666665,0.00047053513504368577,0.0008816087893549099,0.0005629439829695139,0.00737142664589129,0.9108412131783314,6.829992290709794,0.13659984581419585,150.0,0,4500,0,0,0,0,0,0,,{},{},{}
panda,trac_task_5ms,TRAC-IK task 5 ms,joint_limit_return,10,3,"[10,9,9]",9.333333333333334,0.9333333333333333,"[10,8,9]",0.9,0.9655555555555555,0.9653333333333333,0.2993315,2.229369650000003,5.67534733,873.1972640000001,87.31972640000001,60.248538833333335,219.89146301666642,0.00015706204412769013,0.0008536239384706207,0.0007726253330419527,0.008261455526746415,0.9849997411920539,2.0069953701041614,0.04013990740208322,144.73333333333332,0,4500,1,0,0,0,0,0,,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":155}",{},{}
