robot,uid,site_id,method,repeat,family,frame,previous_q,target_position,target_rotation,q,position_error,orientation_error,velocity_utilization,failure_kind,total_latency_ns,internal_status,native_return_code
panda,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,trajectory_30,current_trf,0,high_curvature,106,"[-0.502638795922761,-0.8874399811599543,-1.5942057927690056,-1.3045398246136146,-0.6662277449204685,2.3577907928459676,1.436633518798099]","[-0.6372135668866792,-0.29133238060657524,0.6690427313323934]","[[-0.803382184901288,0.40177516836895255,-0.4394926382379255],[0.5852936725294025,0.39697913407239077,-0.7069928457970273],[-0.1095827626968635,-0.8252177174499068,-0.5540824279170821]]","[-0.5027633420565767,-0.8619636222558569,-1.5883374567229367,-1.2804021470214222,-0.6457595658534779,2.3671964188677155,1.4262853378280262]",0.0010015817972203094,0.01762151144780336,0.5843201583508575,position_tolerance+orientation_tolerance,20513071,deadline,-2
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,current_trf,2,smooth,13,"[0.12672504495134873,0.45692736860353766,-1.4928961902690474,-0.996876041356283,-1.6375912010185847,2.293100788246845,-1.5904537511619263]","[0.36432104648061653,-0.42844444851533325,0.9310318128582421]","[[-0.34435339310950264,0.8575821580977021,-0.38206489339699873],[-0.5941596910801834,-0.514156327656896,-0.6185608557174271],[-0.726907836076537,0.014004029522330505,0.686592226148581]]","[0.12753521055070988,0.4585786642099251,-1.4993179241222483,-0.9882070114645422,-1.6363917098582401,2.2836309366977883,-1.6015144318368235]",0.0005025191876460282,0.015380332751740049,0.21148529015099776,orientation_tolerance,20598307,deadline,-2
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,current_trf,0,near_singular,114,"[-2.0558006831360527,0.05171667962010971,2.3578982372942816,-0.550544687815074,-2.89729840147945,2.0704930935189068,-1.7517720856923191]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.0986235118150107,0.04841968268665684,2.4014926789394497,-0.550352173837632,-2.897299679229267,2.0663071518458,-1.7528762089581567]",0.001015800629839976,0.002018466818420757,0.9998725147974341,position_tolerance,18271827,native_termination,0
panda,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,current_trf,2,near_singular,75,"[-0.8728954804732729,-0.3634315794773826,-2.2773698762600785,-0.4570989952711395,1.511087080131132,2.450483984432195,-0.6949798247298905]","[-0.418618163751417,0.22340373127856425,1.044875017331099]","[[0.2292470037118077,-0.8030886547504603,-0.549994930795052],[0.7433051769306888,0.5092516125345524,-0.43377437577500527],[0.6284450852995795,-0.3093726034122185,0.7136843609192725]]","[-0.8849047671559364,-0.361312057866701,-2.2889490405781467,-0.4621568957403293,1.5384744087697686,2.4463747298606817,-0.702707393103652]",0.0003712148078438058,0.011623545820322725,0.5236582913697242,orientation_tolerance,20437183,deadline,-2
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,current_trf,0,near_singular,66,"[0.8538831974841306,0.030755967802999447,1.0924661216201077,-0.36211530074282955,1.646810853739596,2.8977229582790605,2.017585159888521]","[-0.001197710914803439,0.21127994008275502,1.1495367598386301]","[[-0.7413417042679289,-0.5853491721544802,-0.3282968537333052],[0.5415890715660593,-0.8106787657746733,0.2224437373410761],[-0.39635054569577194,-0.012895168867318304,0.9180086925223243]]","[0.8405989880562876,0.017674157536463533,1.0791658030542337,-0.36350242553706164,1.6688720983185226,2.8904276258561596,2.018389659819307]",0.0003980170645663413,0.00891426592619245,0.42182112005595707,orientation_tolerance,20334631,deadline,-2
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,current_trf,0,smooth,13,"[0.12672504495134873,0.45692736860353766,-1.4928961902690474,-0.996876041356283,-1.6375912010185847,2.293100788246845,-1.5904537511619263]","[0.36432104648061653,-0.42844444851533325,0.9310318128582421]","[[-0.34435339310950264,0.8575821580977021,-0.38206489339699873],[-0.5941596910801834,-0.514156327656896,-0.6185608557174271],[-0.726907836076537,0.014004029522330505,0.686592226148581]]","[0.12692370414134685,0.4593220297157705,-1.4998995879378574,-0.9879439605299456,-1.6385774394469814,2.2841431889425468,-1.5977433174606717]",0.0005323705908306461,0.012496734118695422,0.2048642391361801,orientation_tolerance,20448218,deadline,-2
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,current_trf,1,joint_limit_return,126,"[0.33785817689076825,-0.0655220439488427,1.0578918592094277,-1.5328196957419795,2.4581845476614714,2.0495281905706713,-1.4247795282892348]","[0.039304288491489404,0.5783015559501752,0.8017018458033105]","[[0.7708947894092749,0.3703311443900401,-0.5182432509511267],[-0.055203766785359355,0.8493994159404468,0.5248553861138663],[0.6345658104517897,-0.37599930278498017,0.675241258004035]]","[0.33998388650477707,-0.06251646988932347,1.06009421713878,-1.5420413319329944,2.439784624340232,2.0603024385770436,-1.4315383018651078]",0.0002921998812321641,0.011730586012472864,0.3518149774615587,orientation_tolerance,19528437,native_termination,0
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,pink_qp,1,near_singular,122,"[2.8972999999999995,0.2208501889085296,1.71267687290282,-0.6933050514508895,0.8237396789143764,0.3642165226420566,0.10348506575471131]","[-0.06365257251620854,-0.26256401938349483,0.9061759282087597]","[[0.5560616649394297,-0.6796655486174742,0.47838286633960614],[-0.8306996908455809,-0.4357232051395866,0.3465303913539789],[-0.02708225274687437,-0.5900847655425395,-0.8068869320175911]]","[2.8972999999999995,0.24092726647793833,1.7562768729028198,-0.7068710601948309,0.7938662328714136,0.37838831385312666,0.11901884516860067]",0.0010549523841012337,0.008031829089156796,0.9999999999999968,position_tolerance,1205558,solved,1
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,current_trf,2,joint_limit_return,120,"[-1.5505053810159066,0.8118669841818472,0.08743805147774023,-0.8838984982176228,2.731263855942882,2.6236744341116816,0.5987977177541162]","[0.04942645559723639,-0.8092439493433267,0.4864273005902582]","[[0.31269282855969194,0.914798697423166,0.255668805606429],[-0.2671922357442405,0.3430111502222676,-0.9005285447897758],[-0.9114995908530809,0.21327609808901693,0.3516842360109291]]","[-1.5483375066287108,0.8125670080381193,0.09012879296310995,-0.8843923524329449,2.7556690668801895,2.622282269149236,0.5719751238533954]",0.0007302510088919365,0.017993084296900885,0.512860304029077,orientation_tolerance,21002914,deadline,-2
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,trac_task_5ms,0,near_singular,117,"[-2.406344342449323,0.057587980695505844,2.7070028313033876,-0.5821698447827003,-2.8972999999999995,2.0486402627010243,-1.7458813786615381]","[0.20707428033755954,0.03253668759607717,1.1613652780066157]","[[0.3428504124886296,0.8397815692864986,-0.42097566502481154],[-0.9080587384616929,0.18150052607807876,-0.37747435215751995],[-0.2405886991521742,0.5116878686465866,0.8247985226224512]]","[-2.406344342449323,0.057587980695505844,2.7070028313033876,-0.5821698447827003,-2.8972999999999995,2.0486402627010243,-1.7458813786615381]",0.0029793066806263033,0.004963175286742334,0.0,internal_nonconvergence+position_tolerance,5564555,native_no_solution,-3
