robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
panda,current_trf,trac_task_5ms,completion,-0.19166666666666668,"[-0.3,-0.09166666666666666]",0.790909090909091,"[0.6698113207547168,0.902654867256637]"
panda,current_trf,trac_task_5ms,deadline_completion,-0.19166666666666668,"[-0.3,-0.09166666666666667]",0.7889908256880734,"[0.6666666666666667,0.9026613111092019]"
panda,current_trf,trac_task_5ms,total_latency_ns,380256222.3083333,"[321599816.59979165,447812076.3389584]",5.86528529789725,"[4.755921833280394,7.224865628518531]"
panda,current_trf,trac_task_5ms,frame_success,-0.0036111111111111205,"[-0.02661250000000001,0.01961249999999999]",0.9963003016677101,"[0.9728714846590847,1.0202333559727017]"
panda,current_trf,trac_task_5ms,successful_prefix,-14.708333333333332,"[-26.125416666666666,-5.066458333333332]",0.8991197988111569,"[0.8209380546505314,0.9656061016511869]"
panda,current_trf,trac_task_5ms,acceleration_rms,24.06344331176046,"[22.422683346156774,25.73357760506587]",6.6774826813958015,"[5.454631196922371,8.219892077428446]"
panda,current_trf,pink_qp,completion,-0.2,"[-0.33333333333333337,-0.06666666666666668]",0.7837837837837838,"[0.6486361361361361,0.9215686274509803]"
panda,current_trf,pink_qp,deadline_completion,-0.20833333333333334,"[-0.3416666666666667,-0.08333333333333334]",0.7747747747747747,"[0.6403508771929824,0.9074074074074073]"
panda,current_trf,pink_qp,total_latency_ns,253066876.75,"[188532008.8325,329595070.10291666]",2.2323903103696,"[1.9030760778754996,2.6255914587073]"
panda,current_trf,pink_qp,frame_success,-0.010722222222222227,"[-0.03383333333333334,0.012223611111111123]",0.9890941967565123,"[0.9656862745098042,1.012525501530092]"
panda,current_trf,pink_qp,successful_prefix,-16.383333333333333,"[-28.183749999999996,-6.058124999999999]",0.8889077244730745,"[0.8092208082161197,0.9586380649460983]"
panda,current_trf,pink_qp,acceleration_rms,24.097394694243057,"[22.04631889554817,26.08602579803391]",6.731404082837712,"[5.231261388276456,8.96841223223012]"
panda,trac_then_current_trf,trac_task_5ms,completion,0.016666666666666666,"[0.0,0.041666666666666664]",1.0181818181818183,"[1.0,1.0467289719626167]"
panda,trac_then_current_trf,trac_task_5ms,deadline_completion,-2.7755575615628915e-18,"[-0.03333333333333334,0.03333333333333334]",1.0,"[0.9611650485436894,1.0399999999999998]"
panda,trac_then_current_trf,trac_task_5ms,total_latency_ns,25298729.424999997,"[3392038.5149999987,54532114.45166669]",1.3236910512068578,"[1.0471097085839536,1.6491741263779887]"
panda,trac_then_current_trf,trac_task_5ms,frame_success,0.009499999999999995,"[0.00022222222222222088,0.020556944444444444]",1.0097330525357164,"[1.0002235136343318,1.0215499353947666]"
panda,trac_then_current_trf,trac_task_5ms,successful_prefix,1.5666666666666669,"[0.03333333333333357,3.416666666666667]",1.010745313214449,"[1.0002235136343318,1.0241802311866004]"
