frames,completion,deadline_completion,frame_success,frame_deadline_success,accepted_frames,deadline_frames,total_latency_ns,p50_ms,p95_ms,p99_ms,first_failure_frame,successful_prefix,first_failure_reason,failure_reasons,backup_rate,optimized_command_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,normalized_tolerance_p95,max_accepted_step_utilization,acceleration_rms,velocity_change_rms,accepted_contract_violations,robot,uid,site_id,family,method,repeat,run_id,raw_file
150,False,False,0.7066666666666667,0.7,106,105,1490133107,6.9842845,20.7721738,20.97351502,106,106,position_tolerance+orientation_tolerance,"{""position_tolerance+orientation_tolerance"":43,""position_tolerance"":1}",0.0,0.0,0.0,0.0009616059946783043,0.0009967761778338611,0.008485651653264736,0.008715695740869724,0.9784518824113184,0.9999450685372951,28.165359295678254,0.5633071859135651,0,panda,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,trajectory_30,high_curvature,current_trf,0,panda_trajectory_30_current_trf_r0,runs/panda_trajectory_30_current_trf_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,296226829,1.793516,3.3074873,4.76788286999999,,150,,{},0.0,0.0,0.0,0.000787951136665066,0.0009888871418879846,0.0083674592124253,0.00869212687377353,0.9670453913067701,0.7485817634116518,23.763776008299015,0.4752755201659803,0,panda,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,trajectory_07,smooth,current_trf,0,panda_trajectory_07_current_trf_r0,runs/panda_trajectory_07_current_trf_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,59020743,0.3189025,0.5444176999999991,2.0983670499999767,,150,,{},0.0,0.0,0.0,0.00031842152822507283,0.0008866489062212428,0.00030303250758866864,0.001062753875729882,0.3184215282250728,0.42887040547491323,1.2161933238999474,0.02432386647799895,0,panda,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,near_singular,trac_then_current_trf,0,panda_trajectory_13_trac_then_current_trf_r0,runs/panda_trajectory_13_trac_then_current_trf_r0.jsonl.gz
150,True,False,1.0,0.9933333333333333,150,149,119288279,0.2472585,0.39275139999999986,1.319904969999993,,150,,{},0.0,0.0,0.0,9.293995202462507e-05,9.532989152477082e-05,0.00012087610427929021,0.00012653534033979974,0.09293995202462507,0.3347424607869636,0.6781011520975225,0.013562023041950451,0,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,trajectory_24,joint_limit_return,trac_task_5ms,1,panda_trajectory_24_trac_task_5ms_r1,runs/panda_trajectory_24_trac_task_5ms_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,318750702,1.360042,5.778582049999992,13.259155139999999,,150,,{},0.0,0.0,0.0,0.0009083319141494239,0.0009744884550056736,0.008442336609000184,0.008723823685440201,0.9732665686302437,0.9990856442442518,34.98601148461742,0.6997202296923485,0,panda,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,joint_limit_return,current_trf,1,panda_trajectory_28_current_trf_r1,runs/panda_trajectory_28_current_trf_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,59110985,0.2985545,0.5118256999999994,3.060618559999988,,150,,{},0.0,0.0,0.0,0.0005152232079131899,0.0008692357869644763,0.001044722857304055,0.005643248350023504,0.5152232079131899,0.35522355043430803,2.161166811710558,0.04322333623421116,0,panda,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,trajectory_22,joint_limit_return,trac_then_current_trf,2,panda_trajectory_22_trac_then_current_trf_r2,runs/panda_trajectory_22_trac_then_current_trf_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,42235910,0.265186,0.35097949999999994,0.5481746099999997,,150,,{},0.0,0.0,0.0,9.352178891079887e-05,0.0003435859975460864,0.00012223379079005802,0.0035756513752532924,0.09352178891079888,0.3347424607869636,1.4356547610234995,0.02871309522046999,0,panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,trajectory_24,joint_limit_return,trac_task_5ms,2,panda_trajectory_24_trac_task_5ms_r2,runs/panda_trajectory_24_trac_task_5ms_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,55103300,0.2907285,0.5250033,2.659837349999997,,150,,{},0.0,0.0,0.0,0.00046770206372275934,0.0008131484586101178,0.0005773746749476012,0.00737142664589129,0.46770206372275935,0.6975058971289114,6.436795239067735,0.1287359047813547,0,panda,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,trajectory_36,high_curvature,trac_task_5ms,1,panda_trajectory_36_trac_task_5ms_r1,runs/panda_trajectory_36_trac_task_5ms_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,65892080,0.322512,0.7504333999999939,3.181289499999996,,150,,{},0.0,0.0,0.0,0.0006122423704506717,0.0007914219721610104,0.0003821158581145709,0.0061734974607120146,0.6122423704506718,0.8634887087316574,7.494092338008938,0.1498818467601788,0,panda,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,trajectory_35,high_curvature,trac_then_current_trf,2,panda_trajectory_35_trac_then_current_trf_r2,runs/panda_trajectory_35_trac_then_current_trf_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,265015165,1.7818905,2.2281522,2.3322868599999995,,150,,{},0.0,0.0,0.0,0.0004690787310794543,0.0006802040934492081,0.0008591883501775713,0.001038335821843394,0.4690787310794543,0.9471784135696281,8.037221038946448,0.16074442077892895,0,panda,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,trajectory_32,high_curvature,pink_qp,0,panda_trajectory_32_pink_qp_r0,runs/panda_trajectory_32_pink_qp_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,50955411,0.291267,0.4440627999999999,0.712902589999998,,150,,{},0.0,0.0,0.0,0.0005140690997814879,0.000726531308860038,0.00044385961073162316,0.000548240210650684,0.5140690997814878,0.7922860507478996,7.973968358959171,0.15947936717918343,0,panda,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,trajectory_33,high_curvature,trac_task_5ms,1,panda_trajectory_33_trac_task_5ms_r1,runs/panda_trajectory_33_trac_task_5ms_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,51401354,0.29377,0.5221669499999999,1.0617593999999952,,150,,{},0.0,0.0,0.0,4.754097643555206e-05,0.0005839375844988843,0.00010001218771950231,0.004409848418116366,0.04754097643555206,0.23827171434435965,1.258610961366967,0.025172219227339337,0,panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,trac_task_5ms,2,panda_trajectory_04_trac_task_5ms_r2,runs/panda_trajectory_04_trac_task_5ms_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,274044245,1.792164,2.1717610499999997,2.5152836799999974,,150,,{},0.0,0.0,0.0,8.016000575415043e-05,8.445170100181532e-05,0.00015359178201899816,0.00015995017202744753,0.08016000575415042,0.5103129029356962,2.5980441197595994,0.05196088239519199,0,panda,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,pink_qp,0,panda_trajectory_29_pink_qp_r0,runs/panda_trajectory_29_pink_qp_r0.jsonl.gz
