robot,uid,site_id,family,method,repeats,completion,deadline_completion,total_latency_ns,frame_success,successful_prefix,acceleration_rms
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,smooth,trac_task_5ms,3,1.0,1.0,41623968.666666664,1.0,150.0,0.6445104669794385
panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,trajectory_24,joint_limit_return,trac_task_5ms,3,1.0,0.6666666666666666,69762826.66666667,1.0,150.0,1.2753407826357641
panda,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,trajectory_22,joint_limit_return,trac_task_5ms,3,1.0,1.0,62022872.333333336,1.0,150.0,1.5522244796779106
panda,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,trac_task_5ms,3,1.0,1.0,67677412.0,1.0,150.0,1.6285327195053234
panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,trajectory_15,near_singular,trac_task_5ms,3,1.0,1.0,70876537.66666667,1.0,150.0,1.9629371921257353
panda,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,trajectory_39,high_curvature,trac_task_5ms,3,1.0,1.0,58851453.666666664,1.0,150.0,5.61472938451807
panda,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,trajectory_16,near_singular,trac_task_5ms,3,1.0,1.0,68812645.66666667,1.0,150.0,2.641344990744693
panda,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,joint_limit_return,trac_task_5ms,3,1.0,1.0,60710737.666666664,1.0,150.0,1.4071209992671012
panda,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,near_singular,trac_task_5ms,3,1.0,1.0,66095460.0,1.0,150.0,2.6425919061104715
panda,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,trajectory_21,joint_limit_return,trac_task_5ms,3,1.0,1.0,59561398.666666664,1.0,150.0,0.7123020578666269
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,trac_task_5ms,3,0.0,0.0,240758187.0,0.7688888888888888,115.33333333333333,6.9326878222292665
panda,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,trajectory_10,near_singular,trac_task_5ms,3,1.0,1.0,60353234.666666664,1.0,150.0,9.919325491100167
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,trac_task_5ms,3,1.0,1.0,59786340.0,1.0,150.0,1.8808367882519672
panda,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,trac_task_5ms,3,1.0,1.0,47748130.333333336,1.0,150.0,0.8601512436541751
