case,method,accepted_repeats,repeats,time_median_ms,time_p95_ms,position_mm,orientation_deg,max_step_fraction
panda_trajectory14_pink_r1_f122,least_squares,0,11,13.091756999983772,14.557160999999041,1.3154863461679442,0.24249230609214528,0.3677331329231603
panda_trajectory14_pink_r1_f122,minimax,0,11,47.62114800001882,50.75108799999839,1.0865753994957474,0.5432876997497532,0.17829134468497795
panda_trajectory14_tar_r0_f115,least_squares,11,11,3.6067710000224906,4.149384000015743,0.9717281924803757,0.11807073078611535,0.9951943315260451
panda_trajectory14_tar_r0_f115,minimax,11,11,5.373346999988371,6.120463999963022,0.9902910405133505,0.4483935482764176,0.24506938791142746
panda_trajectory14_trac_r1_f115,least_squares,11,11,1.2526849999972,1.4964210000130151,0.8819760778073586,0.04873976096681077,0.15000306875804334
panda_trajectory14_trac_r1_f115,minimax,11,11,1.40759399999979,1.7647130000284506,0.9890536905550117,0.21968061417862778,0.10211061556765672
panda_trajectory26_tar_r1_f72,least_squares,11,11,2.4297080000224014,2.6412965000019994,0.34062803226587596,0.39392928534119576,0.26802130017313514
panda_trajectory26_tar_r1_f72,minimax,11,11,5.449159000022519,6.455494500016812,0.6116825519895306,0.2832199848666027,0.40755048127164706
panda_trajectory12_tar_r0_f88,least_squares,11,11,2.1929569999770138,2.896168500001295,0.9221414313367923,0.2802406931283049,0.6513975404663097
panda_trajectory12_tar_r0_f88,minimax,11,11,5.390172000033999,8.653013499980489,0.7519205916364459,0.36068209529690975,0.3285712105139242
