robot,method,feasible_queries,verified_success,p50_ms,p95_ms,p99_ms,mean_fev,learned_seed_ensemble_invocation_rate,fast_path_attempt_rate,fast_path_hit_rate,fast_path_precision,fast_failure_recovery_rate
panda,always_local,2035,0.7793611793611793,0.529549,0.6033343,0.6097996600000001,3.213267813267813,0.0,1.0,0.7793611793611793,0.7793611793611793,0.0
panda,always_hard,2035,0.9980343980343981,1.662015,2.0616565000000002,2.5154277,4.1567567567567565,1.0,0.0,0.0,,
panda,counterfactual_cghik_v4,2035,0.9980343980343981,1.886723,2.300567,2.7815882800000002,4.1567567567567565,1.0,0.0,0.0,,
panda,hierarchical_cghik_v5,2035,0.9980343980343981,0.964983,2.7128671,3.2987528200000007,4.181818181818182,0.26683046683046685,0.7395577395577395,0.7331695331695331,0.9913621262458472,0.9230769230769231
panda,hierarchical_cghik_v5_lite,2035,0.9980343980343981,1.868631,2.2726077,2.72104172,4.1567567567567565,1.0,0.0,0.0,,
ur5e,always_local,2049,0.6495851634943876,0.486401,0.5515131999999999,0.55847976,3.3445583211322596,0.0,1.0,0.6495851634943876,0.6495851634943876,0.0
ur5e,always_hard,2049,1.0,1.549174,1.9162412,2.238750599999999,3.7384089799902394,1.0,0.0,0.0,,
ur5e,counterfactual_cghik_v4,2049,1.0,1.766122,2.1345423999999995,2.435279639999999,3.7384089799902394,1.0,0.0,0.0,,
ur5e,hierarchical_cghik_v5,2049,1.0,2.104673,2.5297054,2.9611772799999994,3.757442654953636,0.5866276232308443,0.4182528062469497,0.41337237676915567,0.9883313885647608,1.0
ur5e,hierarchical_cghik_v5_lite,2049,1.0,1.742213,2.1055742,2.52160072,3.7481698389458273,0.9604685212298683,0.041971693509028796,0.03953147877013177,0.9418604651162791,1.0
