robot,query_family,route_state,count,rate,family_queries
panda,hard_valid,fast_verified,0,0.0,375
panda,hard_valid,fast_failed_then_hard,0,0.0,375
panda,hard_valid,direct_hard,375,1.0,375
panda,id,fast_verified,0,0.0,958
panda,id,fast_failed_then_hard,0,0.0,958
panda,id,direct_hard,958,1.0,958
panda,large_step,fast_verified,0,0.0,228
panda,large_step,fast_failed_then_hard,0,0.0,228
panda,large_step,direct_hard,228,1.0,228
panda,near_limit,fast_verified,0,0.0,238
panda,near_limit,fast_failed_then_hard,0,0.0,238
panda,near_limit,direct_hard,238,1.0,238
panda,near_singular,fast_verified,0,0.0,223
panda,near_singular,fast_failed_then_hard,0,0.0,223
panda,near_singular,direct_hard,223,1.0,223
panda,unreachable,fast_verified,0,0.0,237
panda,unreachable,fast_failed_then_hard,0,0.0,237
panda,unreachable,direct_hard,237,1.0,237
panda,workspace_boundary,fast_verified,0,0.0,241
panda,workspace_boundary,fast_failed_then_hard,0,0.0,241
panda,workspace_boundary,direct_hard,241,1.0,241
ur5e,hard_valid,fast_verified,0,0.0,396
ur5e,hard_valid,fast_failed_then_hard,1,0.0025252525252525255,396
ur5e,hard_valid,direct_hard,395,0.9974747474747475,396
ur5e,id,fast_verified,51,0.053069719042663895,961
ur5e,id,fast_failed_then_hard,3,0.003121748178980229,961
ur5e,id,direct_hard,907,0.9438085327783559,961
ur5e,large_step,fast_verified,0,0.0,236
ur5e,large_step,fast_failed_then_hard,0,0.0,236
ur5e,large_step,direct_hard,236,1.0,236
ur5e,near_limit,fast_verified,4,0.017391304347826087,230
ur5e,near_limit,fast_failed_then_hard,0,0.0,230
ur5e,near_limit,direct_hard,226,0.9826086956521739,230
ur5e,near_singular,fast_verified,12,0.05063291139240506,237
ur5e,near_singular,fast_failed_then_hard,1,0.004219409282700422,237
ur5e,near_singular,direct_hard,224,0.9451476793248945,237
ur5e,unreachable,fast_verified,0,0.0,215
ur5e,unreachable,fast_failed_then_hard,0,0.0,215
ur5e,unreachable,direct_hard,215,1.0,215
ur5e,workspace_boundary,fast_verified,14,0.06222222222222222,225
ur5e,workspace_boundary,fast_failed_then_hard,0,0.0,225
ur5e,workspace_boundary,direct_hard,211,0.9377777777777778,225
