robot,method,feasible_queries,verified_success,p50_ms,p95_ms,p99_ms,mean_fev,learned_seed_ensemble_invocation_rate,fast_path_attempt_rate,fast_path_hit_rate,fast_path_precision,fast_path_failure_recovery_rate,paired_v5_minus_always_hard_median_ms,paired_v5_minus_current_cghik_median_ms
panda,always_local,2035,0.7793611793611793,0.526981,0.5998203,0.60737226,3.213267813267813,0.0,1.0,0.7793611793611793,0.7793611793611793,0.0,,
panda,fixed_easy_cascade,2035,0.9980343980343981,1.636338,3.1736098,3.605110180000001,5.8452088452088455,1.0,0.0,0.0,,,,
panda,always_hard,2035,0.9980343980343981,1.637168,2.0000119,2.5476351000000013,4.1567567567567565,1.0,0.0,0.0,,,,
panda,counterfactual_cghik_v4,2035,0.9980343980343981,1.84402,2.2234410000000002,2.919951540000002,4.1567567567567565,1.0,0.0,0.0,,,,
panda,hierarchical_cghik_v5,2035,0.9980343980343981,0.955117,2.6514181999999997,3.191668940000001,4.181818181818182,0.26683046683046685,0.7395577395577395,0.7331695331695331,0.9913621262458472,0.9230769230769231,-0.677695,-0.8839509999999999
ur5e,always_local,2049,0.6495851634943876,0.492247,0.558342,0.56384944,3.3445583211322596,0.0,1.0,0.6495851634943876,0.6495851634943876,0.0,,
ur5e,fixed_easy_cascade,2049,1.0,1.534,2.9360937999999996,3.24570372,6.4568081991215225,1.0,0.0,0.0,,,,
ur5e,always_hard,2049,1.0,1.534575,1.8501022,2.242724199999997,3.7384089799902394,1.0,0.0,0.0,,,,
ur5e,counterfactual_cghik_v4,2049,1.0,1.739351,2.0653718,2.4438099599999976,3.7384089799902394,1.0,0.0,0.0,,,,
ur5e,hierarchical_cghik_v5,2049,1.0,2.095985,2.4321238,2.98941764,3.757442654953636,0.5866276232308443,0.4182528062469497,0.41337237676915567,0.9883313885647608,1.0,0.5583010000000002,0.3515740000000003
