slot,scene_uid,cluster,robot,family,placement,direction,method,repeat,status,planner_feasible,physical_run,quality_completed,execution_completed,T_init,T_smooth,T_opt,T_retime,T_validate,initialization_success,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,total_plan_wall_s,solver_return_status,checkpoint_selected,feasible_checkpoint_count,dense_geometry_feasible,dense_min_clearance_m,predicted_execution_s,simulated_completion_time_s,elapsed_until_stop_s,simulation_wall_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,collision_steps,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,torque_requested_utilization_max,velocity_exceed_duration_s,acceleration_exceed_duration_s,scan_duration_s,transition_duration_s,settling_duration_s,sample_state_dt_s,physical_extrema_dt_s,acceleration_rms_rad_s2,jerk_rms_rad_s3,hole_measurement,standoff_m_p95,standoff_m_max,standoff_m_min,center_error_m_p95,center_error_m_max,center_error_m_min,incidence_rad_p95,incidence_rad_max,incidence_rad_min,line_error_rad_p95,line_error_rad_max,line_error_rad_min,profile_process_violation_duration_s,shared_initial_sha256
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B0,0,geometric_initialization_failed,False,False,,,0.10592463800276164,,,,,False,555,39,0,0.108145299993339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B0,1,geometric_initialization_failed,False,False,,,0.10611738900479395,,,,,False,555,39,0,0.10834493399306666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B0,2,geometric_initialization_failed,False,False,,,0.10582075100683141,,,,,False,555,39,0,0.10803530500561465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B1,0,no_verified_path_at_primary_checkpoint,False,False,,,0.23016345099313185,30.167569388999254,,,,True,860,419,10,30.65054851101013,User_Requested_Stop,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B1,1,no_verified_path_at_primary_checkpoint,False,False,,,0.2286742339929333,30.12513833900448,,,,True,860,419,10,30.615129685000284,User_Requested_Stop,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B1,2,no_verified_path_at_primary_checkpoint,False,False,,,0.2284532699995907,30.106187757002772,,,,True,860,419,10,30.58342439000262,User_Requested_Stop,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B2,0,common_b1_initialization_missing,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B2,1,common_b1_initialization_missing,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B2,2,common_b1_initialization_missing,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,G,0,no_verified_path_at_primary_checkpoint,False,False,,,0.22843721600656863,30.06726975199126,,,,True,860,419,0,30.546428802990704,User_Requested_Stop,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,G,1,no_verified_path_at_primary_checkpoint,False,False,,,0.22798077198967803,30.079172755999025,,,,True,860,419,0,30.555086843000026,User_Requested_Stop,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,G,2,no_verified_path_at_primary_checkpoint,False,False,,,0.22837042600440327,30.079474102007225,,,,True,860,419,0,30.560402097995393,User_Requested_Stop,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,B0,0,planner_feasible,True,True,True,True,0.31594672000210267,,,0.03307275001134258,1.011721424991265,True,1292,427,0,1.385302447990398,,,,True,0.021361491714837824,26.39184995377227,26.591000000009515,26.591000000009515,4.500260968998191,0.999999999999979,0.999999999999979,0.0,0.0007589654984964938,0,0.48162684477598,0.8179829623381897,9.747412970684266e-05,0.0,0.5007843467849425,0.0,0.0,16.438,9.954,0.2,0.001,0.001,0.4455815886437837,35.68031762657124,conservative_3d_component_bounding_box_diagonal,0.15002377855045007,0.1500519358920057,0.14946051182374787,0.00014282341074223795,0.0005119371076091115,3.3194773872634735e-16,0.00044635193260790713,0.002325752257969201,4.4703483581542975e-08,0.00026502371158948674,0.0013238329485500268,0.0,0.0,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,B0,1,planner_feasible,True,False,,,0.31453204300487414,,,0.032451124003273435,1.0111427489900962,True,1292,427,0,1.3825942630064674,,,,True,0.021361491714837824,26.39184995377227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,B0,2,planner_feasible,True,False,,,0.31476062299043406,,,0.03236881099292077,1.0073306419944856,True,1292,427,0,1.4030903179955203,,,,True,0.021361491714837824,26.39184995377227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,B1,0,planner_feasible,True,True,True,True,0.2225224830035586,31.58449188400118,,0.03234522900311276,1.0119674490124453,True,854,427,0,33.15134155499982,User_Requested_Stop,10.0,3,True,0.021361533109066987,26.318680172560097,26.518000000009426,26.518000000009426,4.559419377997983,0.999999999999979,0.999999999999979,0.0,0.0007576250333089305,0,0.49510465957785166,0.8173375061719423,8.273818258908161e-05,0.0,0.5007857606908481,0.0,0.0,16.375,9.944,0.2,0.001,0.001,0.4473192245219625,36.262340841348546,conservative_3d_component_bounding_box_diagonal,0.1500203667770037,0.1500578969095073,0.14945550552617623,0.00015936979197817374,0.0005124531425098396,3.3194773872634735e-16,0.0004442806332831682,0.0023171297871806412,4.4703483581542975e-08,0.0002665877828842475,0.001329256420595589,0.0,0.0,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,B1,1,planner_feasible,True,False,,,0.2234376929991413,31.86769912899763,,0.03286370600108057,1.0090528250002535,True,854,427,0,33.46063298899389,User_Requested_Stop,10.0,3,True,0.021361533109066987,26.318680172560097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,B1,2,planner_feasible,True,False,,,0.22248024099098984,31.85976043700066,,0.03237130898924079,1.0108703580044676,True,854,427,0,33.425164422005764,User_Requested_Stop,10.0,3,True,0.021361533109066987,26.318680172560097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,B2,0,planner_feasible,True,True,True,True,33.15134155499982,,30.258130508998875,0.032399200994404964,1.0135809560015332,,,,,65.26807013301004,User_Requested_Stop,10.0,3,True,0.021361038939537818,26.26962030482296,26.469000000009366,26.469000000009366,4.508800691008219,0.999999999999979,0.999999999999979,0.0,0.0007588486347602171,0,0.49466563755453924,0.8165001109338962,8.129871972124836e-05,0.0,0.5007771584652277,0.0,0.0,16.375,9.895,0.2,0.001,0.001,0.4468669121236931,36.59452631395887,conservative_3d_component_bounding_box_diagonal,0.15001993630299792,0.15005820508505002,0.14945640434095783,0.00016034055321438587,0.0005124184788101502,3.3194773872634735e-16,0.0004605130687902532,0.002306415017461583,4.4703483581542975e-08,0.00023968076541189354,0.0013361112543033887,0.0,0.0,0d3a33c952ef52f45d7146e03c8264d936ce29b2fe5e6a90ad3a5985711b1efc
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,B2,1,planner_feasible,True,False,,,33.15134155499982,,30.317561463001766,0.033078540000133216,1.0264232929912396,,,,,65.34294544499426,User_Requested_Stop,10.0,3,True,0.021361038939537818,26.26962030482296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0d3a33c952ef52f45d7146e03c8264d936ce29b2fe5e6a90ad3a5985711b1efc
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,B2,2,planner_feasible,True,False,,,33.15134155499982,,30.2484748900024,0.03253971699450631,1.0050474720046623,,,,,65.24875641799008,User_Requested_Stop,10.0,3,True,0.021361038939537818,26.26962030482296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0d3a33c952ef52f45d7146e03c8264d936ce29b2fe5e6a90ad3a5985711b1efc
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,G,0,planner_feasible,True,True,True,True,0.2222380239982158,31.7875730030064,,0.0326704569888534,1.0132795440003974,True,854,427,0,33.358533560007345,User_Requested_Stop,10.0,3,True,0.021361533109066987,26.318680172560097,26.518000000009426,26.518000000009426,4.495383526009391,0.999999999999979,0.999999999999979,0.0,0.0007576250333089305,0,0.49510465957785166,0.8173375061719423,8.273818258908161e-05,0.0,0.5007857606908481,0.0,0.0,16.375,9.944,0.2,0.001,0.001,0.4473192245219625,36.262340841348546,conservative_3d_component_bounding_box_diagonal,0.1500203667770037,0.1500578969095073,0.14945550552617623,0.00015936979197817374,0.0005124531425098396,3.3194773872634735e-16,0.0004442806332831682,0.0023171297871806412,4.4703483581542975e-08,0.0002665877828842475,0.001329256420595589,0.0,0.0,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,G,1,planner_feasible,True,False,,,0.2230526280036429,31.74234741399414,,0.03268590400693938,1.0219961240072735,True,854,427,0,33.32402493299742,User_Requested_Stop,10.0,3,True,0.021361533109066987,26.318680172560097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
