robot,method,family,scheduled_scenes,implementation_ready,timed_scenes,reference_missing_scenes,shared_b1_missing_scenes,planner_feasible_scene_equivalents,initialization_attempted_scenes,initialization_success_scene_equivalents,physics_executed_scenes,execution_completed_scenes,quality_completed_scenes,quality_rate_all_scheduled,quality_execution_s_mean,quality_execution_s_median,planning_s_mean,planning_s_median,planning_s_p95,predicted_execution_s_mean,initial_s_mean,smoothing_s_mean,optimization_s_mean,retime_s_mean,validation_s_mean,valid_coverage_mean_executed,acceleration_max_mean_executed
panda,B0,plane,4,True,4,0,0,3.0,4,3.0,3,3,3,0.75,21.988666666670557,22.222000000004176,1.0588542587477907,1.3687866541634626,1.438191488301527,21.788996081972837,0.2619705742496687,,,0.03183787099907123,1.0055047663352326,1.0,0.8184707273895288
panda,B0,cylinder,4,True,4,0,0,1.0,4,1.0,1,1,1,0.25,26.591000000009515,26.591000000009515,0.4564671488309007,0.18340158933036338,1.2205738580640169,26.39184995377227,0.18434157166727042,,,0.03263089500251226,1.0100649386586156,0.999999999999979,0.8179829623381897
panda,B0,saddle,4,True,4,0,0,2.0,4,3.0,2,2,2,0.5,20.58100000000217,20.58100000000217,1.1151588343345793,1.2843544893306293,1.4460968442518303,20.38151046078262,0.3242070600814865,,,0.03264084449619986,1.0039070626694917,0.9999999999999961,0.823000128127676
panda,B1,plane,4,True,4,0,0,3.0,4,4.0,3,3,3,0.75,21.033333333336056,21.346000000003105,32.21699032991577,32.13972076599748,32.751047530599806,20.833724001787317,0.22308850091697724,30.910799050913436,,0.03210945844734346,1.0002034027776163,1.0,0.8182943460299462
panda,B1,cylinder,4,True,4,0,0,1.0,4,4.0,1,1,1,0.25,26.518000000009426,26.518000000009426,31.725572668668367,31.470105078667984,33.07900285761643,26.318680172560097,0.22902793424994647,30.96875552250155,,0.03252674799781138,1.0106302106723888,0.999999999999979,0.8173375061719423
panda,B1,saddle,4,True,4,0,0,2.0,4,4.0,2,2,2,0.5,20.3600000000019,20.3600000000019,32.15980450041509,31.89119942283287,33.579506843066575,20.160246655195266,0.22469747191886805,31.13289765708517,,0.03264002833263172,0.9956200193337281,0.9999999999999961,0.8290385138113538
panda,G,plane,4,True,4,0,0,3.0,4,4.0,3,3,3,0.75,21.033333333336056,21.346000000003105,32.194535961249734,32.057893866665836,32.71241049361512,20.833724001787317,0.22124478075177953,30.893824466165825,,0.03192193522247382,1.0000946005554094,1.0,0.8182943460299462
panda,G,cylinder,4,True,4,0,0,1.0,4,4.0,1,1,1,0.25,26.518000000009426,26.518000000009426,31.821922675164387,31.705254923663837,33.127507926499916,26.318680172560097,0.2280966807520599,31.06840227208037,,0.03264254466436493,1.016452979335251,0.999999999999979,0.8173375061719423
panda,G,saddle,4,True,4,0,0,2.0,4,4.0,2,2,2,0.5,20.3600000000019,20.3600000000019,32.17953795191595,31.851769609000865,33.72712120484575,20.160246655195266,0.22431399916725545,31.150044908249885,,0.03263080383718868,0.9981909073321731,0.9999999999999961,0.8290385138113538
panda,B2,plane,4,True,3,0,1,3.0,0,0,3,3,3,0.75,20.94000000000261,21.322000000003076,64.8666930093362,64.68670638834494,65.29209568612907,20.74064293428815,32.50614281566717,,30.543531172114957,0.03179782411542773,1.0013885926616946,1.0,0.8210238010242593
panda,B2,cylinder,4,True,1,0,3,1.0,0,0,1,1,1,0.25,26.469000000009366,26.469000000009366,65.28659066533146,65.28659066533146,65.28659066533146,26.26962030482296,33.15134155499982,,30.274722287334345,0.032672485996348165,1.0150172403324784,0.999999999999979,0.8165001109338962
panda,B2,saddle,4,True,2,0,2,2.0,0,0,2,2,2,0.5,20.306000000001834,20.306000000001834,65.57511163983386,65.57511163983386,66.66508819398028,20.10650860813573,32.92534665400308,,30.72523734649682,0.03268536950054113,1.0053535798312319,0.9999999999999961,0.8292868758037111
ur5e,B0,plane,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,19.805500000001224,19.781500000001195,1.3532449717507309,1.355932540835056,1.38881186524668,19.606017580374573,0.31112982483197504,,,0.03198500783400959,0.9871520741677766,1.0,0.8215941283915031
ur5e,B0,cylinder,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,24.49100000000695,24.68100000000718,1.391933941250803,1.3949430786669836,1.4240270534183461,24.29133432566765,0.32902492533564026,,,0.03299710883341807,1.0062885590001922,0.999999999999979,0.8244194662501318
ur5e,B0,saddle,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,19.932250000001375,19.943500000001393,1.343444243666454,1.3433167279969591,1.4193884094856912,19.733002572609944,0.28401975625092746,,,0.03326877125073224,1.0028418595005253,0.9999999999999961,0.8296359836583894
ur5e,B1,plane,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,19.839500000001262,19.78050000000119,32.447144442082696,32.62482922899896,32.91321114020078,19.639903879678346,0.20913093374959618,30.923448933002266,,0.03206089283291173,0.9905606560035569,1.0,0.8215655613322712
ur5e,B1,cylinder,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,24.410000000006846,24.421500000006866,32.27117091508262,32.20967911649981,32.869610721951176,24.210486806599953,0.20837947924883338,30.737323977416963,,0.03308871550082889,1.009279003167952,0.999999999999979,0.8373908821005129
ur5e,B1,saddle,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,20.166000000001667,19.967500000001422,32.198063259331924,32.28513305499897,32.46459391908138,19.96639700065481,0.20814892741933969,30.671985767667742,,0.03315770958336846,1.0002700008335523,0.9999999999999961,0.8291283122523273
ur5e,G,plane,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,19.839500000001262,19.78050000000119,32.57302134174704,32.557398288333694,32.841082264909346,19.639903879678346,0.20743125158332987,31.04988716666897,,0.032035728915313186,0.9906197481674704,1.0,0.8215655613322712
ur5e,G,cylinder,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,24.410000000006846,24.421500000006866,32.31325878558224,32.18365758866518,32.88467798939988,24.210486806599953,0.20752697391678038,30.78384731649931,,0.033090361419453984,1.0064646500019687,0.999999999999979,0.8373908821005129
ur5e,G,saddle,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,20.166000000001667,19.967500000001422,32.24272395758089,32.262556833663744,32.597459906064856,19.96639700065481,0.21070342841752182,30.71551294383729,,0.03310624783019497,1.001199111082921,0.9999999999999961,0.8291283122523273
ur5e,B2,plane,4,True,4,0,0,4.0,0,0,4,4,4,1.0,19.799750000001218,19.71150000000111,64.55194652608893,64.6159504353418,65.1139135933503,19.60029549117166,32.412768250003865,,30.424223828915274,0.03205531791536487,0.9977829151672873,1.0,0.8197180066145134
ur5e,B2,cylinder,4,True,4,0,0,4.0,0,0,4,4,4,1.0,24.38575000000682,24.399000000006836,64.61430941258246,64.67938011567215,64.82052983052733,24.18614456099618,32.233078140248836,,30.65362611649956,0.032937876334472094,1.009519373413544,0.999999999999979,0.83146297942791
ur5e,B2,saddle,4,True,4,0,0,4.0,0,0,4,4,4,1.0,20.087750000001567,19.948500000001395,63.460738472332494,64.53449254116762,65.12751708623885,19.888323965990672,32.1725886667482,,29.53532564849835,0.033176054668729194,1.0072159078348097,0.9999999999999961,0.8288898540667702
