slot,scene_uid,available,selected_tilt_deg,reference_source
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,True,-6.0,inputs/panda_cylinder_p0_u/reference/tilt_-6
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,True,0.0,inputs/panda_cylinder_p0_v/reference/tilt_+0
panda_cylinder_p1_u,406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,True,-9.0,inputs/panda_cylinder_p1_u/reference/tilt_-9
panda_cylinder_p1_v,be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,True,6.0,inputs/panda_cylinder_p1_v/reference/tilt_+6
panda_plane_p0_u,5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,True,0.0,inputs/panda_plane_p0_u/reference/tilt_+0
panda_plane_p0_v,f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,True,0.0,inputs/panda_plane_p0_v/reference/tilt_+0
panda_plane_p1_u,dc500163bea8d607c8f6676fccd669f938cace853f762bdc955d3710e5f2bae9,True,0.0,inputs/panda_plane_p1_u/reference/tilt_+0
panda_plane_p1_v,e283b88390fe538a85d2694079d62454b1b3aa046d100f8504b4a66d9736b8d5,True,0.0,inputs/panda_plane_p1_v/reference/tilt_+0
panda_saddle_p0_u,f6c31864e2ce3e5c2e19b914f5e5b132c9658310d934a68e88ca62a1b777611b,True,0.0,inputs/panda_saddle_p0_u/reference/tilt_+0
panda_saddle_p0_v,ddbaccae4d1e1e90b7da2315bf852ee615b4daba879473cd6ddfe24006fb6108,True,0.0,inputs/panda_saddle_p0_v/reference/tilt_+0
panda_saddle_p1_u,9ced85a1ec2cd96c165d3ed941ec82457e30e182c4d037796ec472ed639f71b3,True,0.0,inputs/panda_saddle_p1_u/reference/tilt_+0
panda_saddle_p1_v,5f43b4d6461fcea3fe8ed7073c7de83186d13133f6cb072fc4eb2c12336a6b6c,True,0.0,inputs/panda_saddle_p1_v/reference/tilt_+0
ur5e_cylinder_p0_u,5d9aac3d7faa587a77b4ef01338725dc9ae7ca13f0a04df57de39f2cb095a9ac,True,0.0,inputs/ur5e_cylinder_p0_u/reference/tilt_+0
ur5e_cylinder_p0_v,b181f4aea3dacadfb66671a2eea89b411650ea76f729a02a7b8c5f249579c5f5,True,0.0,inputs/ur5e_cylinder_p0_v/reference/tilt_+0
ur5e_cylinder_p1_u,78356a8fe9f1e85ce2b8185467eefe91275f3763ead11629ba2fd1962fc65f9a,True,0.0,inputs/ur5e_cylinder_p1_u/reference/tilt_+0
ur5e_cylinder_p1_v,2d20f99cf6c82aa207e523443bbea9c8b2f83a71121fed63556e715ac9a2a97f,True,0.0,inputs/ur5e_cylinder_p1_v/reference/tilt_+0
ur5e_plane_p0_u,74c4b355832ae88369ec214894ab6b8c7e91246fa0de0bbe376637861cd8eed7,True,0.0,inputs/ur5e_plane_p0_u/reference/tilt_+0
ur5e_plane_p0_v,b4cbe6298b4c8842e3d61c4c05cef1b634d1de760788b1ccb4c7c2647062845b,True,0.0,inputs/ur5e_plane_p0_v/reference/tilt_+0
ur5e_plane_p1_u,403cb6773f1a1675c7f7f184c8e8c74848c8e1cd56930a8f81eb78de27e1428a,True,0.0,inputs/ur5e_plane_p1_u/reference/tilt_+0
ur5e_plane_p1_v,26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e,True,0.0,inputs/ur5e_plane_p1_v/reference/tilt_+0
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,True,0.0,inputs/ur5e_saddle_p0_u/reference/tilt_+0
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,True,0.0,inputs/ur5e_saddle_p0_v/reference/tilt_+0
ur5e_saddle_p1_u,131c413eea68307c7e2869678e592255d46b9ff65ebdafcb0874ee15554f5ed5,True,0.0,inputs/ur5e_saddle_p1_u/reference/tilt_+0
ur5e_saddle_p1_v,88778a5202fca058c5e99dc6c571ebc77b922de005dac1eb6c79648bfb8c2dc8,True,0.0,inputs/ur5e_saddle_p1_v/reference/tilt_+0
