scene_uid,slot,cluster,robot,family,placement,direction,method,repeat,implementation_ready,planner_feasible,execution_completed,quality_completed,T_init,T_smooth,T_opt,T_retime,T_validate,total_plan_wall_s,predicted_execution_s,physical_run,status,reason,initialization_success,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,initialization_node_process_legal,dense_geometry_feasible,dense_min_clearance_m,smoothing_displacement_rms_rad,planning_cost_scope,simulated_completion_time_s,elapsed_until_stop_s,simulation_wall_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,collision_steps,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,torque_requested_utilization_max,velocity_exceed_duration_s,acceleration_exceed_duration_s,scan_duration_s,transition_duration_s,settling_duration_s,sample_state_dt_s,physical_extrema_dt_s,acceleration_rms_rad_s2,jerk_rms_rad_s3,hole_measurement,standoff_m_p95,standoff_m_max,standoff_m_min,center_error_m_p95,center_error_m_max,center_error_m_min,incidence_rad_p95,incidence_rad_max,incidence_rad_min,line_error_rad_p95,line_error_rad_max,line_error_rad_min,profile_process_violation_duration_s,standoff_error_p95_m,standoff_error_max_m,incidence_p95_deg,incidence_max_deg,center_ray_path_error_max_m,line_orientation_error_max_deg,valid_profile_count,profile_count,tracking_joint_error_p95_rad,actual_clearance_sampled_5ms_min_m,actual_feedback_source,solver_return_status,checkpoint_selected,feasible_checkpoint_count
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B0,0,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B0,1,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B0,2,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B1,0,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B1,1,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B1,2,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B2,0,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B2,1,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B2,2,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B3,0,False,False,,,,,,,,,,False,not_evaluable,Official example ran; upstream seven-joint IIWA state packing and decoupled Cartesian error box are not yet verified against Panda/UR5e scanner-ray constraints. No surrogate MPC substituted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B3,1,False,False,,,,,,,,,,False,not_evaluable,Official example ran; upstream seven-joint IIWA state packing and decoupled Cartesian error box are not yet verified against Panda/UR5e scanner-ray constraints. No surrogate MPC substituted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B3,2,False,False,,,,,,,,,,False,not_evaluable,Official example ran; upstream seven-joint IIWA state packing and decoupled Cartesian error box are not yet verified against Panda/UR5e scanner-ray constraints. No surrogate MPC substituted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,G,0,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,G,1,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,G,2,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0_v,panda_cylinder_p0,panda,cylinder,0,v,B0,0,True,True,True,True,0.28115389800223056,,,0.0299739660040359,1.0277983630003291,1.400506399004371,20.60746147855565,True,planner_feasible,,True,1116,421,0,421,True,0.021402257118462845,0.0006400843740416161,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",20.807000000002446,20.807000000002446,3.501501370999904,0.999999999999979,0.999999999999979,0.0,0.0008911631305663732,0,0.6139215341528258,0.9669316316916567,0.00011799178278698585,0.0,0.5082556609234473,0.0,0.0,12.471,8.137,0.2,0.005,0.001,0.6070258628606936,27.055879023664083,conservative_3d_component_bounding_box_diagonal,0.1501391660268385,0.15062044258588125,0.1498221689126622,0.0001365993384322215,0.00023397677087708252,2.6208218193969463e-12,0.00034474936229122284,0.0008147304056387951,5.16191365590357e-08,5.9006648360517615e-05,0.00024039828663551752,0.0,0.0,0.0001718603416665852,0.000620442585881259,0.019752683449113642,0.04668061368408453,0.00023397677087708252,0.013773807226391377,2494,2494,8.041602235582257e-05,0.021402266169270767,execution.h5 and actual scan timestamps; no new solve or simulation,,,
