robot,method,scheduled_scenes,implementation_ready,timed_scenes,reference_missing_scenes,shared_b1_missing_scenes,planner_feasible_scene_equivalents,initialization_attempted_scenes,initialization_success_scene_equivalents,physics_executed_scenes,execution_completed_scenes,quality_completed_scenes,quality_rate_all_scheduled,quality_execution_s_mean,quality_execution_s_median,planning_s_mean,planning_s_median,planning_s_p95,predicted_execution_s_mean,initial_s_mean,smoothing_s_mean,optimization_s_mean,retime_s_mean,validation_s_mean,valid_coverage_mean_executed,acceleration_max_mean_executed
panda,B0,12,True,9,3,0,9.0,9,9.0,9,8,8,0.6666666666666666,17.410374999998293,17.132499999997954,1.409600991443666,1.3991647066674584,1.4918124649988993,17.24095723633977,0.302836106333416,,,0.029864653444814464,1.0133384955924056,0.999999999999996,0.9802768435851714
panda,B1,12,True,9,3,0,9.0,9,9.0,9,6,5,0.4166666666666667,17.690199999998637,17.14499999999797,32.478157581740994,32.25933568400069,33.19906639606537,16.837288453928007,0.22376988900025566,30.889012672814445,,0.02987425351845256,1.0158423095183227,0.9999389861238996,0.9880480953448374
panda,B2,12,True,9,3,0,9.0,0,0,9,6,4,0.3333333333333333,17.739249999998698,17.13349999999796,65.4978855199642,65.86985446966719,66.87433999639858,16.832290024390485,32.39848563344518,,31.47725446048221,0.029946532628619696,1.0175499455928931,0.9998699810037854,0.988853420265466
panda,B3,12,False,0,0,0,,0,,0,,,,,,,,,,,,,,,,
panda,G,12,True,9,3,0,9.0,9,9.0,9,6,5,0.4166666666666667,17.690199999998637,17.14499999999797,32.453270961407625,32.22393889800151,33.307087550800254,16.837288453928007,0.2229924802221056,30.862628096703297,,0.029940645592297963,1.0172635168896198,0.9999389861238996,0.9880480953448374
ur5e,B0,12,True,12,0,0,12.0,12,12.0,12,9,9,0.75,16.822333333331148,16.509999999997195,1.4008390798337331,1.4071147523330487,1.490615145116802,17.10897614594388,0.2932748911393396,,,0.030158165444340232,1.0172514414722775,0.9999978138918039,0.9826333106404692
ur5e,B1,12,True,12,0,0,12.0,12,12.0,12,12,10,0.8333333333333334,17.65039999999869,17.13549999999796,32.79071608391617,32.73228563766679,34.09869756095092,17.01075359765557,0.2107040544718378,31.223941066527313,,0.030200315416449384,1.0191853139167506,0.9999694324114751,0.979073653593138
ur5e,B2,12,True,12,0,0,12.0,0,0,12,12,10,0.8333333333333334,17.65039999999869,17.13549999999796,65.99035311850012,65.70574893733405,67.5034367972147,16.992626226428097,32.787268599499534,,31.641520151889683,0.030298528278055726,1.01859125411142,0.9999694324114751,0.979073653593138
ur5e,B3,12,False,0,0,0,,0,,0,,,,,,,,,,,,,,,,
ur5e,G,12,True,12,0,0,12.0,12,12.0,12,11,9,0.75,17.70177777777654,17.082999999997895,32.77306927041658,32.69023812099961,34.173698980300706,16.988563642407332,0.2097106549996776,31.211771687693826,,0.030181725498955023,1.0168950405273385,0.9999694324114751,0.9806148340185432
