robot,baseline,method,metric,paired_scenes,interpretation,mean_difference,ci_lower,ci_upper,cluster_count,mean_ratio
panda,G,B1,quality_completed,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",0.0,0.0,0.0,6.0,
panda,G,B1,quality_execution_s,5,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",0.0,0.0,0.0,4.0,
panda,G,B1,quality_execution_s_ratio,5,,,1.0,1.0,4,1.0
panda,G,B1,total_plan_wall_s,9,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",0.033864313900023646,-0.04524811016647945,0.11297673796652674,5.0,
panda,G,B1,total_plan_wall_s_ratio,9,,,0.9986167224454149,1.0035239415503012,5,1.0010456699240429
panda,G,B1,T_init,9,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",0.0008176143002250113,0.0004372221344965538,0.001198006465953469,5.0,
panda,G,B1,predicted_execution_s,9,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",0.0,0.0,0.0,5.0,
panda,G,B1,predicted_execution_s_ratio,9,,,1.0,1.0,5,1.0
panda,B0,B1,quality_completed,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",-0.25,-0.4166666666666667,-0.08333333333333333,6.0,
panda,B0,B1,quality_execution_s,5,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",-0.16525000000020196,-0.29125000000035595,-0.06000000000007333,4.0,
panda,B0,B1,quality_execution_s_ratio,5,,,0.9838411018565191,0.9965114757910909,4,0.990865686904479
panda,B0,B1,total_plan_wall_s,9,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",31.01058754606759,30.666780035567836,31.4039660153993,5.0,
panda,B0,B1,total_plan_wall_s_ratio,9,,,22.830344205094374,23.31719753356723,5,23.015849947898168
panda,B0,B1,T_init,9,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",-0.07682948169967857,-0.08853184099632318,-0.06544645403288692,5.0,
panda,B0,B1,predicted_execution_s,9,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",-0.3750541462990332,-0.5503595336910438,-0.19974875890702268,5.0,
panda,B0,B1,predicted_execution_s_ratio,9,,,0.967338407741031,0.9890876634998769,5,0.9786629583762678
panda,B1,B2,quality_completed,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",-0.08333333333333333,-0.25,0.0,6.0,
panda,B1,B2,quality_execution_s,4,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",0.0,0.0,0.0,4.0,
panda,B1,B2,quality_execution_s_ratio,4,,,1.0,1.0,4,1.0
panda,B1,B2,total_plan_wall_s,9,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",32.93156637770153,32.50489786766717,33.35131047543375,5.0,
panda,B1,B2,total_plan_wall_s_ratio,9,,,2.0066518128119166,2.0278305008361186,5,2.0158061377036844
