slot,repeat,both_connected,identical_selected_sequence,endpoint_sequence_A1,endpoint_sequence_A2
panda_cylinder_p0_u,0,True,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1]"
panda_cylinder_p0_u,1,True,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1]"
panda_cylinder_p0_u,2,True,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1]"
panda_cylinder_p0_v,0,True,False,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3]"
panda_cylinder_p0_v,1,True,False,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3]"
panda_cylinder_p0_v,2,True,False,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3]"
panda_cylinder_p1_u,0,True,False,"[2, 9, 9, 9, 9, 7, 6, 0, 4, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 0]","[2, 9, 9, 0, 0, 9, 8, 1, 1, 8, 8, 1, 1, 2, 2, 1, 1, 0, 0, 0]"
panda_cylinder_p1_u,1,True,False,"[2, 9, 9, 9, 9, 7, 6, 0, 4, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 0]","[2, 9, 9, 0, 0, 9, 8, 1, 1, 8, 8, 1, 1, 2, 2, 1, 1, 0, 0, 0]"
panda_cylinder_p1_u,2,True,False,"[2, 9, 9, 9, 9, 7, 6, 0, 4, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 0]","[2, 9, 9, 0, 0, 9, 8, 1, 1, 8, 8, 1, 1, 2, 2, 1, 1, 0, 0, 0]"
panda_cylinder_p1_v,0,True,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
