slot,repeat,fine_possible,fine_discontinuous,fine_geometry_rejected,fine_collision_rejected,fine_retained,endpoint_nodes,endpoint_layers,endpoint_possible,endpoint_retained,distance_fit_solver_status,time_fit_solver_status,endpoint_pruned_fraction,fine_pruned_fraction,graph_build_s,candidate_validation_s,distance_fit_feasible,time_fit_feasible,distance_fit_status,time_fit_status
panda_cylinder_p0_u,0,25963,18748,779,0,6436,137,20,1062,358,User_Requested_Stop,User_Requested_Stop,0.6629001883239172,0.7521087701729384,6.0429192680021515,0.07745032299135346,False,False,graph_connected_but_no_verified_C2_fit,graph_connected_but_no_verified_C2_fit
panda_cylinder_p0_u,1,25963,18748,779,0,6436,137,20,1062,358,User_Requested_Stop,User_Requested_Stop,0.6629001883239172,0.7521087701729384,6.100721800001338,0.07745032299135346,False,False,graph_connected_but_no_verified_C2_fit,graph_connected_but_no_verified_C2_fit
panda_cylinder_p0_u,2,25963,18748,779,0,6436,137,20,1062,358,User_Requested_Stop,User_Requested_Stop,0.6629001883239172,0.7521087701729384,6.089489299993147,0.07745032299135346,False,False,graph_connected_but_no_verified_C2_fit,graph_connected_but_no_verified_C2_fit
panda_cylinder_p0_v,0,51580,39349,619,0,11612,288,28,3047,1011,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.6681982277650147,0.7748739821636293,12.066258232007385,0.14627539199136663,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_cylinder_p0_v,1,51580,39349,619,0,11612,288,28,3047,1011,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.6681982277650147,0.7748739821636293,12.068918192002457,0.14627539199136663,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_cylinder_p0_v,2,51580,39349,619,0,11612,288,28,3047,1011,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.6681982277650147,0.7748739821636293,12.048672588993213,0.14627539199136663,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_cylinder_p1_u,0,30441,20655,1798,0,7988,149,20,1260,657,User_Requested_Stop,User_Requested_Stop,0.47857142857142854,0.7375907493183536,8.386535095007275,0.08291441001347266,False,False,graph_connected_but_no_verified_C2_fit,graph_connected_but_no_verified_C2_fit
panda_cylinder_p1_u,1,30441,20655,1798,0,7988,149,20,1260,657,User_Requested_Stop,User_Requested_Stop,0.47857142857142854,0.7375907493183536,8.446006673009833,0.08291441001347266,False,False,graph_connected_but_no_verified_C2_fit,graph_connected_but_no_verified_C2_fit
panda_cylinder_p1_u,2,30441,20655,1798,0,7988,149,20,1260,657,User_Requested_Stop,User_Requested_Stop,0.47857142857142854,0.7375907493183536,8.486358808993828,0.08291441001347266,False,False,graph_connected_but_no_verified_C2_fit,graph_connected_but_no_verified_C2_fit
panda_cylinder_p1_v,0,96206,82019,179,0,14008,314,28,3624,573,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8418874172185431,0.8543957757312434,12.15782413200941,0.17760205699596554,True,True,verified_graph_initial_path,verified_graph_initial_path
