robot,family,method,scheduled_scenes,implementation_ready,timed_scenes,reference_missing_scenes,shared_b1_missing_scenes,planner_feasible_scene_equivalents,initialization_attempted_scenes,initialization_success_scene_equivalents,physics_executed_scenes,execution_completed_scenes,quality_completed_scenes,quality_rate_all_scheduled,quality_execution_s_mean,quality_execution_s_median,planning_s_mean,planning_s_median,planning_s_p95,predicted_execution_s_mean,initial_s_mean,smoothing_s_mean,optimization_s_mean,retime_s_mean,validation_s_mean,valid_coverage_mean_executed,acceleration_max_mean_executed,quality_transition_s_median
panda,plane,B0,4,True,4,0,0,3.0,4,3.0,3,3,3,0.75,21.988666666670557,22.222000000004176,1.0544415373333322,1.358399235168084,1.4389583261984322,21.788996081972837,0.26052049583328574,,,0.031942455888687014,1.0004017501099345,1.0,0.8184707273895288,6.800000000001253
panda,cylinder,B0,4,True,4,0,0,1.0,4,1.0,1,1,1,0.25,26.591000000009515,26.591000000009515,0.45602400200126186,0.18174145333614433,1.222083724818124,26.39184995377227,0.1826549240843936,,,0.032731074335364006,1.022695405665824,0.999999999999979,0.8179829623381897,9.954000000004124
panda,saddle,B0,4,True,4,0,0,2.0,4,3.0,2,2,2,0.5,20.58100000000217,20.58100000000217,1.121882823499618,1.2935029288322162,1.4560927975850062,20.38151046078262,0.3243205554172164,,,0.033213712670355264,1.0052618344424344,0.9999999999999961,0.823000128127676,4.572500000000083
panda,plane,B1,4,True,4,0,0,3.0,4,4.0,3,3,3,0.75,21.033333333336056,21.346000000003105,32.19300969383403,32.052918806330126,32.72140042050499,20.833724001787317,0.22175113667011223,30.891820075580956,,0.03181930444649576,0.996535166111749,1.0,0.8182943460299462,6.396000000001003
panda,cylinder,B1,4,True,4,0,0,1.0,4,4.0,1,1,1,0.25,26.518000000009426,26.518000000009426,31.592070767415862,31.347606593665354,32.65343036046664,26.318680172560097,0.22692402758548266,30.83073100508288,,0.03301348167102939,1.0162655013264157,0.999999999999979,0.8173375061719423,9.944000000004122
panda,saddle,B1,4,True,4,0,0,2.0,4,4.0,2,2,2,0.5,20.3600000000019,20.3600000000019,32.25953494083175,31.74812622499788,33.97475287974667,20.160246655195266,0.2248522601670023,31.20696283266443,,0.033210336667252705,1.0027224183334813,0.9999999999999961,0.8290385138113538,4.338500000000053
panda,plane,B2-common,4,True,4,0,0,3.0,0,0,3,3,2,0.5,18.605499999999758,18.605499999999758,46.933593904748705,46.7666386738274,49.977351297637505,18.236099081441367,22.686118636412477,,30.4759134714469,0.03207798788692647,0.9939786752236413,0.9999140915612141,0.8222045164792249,4.063499999999708
panda,cylinder,B2-common,4,True,4,0,0,2.0,0,0,2,2,0,0.0,,,42.52944203149673,42.91395333866967,45.87220702320652,18.44969698029827,26.35134099632948,,30.359718954326432,0.032965039836805474,1.020538593167051,0.9996894045399591,0.8225140878146462,
panda,saddle,B2-common,4,True,4,0,0,4.0,0,0,4,4,4,1.0,18.949250000000177,18.20249999999926,46.947241402755026,46.97471037117066,50.04794759613433,18.7497811420833,14.14116407833717,,30.87645893300093,0.03311474508276054,1.006760083832584,0.9999738753065446,0.820494108135633,4.036999999999562
panda,plane,A1,4,True,4,0,0,4.0,0,0,4,4,4,1.0,20.684250000002294,20.861000000002512,40.62898089808126,40.763818033500385,44.26578115850911,20.484721118358344,14.685831039663753,,24.208947456999642,0.03200375091546448,0.9945789543368544,1.0,0.8245025542661006,5.54550000000043
panda,cylinder,A1,4,True,4,0,0,2.0,0,0,2,2,2,0.5,26.16200000000899,26.16200000000899,42.576382808582515,43.10422623833681,45.86147413978275,25.96248376245665,26.368441509247834,,30.702210843502446,0.03283896966604516,1.0158308685034474,0.999999999999979,0.8147423006430956,9.886000000003818
panda,saddle,A1,4,True,4,0,0,4.0,0,0,4,4,4,1.0,20.36975000000191,20.182000000001683,39.890337453828884,39.26988756132778,42.35397900012976,20.17015462864792,14.140580133582262,,23.999467886248265,0.033071193337188255,1.0047529080863267,0.9999999999999961,0.8364165473604543,5.215500000000079
panda,plane,A2,4,True,4,0,0,3.0,0,0,3,3,3,0.75,22.412000000004408,22.622000000004665,23.468270741410375,18.263780648490258,40.239250550149876,22.2127670680553,22.686118636412477,,,0.032044408443552025,0.9905382625600193,1.0,0.8182317059357939,7.266000000001606
panda,cylinder,A2,4,True,4,0,0,2.0,0,0,2,2,2,0.5,26.711500000009664,26.711500000009664,26.88502518949584,26.4291878836569,40.04292263326473,26.511934823877333,26.35134099632948,,,0.03305471716400159,1.0138758568355115,0.999999999999979,0.8160836707833854,10.42350000000421
panda,saddle,A2,4,True,4,0,0,4.0,0,0,4,4,4,1.0,23.762500000004465,20.940500000002608,15.197016807171167,15.4112929313366,18.291432195866463,23.562973097252428,14.14116407833717,,,0.033224168079565665,1.001053893584564,0.9999999999999961,0.8327709096942829,6.348500000000596
panda,plane,Proposed,4,True,4,0,0,3.0,0,0,3,3,3,0.75,21.819000000003683,21.88900000000377,41.725168908664884,42.124248359995065,45.1746513930535,21.619559247851708,22.686118636412477,,23.644015114665507,0.03216502788806489,0.9892300634463834,1.0,0.8171428983148737,6.576000000001069
panda,cylinder,Proposed,4,True,4,0,0,2.0,0,0,2,2,2,0.5,26.33950000000921,26.33950000000921,42.50089700932949,42.87186862650318,45.83407254487101,26.139714099383646,26.35134099632948,,30.509009346331972,0.03306562999932794,1.0073803093328024,0.999999999999979,0.8165323542631793,10.022000000003887
panda,saddle,Proposed,4,True,4,0,0,4.0,0,0,4,4,4,1.0,23.15175000000531,20.940500000002608,41.479740517756,41.21857929284306,44.13929776873774,22.952148003391784,14.14116407833717,,25.55636073933177,0.03308160991703819,1.0021859292525428,0.9999999999999961,0.8330444557475073,6.348500000000596
ur5e,plane,B0,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,19.805500000001224,19.781500000001195,1.3525700000003176,1.3488851928317067,1.3943339453166117,19.606017580374573,0.3080861309184305,,,0.032188132168812444,0.9895289068335842,1.0,0.8215941283915031,4.91749999999992
ur5e,cylinder,B0,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,24.49100000000695,24.68100000000718,1.3826357140836385,1.386922706832896,1.4141752701878432,24.29133432566765,0.3241076704192286,,,0.033115216251947764,0.9983566763379106,0.999999999999979,0.8244194662501318,8.005000000002294
ur5e,saddle,B0,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,19.932250000001375,19.943500000001393,1.3472696503304178,1.3430045806647588,1.4327623196802353,19.733002572609944,0.28253943899956846,,,0.03368661233374345,1.0043234131650631,0.9999999999999961,0.8296359836583894,4.976999999999969
