robot,baseline,common_quality_scenes,lost_uids,gained_uids,quality_execution_s_median_ratio,quality_transition_s_median_ratio,total_plan_wall_s_median_ratio,certified_time_to_target_ratio_median,certified_scene_count
panda,B1,5,"[""5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609""]","[""be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609"", ""dc500163bea8d607c8f6676fccd669f938cace853f762bdc955d3710e5f2bae9"", ""ddbaccae4d1e1e90b7da2315bf852ee615b4daba879473cd6ddfe24006fb6108"", ""5f43b4d6461fcea3fe8ed7073c7de83186d13133f6cb072fc4eb2c12336a6b6c""]",1.0254380211749548,1.039621791985556,1.3826083789537194,,
panda,B2-common,6,[],"[""84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8"", ""be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609"", ""f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db""]",1.1653295480844523,1.5720235333969754,0.8473695081346589,,0
panda,A1,9,"[""5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609""]",[],1.0,1.0,1.0002334465849942,,
panda,A2,9,[],[],1.0,1.0,2.7765455340926444,,
ur5e,B1,12,[],[],0.997413127501575,0.9956604439298229,1.0009333502393638,,
ur5e,B2-common,10,[],"[""2d20f99cf6c82aa207e523443bbea9c8b2f83a71121fed63556e715ac9a2a97f"", ""26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e""]",1.0506124361033269,1.150685177589768,0.8981123581908055,1.0,5
ur5e,A1,12,[],[],1.0,1.0,1.0002496143669417,,
ur5e,A2,12,[],[],1.0,1.0,6.734550374184695,,
all,B1,17,"[""5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609""]","[""be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609"", ""dc500163bea8d607c8f6676fccd669f938cace853f762bdc955d3710e5f2bae9"", ""ddbaccae4d1e1e90b7da2315bf852ee615b4daba879473cd6ddfe24006fb6108"", ""5f43b4d6461fcea3fe8ed7073c7de83186d13133f6cb072fc4eb2c12336a6b6c""]",0.9988270980788665,0.9994098554145769,1.11533011465801,,
all,B2-common,16,[],"[""84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8"", ""be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609"", ""f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db"", ""2d20f99cf6c82aa207e523443bbea9c8b2f83a71121fed63556e715ac9a2a97f"", ""26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e""]",1.0677018195996681,1.1599015848256986,0.8740805087474189,1.0,5
all,A1,21,"[""5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609""]",[],1.0,1.0,1.0002334465849942,,
all,A2,21,[],[],1.0,1.0,5.908735945788554,,
