robot,method,scheduled_scenes,implementation_ready,timed_scenes,reference_missing_scenes,shared_b1_missing_scenes,planner_feasible_scene_equivalents,initialization_attempted_scenes,initialization_success_scene_equivalents,physics_executed_scenes,execution_completed_scenes,quality_completed_scenes,quality_rate_all_scheduled,quality_execution_s_mean,quality_execution_s_median,planning_s_mean,planning_s_median,planning_s_p95,predicted_execution_s_mean,initial_s_mean,smoothing_s_mean,optimization_s_mean,retime_s_mean,validation_s_mean,valid_coverage_mean_executed,acceleration_max_mean_executed,quality_transition_s_median,actual_scan_s_median,actual_wait_s_median,selected_path_available_s_median,first_legal_path_s_median,coverage_min_executed
panda,B0,12,True,12,0,0,6.0,12,7.0,6,6,6,0.5,22.286500000004256,21.74300000000359,0.8774494542780706,1.2935029288322162,1.465986750599647,22.086976520209337,0.2558319917782986,,,0.032497644557022594,1.0056694513318474,0.9999999999999952,0.8198992334603546,5.766500000000813,15.84100000000266,0.1990000000002432,,,0.999999999999979
panda,B1,12,True,12,0,0,6.0,12,12.0,6,6,6,0.5,21.723000000003566,21.239500000002977,32.014871800693875,31.804868376500963,33.524053036715245,21.523390914718764,0.2245091414741991,30.976504637776088,,0.032482011390837014,1.0018859727214375,0.9999999999999952,0.821716261980748,5.50750000000067,15.22050000000116,0.1990000000002432,,,0.999999999999979
panda,B2-common,12,True,12,0,0,9.0,0,0,9,9,6,0.5,18.834666666666703,18.20249999999926,45.47009244633349,45.3620293686569,50.1702645912359,18.511868419250426,21.059541237026373,,30.628112672777476,0.03273589151838138,1.0055615052594848,0.9998907316655266,0.8215131286232776,4.036999999999562,14.107999999999283,0.1990000000002432,40.39100297601544,13.437601442322679,0.9996879216754835
panda,A1,12,True,12,0,0,10.0,0,0,10,10,10,0.8333333333333334,21.65400000000348,20.861000000002512,41.031900386830884,40.09412853933706,45.759781023646546,21.454447051293833,18.39828422749795,,25.423808305999653,0.03259777163427013,1.002898918669962,0.9999999999999943,0.827316100779241,6.01850000000021,14.934000000000875,0.1990000000002432,13.35661006449421,13.35661006449421,0.999999999999979
panda,A2,12,True,12,0,0,9.0,0,0,9,9,9,0.75,23.96766666667227,22.622000000004665,21.850104246025797,17.643418372829423,41.95508335456082,23.768229248992256,21.059541237026373,,,0.03279325910854688,1.0003980084099264,0.9999999999999937,0.8242162331279204,7.266000000001606,15.75600000000333,0.1990000000002432,13.437601442322679,13.437601442322679,0.999999999999979
panda,Proposed,12,True,12,0,0,9.0,0,0,9,9,9,0.75,23.41588888889453,21.88900000000377,41.90193547858346,41.59671217034581,45.63073489033753,23.216299772876617,21.059541237026373,,26.019500777109727,0.0327725314812226,0.9990216140016587,0.9999999999999937,0.8240745807178899,6.778000000001237,15.288000000003102,0.1990000000002432,17.266746921998372,13.437601442322679,0.999999999999979
ur5e,B0,12,True,12,0,0,12.0,12,12.0,12,12,12,1.0,21.409583333336517,20.44750000000201,1.360825121471458,1.3694672670001942,1.4254126832803498,21.21011815955072,0.30491108011240914,,,0.03299665358483455,0.9974029987788526,0.9999999999999919,0.8252165261000083,5.880000000000468,14.972500000000615,0.1990000000002432,,,0.999999999999979
ur5e,B1,12,True,12,0,0,12.0,12,12.0,12,12,12,1.0,21.47183333333659,20.528500000002104,32.489995964195664,32.51658365817032,33.03149831993287,21.27226256231103,0.20715809964046153,30.953749531555832,,0.03299773350065354,0.9973075854169212,0.9999999999999919,0.8293615852283706,5.889500000000515,15.10700000000082,0.1990000000002432,,,0.999999999999979
ur5e,B2-common,12,True,12,0,0,12.0,0,0,12,12,10,0.8333333333333334,19.842900000001265,19.096000000000355,34.49300367030082,36.32197754549513,37.14657583900674,19.402541305236557,3.814241622716913,,28.909453359832295,0.03294770524735213,1.0013615286669746,0.9999615940475137,0.8258269323349655,5.094499999999922,14.262000000000038,0.1990000000002432,20.569402702322503,3.803121763005038,0.9996948401002745
ur5e,A1,12,True,12,0,0,12.0,0,0,12,12,12,1.0,21.384833333336488,20.388500000001933,31.781250044162643,32.6481652006599,36.85036378117681,21.185311305585643,3.8153036279957937,,26.314396285167785,0.0329727588319252,0.9951826084438329,0.9999999999999919,0.8260741300373119,5.845500000000425,14.999000000000645,0.1990000000002432,3.805291517504277,3.805291517504277,0.999999999999979
ur5e,A2,12,True,12,0,0,12.0,0,0,12,12,12,1.0,21.40133333333651,20.388500000001933,4.865150986576029,4.845304254001046,6.070617229184184,21.2018490718813,3.814241622716913,,,0.03298389927739562,0.9987511607497356,0.9999999999999919,0.8257255781106614,5.867500000000573,14.999000000000645,0.1990000000002432,3.803121763005038,3.803121763005038,0.999999999999979
ur5e,Proposed,12,True,12,0,0,12.0,0,0,12,12,12,1.0,21.384833333336488,20.388500000001933,31.77693020724352,32.73998251317001,36.788826737207756,21.185311305585643,3.814241622716913,,26.303092301554386,0.03301955028049027,0.9967061278888044,0.9999999999999919,0.8260741300373119,5.845500000000425,14.999000000000645,0.1990000000002432,3.803121763005038,3.803121763005038,0.999999999999979
